"event","experiment time","system time","system time text"
"START",0.000000000E0,1734014747.686,"2024-12-12 15:45:47.686 UTC+01:00"
"PAUSE",1.380489484E1,1734014761.490,"2024-12-12 15:46:01.490 UTC+01:00"
