subject,Activity,Acceleration x (m/s^2)_mean,Acceleration x (m/s^2)_std,Acceleration x (m/s^2)_min,Acceleration x (m/s^2)_max,Acceleration y (m/s^2)_mean,Acceleration y (m/s^2)_std,Acceleration y (m/s^2)_min,Acceleration y (m/s^2)_max,Acceleration z (m/s^2)_mean,Acceleration z (m/s^2)_std,Acceleration z (m/s^2)_min,Acceleration z (m/s^2)_max,Gyroscope x (rad/s)_mean,Gyroscope x (rad/s)_std,Gyroscope x (rad/s)_min,Gyroscope x (rad/s)_max,Gyroscope y (rad/s)_mean,Gyroscope y (rad/s)_std,Gyroscope y (rad/s)_min,Gyroscope y (rad/s)_max,Gyroscope z (rad/s)_mean,Gyroscope z (rad/s)_std,Gyroscope z (rad/s)_min,Gyroscope z (rad/s)_max,Linear Acceleration x (m/s^2)_mean,Linear Acceleration x (m/s^2)_std,Linear Acceleration x (m/s^2)_min,Linear Acceleration x (m/s^2)_max,Linear Acceleration y (m/s^2)_mean,Linear Acceleration y (m/s^2)_std,Linear Acceleration y (m/s^2)_min,Linear Acceleration y (m/s^2)_max,Linear Acceleration z (m/s^2)_mean,Linear Acceleration z (m/s^2)_std,Linear Acceleration z (m/s^2)_min,Linear Acceleration z (m/s^2)_max
2,walking,-8.038594775894506,2.1432131010291924,-17.36650848,1.438684583,-5.521681053633371,3.443453576756504,-17.39522171,6.809374809,-0.0192504438338828,2.665309744656743,-9.405587196,12.17049408,-0.1635850132933305,1.2100689233009103,-4.148386002,4.366159439,-0.1793821205256083,1.4100459146855864,-6.522513866,5.735566616,-0.0121562612610706,1.411813509033111,-4.115246296,3.822336674,-0.7063972926084646,2.6869675624953167,-8.600751877,7.100476265,-0.8484575768368853,2.948094018772319,-9.698664665,5.514086723,-0.5712284195410184,2.096771438307022,-6.698792458,6.39458704
3,drinking,4.229932621365778,3.656449189909583,-1.884131927,10.58733353,7.43515151807623,2.897983186597719,1.462907867,12.4138353,0.2230009729812819,1.302738599734424,-2.890040131,3.42832077,0.0006084585591091,0.1605891822242489,-0.9764198065,0.7252840996,0.0165112010658842,0.2547393933568355,-0.7292095423,0.8021450043,0.0049761740544921,0.6982333622751744,-2.290853024,1.097751617,-0.0839766720480918,0.4061253969571952,-2.557463661,1.171304299,0.014567781693491,0.5655652808570982,-2.657391699,2.690778131,0.1455213185959831,0.250249182842867,-1.124812649,0.9965397942
3,walking,7.299925765302232,4.4138417443848255,-6.45652359,18.07775711,-7.194638849183117,4.703363684052895,-18.69163055,4.573140106,2.2752887613299544,2.8912567223952284,-2.340832214,13.35672455,0.2526800288010195,1.6139011766316047,-4.77748394,5.076142788,-0.3452616208200014,1.6935304273471905,-7.659683704,5.6638484,0.0077755783585888,2.765954335657224,-6.803324699,7.3032794,1.8351244671130296,5.071250489632325,-7.622794606,12.73639578,-3.0485703534688096,4.360025462709458,-11.83088427,6.826508499,1.093401066833446,2.5299076999663663,-7.160458188,11.25353253
3,drinking,-4.244961482731346,4.59766831559333,-11.54683823,5.838309174,3.718608254815485,6.617648961869331,-7.984246674,13.45656693,0.3088153081896579,0.960789709516448,-3.283871155,2.510579224,-0.0510030026225161,0.2859275428914006,-1.55222261,0.6264019608,-0.0107120875640276,0.359543427992185,-1.240087509,1.28823781,0.0061571382334901,1.338717260357008,-2.35218811,5.907262802,0.2160748033860631,0.7334714131603297,-2.538396183,3.11057664,0.1622066518888587,0.6831188516022262,-2.287886846,3.624479653,-0.0197961308017112,0.3272021041150294,-1.821865951,0.9842220497
3,walking,7.232209026441334,4.152669360224358,-4.356390839,16.16084335,-8.06799931847134,4.668776874282645,-19.7367572,6.929689636,2.3539482080137426,2.731297605883035,-1.467847595,14.02792877,-0.1060236466180994,1.1882991379522274,-4.481528759,3.301707745,-0.0619404022526137,1.1615221047953963,-6.085181713,3.823667526,-0.1000751159756132,3.025967541850546,-6.27858305,6.236496449,2.1429293741682565,5.756225111086997,-9.162767022,14.43825245,-3.3821329696416784,4.5762577411178,-13.50352007,6.542085312,0.7342548312178724,1.7339332445835436,-4.138116617,6.457164445
2,drinking,3.052359260185674,4.153497001690902,-3.723830223,10.76112175,7.762491801571453,2.836467732798811,-1.239482164,15.69811249,-0.8718908028772768,1.0959860767095138,-3.195614576,4.598406792,-0.0146628966426557,0.1834271964216968,-1.322065115,0.4946481287,-0.0150276762163653,0.2086380429680283,-1.672396302,0.8184067011,0.008497883425371,0.6181795374517448,-1.923767328,1.274723053,-0.0699290700412889,0.4442564233289258,-2.173290014,1.212012768,-0.0264281369996269,0.6797948530856185,-2.282364368,5.816944122,0.0750813062143448,0.2473541057665838,-1.09514761,1.475609541
2,drinking,-3.636406480594664,4.664976286333638,-20.77987099,21.31945229,6.1482815786798,3.833986322071352,-15.67059517,63.3260498,1.4345474418632418,3.437215148749724,-5.864210129,33.35056305,0.0149096015506845,0.8992857040169332,-4.184121609,5.358968258,-0.060380850621269,1.087548980392126,-5.785504818,8.831278801,0.0104604214519878,1.3527300980010937,-4.892114162,5.59659481,0.1672372545487717,1.1365749258616435,-12.77963352,7.233294487,-0.233635726720214,1.3526867211686526,-4.73344183,13.94151688,0.0729591060512115,1.0898070759335945,-5.335707188,9.99193573
1,walking,8.424855766619242,2.442930058288338,2.834734917,14.44212437,-5.834077113199396,2.6384817249136665,-12.89307499,3.682282209,1.303910550390127,2.201058585072881,-1.968033791,10.19241619,0.2608532894740886,0.8789321239347779,-2.343202829,2.334803343,-0.1279498137966036,0.9122340430158626,-2.569528341,4.785900116,0.0400423363755236,1.5719802708015238,-3.130608082,3.549203396,1.0707602860623648,3.5598633222607208,-5.48463583,10.78649521,-1.861902604914941,3.672314286924836,-11.84226513,7.264480591,-1.6363031606000789,3.3585837367133573,-6.797238827,12.03517342
3,drinking,1.991802277471574,1.6931737565353826,-2.459984436,5.571863251,6.999346627556998,3.687621258409341,-0.7649093628,11.65745819,4.214437550432558,3.2081092804460813,-0.1859133911,9.406738586,-0.0109786122138313,0.5299996596649252,-0.9711995125,1.607152581,-0.0692872644994491,0.4352398347023395,-2.012998819,1.828595519,-0.0042472047576018,0.4148928180186281,-1.543877125,1.313025951,-0.0317519186621756,0.5114282727568602,-2.053582483,2.869980673,0.0849931466705475,0.494958715553689,-2.375766989,1.970169613,-0.0841572527195096,0.3343273850348367,-1.240362547,1.490107945
3,drinking,1.121144701246296,2.415173855043195,-6.28692627,5.203778687,6.3173591654125305,4.105829744550732,-1.780397644,13.93961243,4.904013507273606,3.2037351322487964,-1.443448334,9.569450226,-0.0034168903514677,0.6758825994158884,-1.887185574,1.944644809,-0.0881584013444864,0.5244024286733319,-2.607881069,1.538985491,-0.0533116500436685,0.546203228201387,-2.770827055,1.161535025,-0.1080023489237812,0.5699059252645906,-2.496505853,2.441242063,0.1191980106984692,0.7313148328608527,-2.707947895,4.093449737,-0.1016398022808581,0.5019349312835283,-3.947275193,2.127357972
