"event","experiment time","system time","system time text"
"START",0.000000000E0,1734353379.468,"2024-12-16 13:49:39.468 UTC+01:00"
"PAUSE",1.103159276E1,1734353390.499,"2024-12-16 13:49:50.499 UTC+01:00"
