"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012258.739,"2024-12-12 15:04:18.739 UTC+01:00"
"PAUSE",1.664924545E1,1734012275.389,"2024-12-12 15:04:35.389 UTC+01:00"
