"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.508379886E0,2.366028309E0,3.114620209E0,7.215206623E-1
1.525390069E0,2.832973480E0,3.117300510E0,9.699476957E-1
1.542406478E0,2.742006779E0,3.118430138E0,1.636952400E0
1.559384475E0,2.610200882E0,2.989146709E0,2.093280315E0
1.576405065E0,2.460205078E0,2.723072052E0,1.989047885E0
1.593411352E0,2.390370369E0,2.642940998E0,1.404611349E0
1.610417760E0,2.068564892E0,2.576583385E0,6.478695869E-1
1.627424129E0,1.816056252E0,2.656444073E0,-5.966138840E-2
1.644417670E0,1.794572353E0,2.824431181E0,-3.354024887E-1
1.661433611E0,1.983839512E0,3.076751232E0,-2.670681477E-1
1.678443285E0,2.109605312E0,3.258635998E0,1.122610569E-1
1.695449572E0,2.149822235E0,3.525205135E0,7.357308865E-1
1.712447538E0,2.084556580E0,3.801815987E0,1.016003609E0
1.729462349E0,2.043229103E0,4.001417160E0,9.214444160E-1
1.746465545E0,1.902046680E0,3.915685415E0,5.074667931E-1
1.763478180E0,1.561228752E0,3.787709951E0,1.568841934E-2
1.780481659E0,9.446630478E-1,3.568625927E0,-2.926595211E-1
1.797491088E0,1.396048069E0,3.370786190E0,-1.701376438E-1
1.814494090E0,1.761260033E0,3.287697554E0,1.726589203E-1
1.831500500E0,1.749681473E0,3.285497904E0,4.150326252E-1
1.848506990E0,1.685025215E0,3.381529331E0,3.586404324E-1
1.865513226E0,1.615468025E0,3.617399693E0,1.907334328E-1
1.882504264E0,1.425682068E0,3.758685112E0,4.281544685E-2
1.899530581E0,1.277291298E0,3.766783237E0,-4.200935364E-3
1.916532434E0,1.423697472E0,3.786748409E0,5.606079102E-2
1.933538598E0,1.360775948E0,3.764263153E0,6.065559387E-2
1.950547245E0,1.446111679E0,3.661562681E0,4.736042023E-2
1.967551314E0,1.536234379E0,3.564172029E0,1.449036598E-2
1.984557836E0,1.539175987E0,3.477266312E0,4.190397263E-2
2.001564051E0,1.451582909E0,3.386655569E0,5.176377296E-2
2.018573543E0,1.278697014E0,3.356395006E0,5.619430542E-2
2.035576687E0,1.125288010E0,3.452127695E0,-8.422851562E-3
2.052583310E0,9.926424026E-1,3.535032988E0,-2.383019924E-1
2.069587959E0,9.934654236E-1,3.746796608E0,-4.566919804E-1
2.086595813E0,9.874525070E-1,3.899000406E0,-6.548027992E-1
2.103602292E0,1.097496986E0,3.885725737E0,-6.129615307E-1
2.120608681E0,1.171415329E0,3.908867121E0,-4.553010464E-1
2.137606911E0,1.114338875E0,3.813418865E0,-4.186306000E-1
2.154621266E0,1.070958138E0,3.755314589E0,-4.345152378E-1
2.171624653E0,9.576301575E-1,3.578676224E0,-5.404703617E-1
2.188628773E0,7.553186417E-1,3.525576353E0,-6.342720985E-1
2.205640340E0,6.238508224E-1,3.421480656E0,-6.765584946E-1
2.222646566E0,7.321557999E-1,3.270577431E0,-7.108466625E-1
2.239653026E0,9.311771393E-1,3.238108158E0,-6.838707924E-1
2.256639782E0,7.557621002E-1,3.528704166E0,-5.169627666E-1
2.273665672E0,5.981674194E-1,3.452491283E0,-6.239230633E-1
2.290672152E0,5.722923279E-1,3.554460526E0,-7.271854877E-1
2.307678337E0,6.977148056E-1,3.680978298E0,-6.128892899E-1
2.324685072E0,6.429405212E-1,3.650499344E0,-6.082382202E-1
2.341677951E0,5.666561127E-1,3.540454865E0,-6.302100420E-1
2.358692000E0,5.118551254E-1,3.492477417E0,-6.866178513E-1
2.375703750E0,5.972852707E-1,3.415505886E0,-6.389995813E-1
2.392697403E0,6.471271515E-1,3.421978474E0,-5.816117525E-1
2.409716730E0,6.352281570E-1,3.399893999E0,-6.541022062E-1
2.426722866E0,5.696735382E-1,3.385011673E0,-7.808028460E-1
2.443736151E0,5.132083893E-1,3.480576038E0,-7.843285799E-1
2.460734768E0,4.296550751E-1,3.507981539E0,-8.095802069E-1
2.477742010E0,4.847068787E-1,3.578158855E0,-7.246366739E-1
