"event","experiment time","system time","system time text"
"START",0.000000000E0,1734350684.661,"2024-12-16 13:04:44.661 UTC+01:00"
"PAUSE",1.415871188E1,1734350698.819,"2024-12-16 13:04:58.819 UTC+01:00"
