"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734355260223182E9,"2024-12-16 14:21:00.223 UTC+01:00"
"PAUSE",1.095022750005592E1,1.734355271173392E9,"2024-12-16 14:21:11.173 UTC+01:00"
