"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.109940200E-1,2.236184359E0,8.626607895E0,5.841852427E-1
8.209939860E-1,2.375048161E0,8.502109528E0,6.153098345E-1
8.309939860E-1,2.525882721E0,8.372822762E0,6.057330370E-1
8.409939860E-1,2.657563925E0,8.262689590E0,5.817909837E-1
8.509939860E-1,2.803610086E0,8.210017204E0,5.099649429E-1
8.609939860E-1,2.983175278E0,8.210017204E0,3.926490843E-1
8.709939860E-1,3.169923067E0,8.236352921E0,2.801215947E-1
8.809939860E-1,3.330334663E0,8.260294914E0,1.771709323E-1
8.909939860E-1,3.457227230E0,8.265083313E0,7.422025502E-2
9.009939860E-1,3.576937437E0,8.279448509E0,-2.154781483E-2
9.109939860E-1,3.684676409E0,8.293813705E0,-1.101332754E-1
9.209939860E-1,3.780444384E0,8.305785179E0,-1.915361285E-1
9.309939860E-1,3.916913986E0,8.312967300E0,-2.513911724E-1
9.409939860E-1,4.062960148E0,8.312967300E0,-2.801215947E-1
9.509939860E-1,4.211400986E0,8.284236908E0,-2.705447972E-1
9.609939860E-1,4.357447147E0,8.253112793E0,-2.609679997E-1
9.709939860E-1,4.522646904E0,8.217199326E0,-2.322375625E-1
9.809939860E-1,4.697423935E0,8.200440407E0,-2.130839527E-1
9.909939860E-1,4.898836136E0,8.219594002E0,-2.059013397E-1
1.000993986E0,5.090372086E0,8.236352921E0,-2.011129409E-1
1.010993986E0,5.234024048E0,8.219594002E0,-1.891419291E-1
1.020994019E0,5.313032627E0,8.162133217E0,-1.556231081E-1
1.030994019E0,5.341763496E0,8.030451775E0,-9.816227108E-2
1.040994019E0,5.341763496E0,7.877223015E0,-2.633621916E-2
1.050994019E0,5.372888088E0,7.707234383E0,5.746084079E-2
1.060994019E0,5.430348873E0,7.563582420E0,1.125274822E-1
1.070994885E0,5.583577633E0,7.424718857E0,1.101332754E-1
1.080994885E0,5.763142586E0,7.293037415E0,8.379705995E-2
1.090995285E0,5.976226807E0,7.192481041E0,1.915361360E-2
1.100995285E0,6.215646744E0,7.142202854E0,-6.224924326E-2
1.110995285E0,6.431125164E0,7.142202854E0,-1.580173075E-1
1.120995285E0,6.579565525E0,7.178115845E0,-2.489969730E-1
1.130995285E0,6.660968304E0,7.259518623E0,-2.944868207E-1
1.140995285E0,6.720823288E0,7.336133480E0,-3.016694188E-1
1.150995285E0,6.756736279E0,7.348104477E0,-2.346317619E-1
1.160995285E0,6.771101475E0,7.309797287E0,-1.580173075E-1
1.170995285E0,6.804620743E0,7.192481041E0,-1.173158810E-1
1.180995285E0,6.888417721E0,7.053617477E0,-1.053448766E-1
1.190995285E0,7.082347870E0,6.881235123E0,-1.221042871E-1
1.200995285E0,7.326556683E0,6.723217487E0,-1.675941199E-1
1.210995285E0,7.589918613E0,6.603507519E0,-2.466027737E-1
1.220995285E0,7.771877766E0,6.541258335E0,-3.280056417E-1
1.230995285E0,7.874828815E0,6.522104740E0,-3.782838583E-1
1.240995285E0,7.953837395E0,6.512527943E0,-4.189853072E-1
1.250995285E0,8.032846451E0,6.479009151E0,-4.572925270E-1
1.260995285E0,8.080730438E0,6.383241177E0,-4.716577232E-1
1.270995318E0,8.078335762E0,6.158185959E0,-4.692635238E-1
1.280995318E0,8.078335762E0,5.878064632E0,-4.453215301E-1
1.290995318E0,8.159738541E0,5.471050262E0,-4.070142806E-1
1.300995318E0,8.257901192E0,5.068824291E0,-3.758896589E-1
1.310995318E0,8.363245964E0,4.687847137E0,-3.543418646E-1
1.320995284E0,8.451830864E0,4.383783340E0,-3.351882398E-1
1.330995284E0,8.502109528E0,4.139574528E0,-3.232172430E-1
1.340995284E0,8.497321129E0,3.979163170E0,-3.327940404E-1
1.350995284E0,8.463802338E0,3.897760391E0,-3.663128614E-1
1.360995284E0,8.444648743E0,3.845088005E0,-4.094084799E-1
1.370995284E0,8.480561256E0,3.780444384E0,-4.548983276E-1
1.380995284E0,8.535628319E0,3.684676409E0,-4.836287498E-1
1.390994884E0,8.621819496E0,3.543418407E0,-4.860229492E-1
1.400994884E0,8.712799072E0,3.390189648E0,-4.692635238E-1
1.410994884E0,8.767866135E0,3.193865061E0,-4.285621047E-1
1.420994884E0,8.794201851E0,2.992752075E0,-3.734954596E-1
1.430994884E0,8.827720642E0,2.741360903E0,-3.088520169E-1
1.440994884E0,8.866027832E0,2.516305923E0,-2.633621991E-1
1.450994884E0,8.913911819E0,2.317587137E0,-2.370259613E-1
1.460994884E0,8.968978882E0,2.178723574E0,-2.322375625E-1
1.470994884E0,9.059958458E0,2.090138197E0,-2.537853718E-1
1.480994884E0,9.162909508E0,2.030282974E0,-2.801215947E-1
1.490994884E0,9.241917610E0,1.936909199E0,-2.777273953E-1
1.500994884E0,9.296984673E0,1.817199111E0,-2.705447972E-1
1.510994884E0,9.356839180E0,1.656787634E0,-2.657563984E-1
1.520994517E0,9.407117844E0,1.486799240E0,-2.489969730E-1
1.534725076E0,9.466972351E0,1.285686255E0,-2.226607651E-1
1.544725076E0,9.522039413E0,1.094150186E0,-2.011129409E-1
1.554725076E0,9.584288597E0,8.906430602E-1,-1.675941199E-1
1.564725076E0,9.632172585E0,7.038952708E-1,-1.316810995E-1
1.574725042E0,9.646537781E0,5.410895944E-1,-9.337386489E-2
1.584725042E0,9.632172585E0,4.141969085E-1,-7.182604820E-2
1.594725042E0,9.596260071E0,3.375824392E-1,-7.661445439E-2
1.604725042E0,9.565135002E0,2.657563984E-1,-6.703764945E-2
1.614725042E0,9.545981407E0,1.532289088E-1,-1.915361360E-2
1.624725042E0,9.517251015E0,4.788403399E-3,5.027823523E-2
1.634725075E0,9.457395554E0,-2.011129409E-1,1.292868853E-1
1.644725075E0,9.383175850E0,-4.309563041E-1,2.106897533E-1
1.654725075E0,9.299378395E0,-7.062895298E-1,2.801215947E-1
