"event","experiment time","system time","system time text"
"START",0.000000000E0,1734353518.446,"2024-12-16 13:51:58.446 UTC+01:00"
"PAUSE",1.016679442E1,1734353528.613,"2024-12-16 13:52:08.613 UTC+01:00"
