"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.915916673E-3,-8.134187409E-1,3.212056822E-1,3.349402070E-1
1.286991662E-2,-5.809366626E-1,2.201032305E-1,4.476944053E-1
2.282291662E-2,-3.685999963E-1,2.622452831E-1,6.085396135E-1
3.277691663E-2,-2.357126650E-1,-1.027338248E-1,4.774391913E-1
4.273091664E-2,-1.074557438E-1,-6.004377115E-1,3.498874444E-1
5.268491665E-2,-7.129860878E-2,-7.575348544E-1,2.135923558E-1
6.263370829E-2,-2.133909193E-1,-5.639414379E-1,1.751065671E-1
7.258770830E-2,-4.870566916E-1,-1.862835199E-1,4.051418781E-2
8.254170831E-2,-6.506044829E-1,1.581718612E-1,-2.909983814E-2
9.249470831E-2,-7.253582114E-1,3.093562996E-1,-1.499594468E-1
1.024487083E-1,-7.956803352E-1,2.794068611E-1,-3.065940750E-1
1.124027083E-1,-7.619766918E-1,2.402179447E-1,-4.320665520E-1
1.223557083E-1,-5.779996061E-1,1.731951123E-1,-5.385414255E-1
1.323097083E-1,-2.976756093E-1,1.218969047E-1,-4.877361381E-1
1.422637083E-1,1.649148703E-2,8.999274194E-2,-5.372421741E-1
1.522167083E-1,2.853379843E-1,-6.607295215E-2,-5.388589293E-1
1.621707083E-1,3.409371114E-1,-1.304440722E-1,-5.063010478E-1
1.721247083E-1,1.624394515E-1,-1.259577960E-2,-6.110246801E-1
1.820777083E-1,-7.984723806E-2,1.823205695E-1,-8.300379896E-1
1.920317083E-1,-3.810609975E-1,3.641341853E-1,-9.666271931E-1
2.019857083E-1,-6.153068885E-1,5.492199031E-1,-1.049295128E0
2.119397083E-1,-6.842680728E-1,6.235725126E-1,-1.106263381E0
2.218927083E-1,-7.043102816E-1,6.730855653E-1,-7.894173825E-1
2.318467083E-1,-5.435443032E-1,8.032188579E-1,-4.197435451E-1
2.418007083E-1,-3.359707788E-1,6.228547668E-1,-3.189673680E-1
2.517537083E-1,-1.950607753E-1,3.836001509E-1,8.668497205E-3
2.617077083E-1,1.843919456E-2,2.792808536E-1,5.625840068E-2
2.716617083E-1,3.100755072E-1,2.959907341E-1,-1.910285354E-2
2.816147083E-1,5.442088392E-1,4.046624064E-1,-1.580864918E-1
2.915687083E-1,5.864181349E-1,5.303939152E-1,-5.165418613E-1
3.015227083E-1,4.291748115E-1,7.288098228E-1,-9.029545230E-1
3.114757083E-1,1.057413402E-1,1.007741598E0,-1.222571517E0
3.214297083E-1,-3.522751549E-1,1.219247667E0,-1.471260030E0
3.313837083E-1,-5.113776004E-1,1.511649672E0,-1.539657251E0
3.413377083E-1,-6.602579436E-1,1.391180658E0,-1.532076920E0
3.512907083E-1,-5.754557750E-1,1.790876732E0,-9.424530494E-1
3.612447083E-1,-5.209951007E-1,2.449951783E0,-9.555917430E-1
3.711987083E-1,-8.500436532E-1,2.314706855E0,-1.184561107E0
3.811517083E-1,-9.837294218E-1,1.807904408E0,-1.039371818E0
3.911057083E-1,-7.285820737E-1,1.666243330E0,-8.208227777E-1
4.010597083E-1,-5.153592619E-1,1.878273017E0,-7.541265124E-1
4.110127083E-1,-7.512052435E-1,2.150517332E0,-8.272944760E-1
4.209667083E-1,-9.529347682E-1,2.747318075E0,-6.663428485E-1
4.309207083E-1,-1.153249559E0,2.735663989E0,-1.048081246E0
4.408737083E-1,-9.530970284E-1,2.792587803E0,-8.727372819E-1
4.508277083E-1,-8.152921888E-1,2.545041836E0,-1.043993458E0
4.607817083E-1,-8.533926460E-1,2.273489101E0,-9.957831645E-1
4.707357083E-1,-8.398675977E-1,2.594655460E0,-5.971854901E-1
4.806887083E-1,-5.811762522E-1,3.117688608E0,-7.611624670E-1
4.906427083E-1,-2.018226416E-1,3.619011044E0,-3.976130033E-1
5.005967083E-1,-1.366739881E-1,3.627163525E0,3.914991546E-1
5.105497083E-1,-6.079129381E-1,3.320438764E0,1.039652485E-1
5.205037083E-1,-8.848873575E-1,2.981781190E0,-1.265397694E0
5.304577083E-1,-9.871665613E-1,2.451444724E0,-7.340103364E-1
5.404107083E-1,-1.349348508E0,2.052248295E0,-4.467044717E-1
5.503647083E-1,-1.370942567E0,2.168627328E0,-9.505070043E-1
5.603187083E-1,-1.181012139E0,2.233168310E0,-1.396591671E0
5.702727083E-1,-1.033775302E0,1.955378788E0,-1.542784342E0
5.802257083E-1,-9.652648649E-1,1.659919859E0,-1.753368305E0
5.901797083E-1,-5.638206929E-1,1.593653948E0,-1.776399903E0
6.001337083E-1,-3.464888965E-1,1.758835159E0,-1.836121609E0
6.100867083E-1,-2.162451645E-1,2.180264164E0,-1.922251680E0
6.200407083E-1,-3.439676502E-1,2.725343069E0,-1.784399478E0
6.299947083E-1,-9.055211583E-1,3.141725927E0,-1.477331194E0
6.399477083E-1,-1.278303083E0,3.292148181E0,-6.544279772E-1
6.499017083E-1,-1.659467576E0,3.395459418E0,8.518381637E-1
6.598557083E-1,-1.944987409E0,3.727877721E0,2.217702717E0
6.698087083E-1,-1.741895775E0,4.077969818E0,2.554431587E0
6.797627083E-1,-1.552893154E0,4.077939413E0,2.474090259E0
6.897167083E-1,-1.421089751E0,3.872631392E0,2.618650972E0
6.996707083E-1,-1.364814685E0,3.782898266E0,2.986582924E0
7.096237083E-1,-1.319882926E0,3.844759469E0,3.239452781E0
7.195777083E-1,-1.125254845E0,4.002346609E0,3.498533551E0
7.295317083E-1,-1.253193677E0,4.140082451E0,3.748452904E0
7.394847083E-1,-1.185725214E0,4.299683664E0,3.975141268E0
7.494387083E-1,-1.017126525E0,4.266804186E0,4.113508025E0
7.593927083E-1,-7.735006037E-1,3.836331877E0,3.693002588E0
7.693457083E-1,-6.776905400E-1,2.976976533E0,2.976480104E0
7.792997083E-1,-7.915030112E-1,1.959842407E0,2.614993538E0
7.892537083E-1,-1.444471889E0,8.752426676E-1,2.527258406E0
7.992067083E-1,-3.876084757E0,-1.047825211E0,2.056543513E0
8.091607083E-1,-9.877620710E0,-4.860414981E0,5.823686457E-1
8.191147083E-1,-6.285180291E0,-3.898965497E0,1.543326378E0
8.290687083E-1,4.044067735E-1,3.161927180E-1,3.065957122E0
8.390217083E-1,1.831643081E0,1.761329289E0,3.064007075E0
8.489757083E-1,2.112504437E0,1.443801213E0,3.445130931E0
8.589297083E-1,1.588030681E0,3.882836976E-1,4.631980053E0
8.688827083E-1,4.024755112E-1,-1.075638442E0,5.790731549E0
8.788367083E-1,-8.785334806E-1,-2.456575802E0,5.641538672E0
