"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012302.722,"2024-12-12 15:05:02.722 UTC+01:00"
"PAUSE",1.547601580E1,1734012318.198,"2024-12-12 15:05:18.198 UTC+01:00"
