"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.041166674E-3,-2.457817197E-1,-4.588989913E-1,-1.654146761E-1
1.499516668E-2,-4.047819376E-1,-5.735141635E-1,-1.242692471E-1
2.494916663E-2,-5.257882476E-1,-6.726647615E-1,-9.260985255E-2
3.490316664E-2,-5.946785212E-1,-7.666923404E-1,-7.754118741E-2
4.485716665E-2,-6.209667921E-1,-7.749497294E-1,-1.007674113E-1
5.481116666E-2,-6.353073120E-1,-7.018241286E-1,-1.317888498E-1
6.476516667E-2,-6.302233338E-1,-6.289866567E-1,-1.372049153E-1
7.471816667E-2,-6.139537692E-1,-6.072726250E-1,-1.470506638E-1
8.467216667E-2,-6.160156131E-1,-5.156683922E-1,-1.984070688E-1
9.462616668E-2,-6.416608095E-1,-4.463863373E-1,-2.449125797E-1
1.045801666E-1,-6.810353398E-1,-4.687014818E-1,-2.683856785E-1
1.145341666E-1,-7.358406186E-1,-4.796428978E-1,-3.500916958E-1
1.244881666E-1,-8.161343932E-1,-4.595466852E-1,-4.568461180E-1
1.344421667E-1,-8.548072577E-1,-4.977719486E-1,-5.401358008E-1
1.443961667E-1,-9.166299105E-1,-5.428683162E-1,-6.572775841E-1
1.543501667E-1,-1.007001519E0,-4.168749750E-1,-8.348075747E-1
1.643041667E-1,-1.154113412E0,-3.139222264E-1,-9.732211232E-1
1.742581666E-1,-1.383903980E0,-2.841358781E-1,-1.055122256E0
1.842121666E-1,-1.680729985E0,-2.828450501E-1,-1.097122192E0
1.941661666E-1,-1.976670504E0,-2.435546815E-1,-1.143466592E0
2.041201667E-1,-2.277219057E0,-2.958834171E-1,-1.226274014E0
2.140741667E-1,-2.523136854E0,-6.437191367E-1,-1.246844411E0
2.240281667E-1,-2.741184473E0,-1.054586649E0,-1.192850709E0
2.339821667E-1,-2.893832684E0,-1.427661061E0,-1.101791024E0
2.439351667E-1,-2.938744068E0,-2.136720657E0,-9.530747533E-1
2.538891666E-1,-3.022717714E0,-3.052471399E0,-7.434604168E-1
2.638467500E-1,-3.140597582E0,-3.670125484E0,-5.875445604E-1
2.738007500E-1,-3.164905310E0,-3.747262955E0,-5.134621859E-1
2.837547500E-1,-2.908229351E0,-3.414989710E0,-3.705971837E-1
2.937087500E-1,-2.304793119E0,-2.718503714E0,-1.638183594E-1
3.036627500E-1,-1.502585649E0,-1.760730267E0,3.906498104E-2
3.136167500E-1,-7.523980737E-1,-7.989928126E-1,1.598707289E-1
3.235707500E-1,-2.801586092E-1,-1.308898628E-1,1.976498067E-1
3.335247500E-1,-1.211159602E-1,1.253417134E-1,1.257165521E-1
3.434787500E-1,-1.611453891E-1,1.810475886E-1,2.037148178E-2
3.534327500E-1,-2.894451618E-1,2.553572655E-1,2.785653993E-2
3.633867500E-1,-3.955172896E-1,4.373156130E-1,2.093174011E-1
3.733407500E-1,-3.164719343E-1,3.714385331E-1,4.708385170E-1
3.832947500E-1,-1.622498631E-1,4.391800463E-1,6.536322832E-1
3.932487500E-1,1.278654188E-1,5.430430174E-1,7.161027789E-1
4.032027500E-1,5.184412003E-1,1.826728582E-1,7.219907641E-1
4.131567500E-1,9.249358177E-1,8.161960840E-1,8.153479099E-1
4.231097500E-1,1.045614600E0,2.937499583E-1,9.490959048E-1
4.330637500E-1,1.064756155E0,-6.151950359E-1,9.837785959E-1
4.430177500E-1,1.009050608E0,-1.320852995E0,8.068405390E-1
4.529717500E-1,8.813392520E-1,-1.839835763E0,5.292081237E-1
4.629257500E-1,6.912750006E-1,-2.493400097E0,2.350971699E-1
4.728797500E-1,4.702445865E-1,-3.223325253E0,-7.324357331E-2
4.828337500E-1,2.015790492E-1,-3.485589266E0,-3.833319247E-1
4.927877500E-1,-1.222695485E-1,-3.434866428E0,-7.736009955E-1
5.027417500E-1,-4.800164998E-1,-3.319764614E0,-1.132855773E0
5.126957500E-1,-8.296354413E-1,-3.348805428E0,-1.379500985E0
5.226497500E-1,-1.150222301E0,-3.710923433E0,-1.493487000E0
5.326037500E-1,-1.419929743E0,-4.541996479E0,-1.436951041E0
