"event","experiment time","system time","system time text"
"START",0.000000000E0,1734352724.298,"2024-12-16 13:38:44.298 UTC+01:00"
"PAUSE",1.148378606E1,1734352735.782,"2024-12-16 13:38:55.782 UTC+01:00"
