"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734355834755629E9,"2024-12-16 14:30:34.756 UTC+01:00"
"PAUSE",1.185048383328831E1,1.734355846606094E9,"2024-12-16 14:30:46.606 UTC+01:00"
