"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.850904390E-1,5.309945941E-1,8.811730891E-2,2.733621933E-2
7.950904390E-1,5.630650520E-1,4.169155285E-2,-1.018617824E-1
8.050904390E-1,5.560401082E-1,-9.773843922E-3,-2.067778856E-1
8.150904390E-1,5.099197626E-1,-3.665191308E-2,-2.861903608E-1
8.250904390E-1,3.521638215E-1,2.748893574E-2,-3.817907870E-1
8.350904390E-1,1.099557430E-1,2.877175212E-1,-3.926336467E-1
8.450904390E-1,-1.430951804E-1,4.470006526E-1,-3.689626157E-1
8.550904390E-1,-4.048509300E-1,5.737552047E-1,-2.770273983E-1
8.650904390E-1,-4.990769029E-1,8.407033086E-1,-6.414084882E-2
8.750904390E-1,-4.729624093E-1,9.531024694E-1,1.308778822E-1
8.850904390E-1,-3.265074790E-1,8.747590184E-1,4.121813178E-1
8.950904390E-1,-5.467243865E-2,7.854200006E-1,6.887505651E-1
9.050904390E-1,2.672535479E-1,6.679811478E-1,8.422304392E-1
9.150904390E-1,4.569272101E-1,5.659666657E-1,8.830057383E-1
9.250904390E-1,4.424191415E-1,5.025894046E-1,8.452847600E-1
9.350904390E-1,2.503020465E-1,5.389358401E-1,8.168795705E-1
9.450904390E-1,5.803219974E-3,6.044511795E-1,8.358163834E-1
9.550904390E-1,-2.118175179E-1,6.079636216E-1,8.451320529E-1
9.650904390E-1,-3.419318199E-1,6.530149579E-1,8.313875794E-1
9.750904390E-1,-3.894265890E-1,6.907358766E-1,8.520042896E-1
9.850904390E-1,-3.775147200E-1,7.359399199E-1,9.117164016E-1
9.950904390E-1,-2.767219543E-1,7.615962625E-1,9.911288619E-1
1.005090439E0,-1.165225431E-1,7.863363028E-1,1.085354805E0
1.015090439E0,1.954768784E-2,8.170322776E-1,1.161254883E0
1.025090439E0,1.615738571E-1,8.549059033E-1,1.232267857E0
1.035090439E0,2.525927722E-1,8.868235946E-1,1.279915452E0
1.045090439E0,2.927571833E-1,9.159924388E-1,1.300684810E0
1.055090439E0,3.278819323E-1,9.294314981E-1,1.319010735E0
1.065090439E0,3.717114925E-1,9.124799371E-1,1.316720009E0
1.075090439E0,3.778201640E-1,9.318749309E-1,1.314123869E0
1.085090439E0,3.509420753E-1,9.867000580E-1,1.321301579E0
1.095090439E0,3.046690524E-1,1.060920238E0,1.333366156E0
1.105090439E0,2.403754741E-1,1.069319606E0,1.286787629E0
1.115090439E0,2.222022265E-1,1.133765936E0,1.276861072E0
1.125090439E0,1.942551434E-1,1.114218235E0,1.236544013E0
1.135090439E0,1.882992089E-1,1.054506183E0,1.231809735E0
1.145090439E0,1.800525337E-1,1.001971722E0,1.133002281E0
1.155090439E0,1.644754708E-1,9.955576062E-1,1.010982037E0
1.165090439E0,1.525636017E-1,9.845620394E-1,9.450085163E-1
1.175090439E0,1.791362315E-1,8.921687007E-1,9.952521920E-1
1.185090439E0,1.812742651E-1,8.631525636E-1,1.113760114E0
1.195090439E0,1.806633919E-1,9.039278626E-1,1.373683214E0
1.205090439E0,1.876883507E-1,9.164505601E-1,1.504255652E0
1.215090439E0,2.072360367E-1,9.224064946E-1,1.465312958E0
1.225090439E0,2.619084716E-1,9.905179739E-1,1.428661108E0
1.235090439E0,3.347541690E-1,1.046717644E0,1.457829952E0
1.245090439E0,3.724750876E-1,1.074817419E0,1.490816593E0
1.255090439E0,3.698789179E-1,1.111316562E0,1.523803353E0
1.265090439E0,3.113885522E-1,1.149037480E0,1.538158655E0
1.275090439E0,2.165517360E-1,1.190423608E0,1.537853241E0
1.285090439E0,1.388191283E-1,1.202488184E0,1.530370116E0
1.295090439E0,6.093380973E-2,1.207222462E0,1.510822415E0
1.305090439E0,1.481348183E-2,1.225395679E0,1.488678575E0
1.315090439E0,1.527163084E-3,1.254564524E0,1.475086808E0
1.325090439E0,1.527163084E-3,1.292285442E0,1.459204316E0
1.335090439E0,-1.557706390E-2,1.348179579E0,1.448056102E0
1.345090439E0,-1.043052375E-1,1.367727280E0,1.447750688E0
1.355090439E0,-2.745839357E-1,1.344361663E0,1.443932772E0
1.365090439E0,-6.101016402E-1,1.278540969E0,1.423926830E0
1.375090439E0,-9.674578309E-1,1.180802464E0,1.397965074E0
1.385090439E0,-1.170570493E0,1.100321054E0,1.387885809E0
1.395090439E0,-1.244637966E0,1.004262447E0,1.405142784E0
1.405090439E0,-1.076955438E0,8.900306821E-1,1.455691934E0
1.415090439E0,-7.889324427E-1,7.761042714E-1,1.549306989E0
1.425090439E0,-2.806925774E-1,7.168503404E-1,1.628414035E0
1.435090439E0,3.040581644E-1,7.854200006E-1,1.632995486E0
1.445090439E0,7.405213714E-1,8.781188130E-1,1.644601941E0
1.455090439E0,9.521862268E-1,9.671524167E-1,1.641089439E0
1.465090439E0,1.074970126E0,1.069319606E0,1.617876649E0
1.475090439E0,1.055575132E0,1.147052169E0,1.571298122E0
1.485090439E0,9.657779336E-1,1.174999356E0,1.528232098E0
1.495090439E0,7.954992652E-1,1.157742381E0,1.495092630E0
1.505090439E0,6.058256030E-1,1.093143344E0,1.493718266E0
1.515090439E0,4.660901725E-1,1.023657441E0,1.504561067E0
1.525090439E0,3.323107064E-1,9.288206100E-1,1.530217409E0
1.535090439E0,2.544253767E-1,8.242099285E-1,1.565647602E0
1.545090439E0,2.179261744E-1,7.159340382E-1,1.608560920E0
1.555090439E0,1.922698319E-1,6.380487680E-1,1.647809029E0
1.565090439E0,1.533271819E-1,5.529857874E-1,1.691944003E0
1.575090439E0,1.046106741E-1,4.885394871E-1,1.718822122E0
1.585090439E0,5.711590126E-2,4.398229718E-1,1.735926270E0
1.595090439E0,-1.099557430E-2,3.839288056E-1,1.748143673E0
1.605090439E0,-8.994990587E-2,3.313944042E-1,1.734704614E0
