"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.465567370E-1,-2.926044464E-1,-3.204140902E0,2.817845106E0
7.565567370E-1,-7.452555746E-2,-3.067306995E0,2.801962614E0
7.665567370E-1,7.635815442E-2,-2.909092903E0,2.783636570E0
7.765567370E-1,2.809980139E-2,-2.643366575E0,2.812347174E0
7.865567370E-1,-4.679227769E-1,-2.223091364E0,2.885651112E0
7.965567370E-1,-8.240572214E-1,-1.890169740E0,2.962620020E0
8.065567370E-1,-1.091616154E0,-1.594511032E0,3.050584793E0
8.165567370E-1,-1.263269305E0,-1.397812366E0,3.148323059E0
8.265567370E-1,-1.328631878E0,-1.335504174E0,3.216129065E0
8.365567370E-1,-1.302364707E0,-1.367269158E0,3.224681377E0
8.465567370E-1,-1.237612963E0,-1.433853388E0,3.193527222E0
8.565567370E-1,-1.180802464E0,-1.464396715E0,3.186196804E0
8.665567370E-1,-1.167974353E0,-1.472948790E0,3.173979521E0
8.765567370E-1,-1.185689449E0,-1.444849014E0,3.149544954E0
8.865567370E-1,-1.228450060E0,-1.362993121E0,3.142825365E0
8.965567370E-1,-1.310916781E0,-1.246928692E0,3.150155783E0
9.065567370E-1,-1.434311628E0,-1.105207920E0,3.164816380E0
9.165567370E-1,-1.615738630E0,-9.048441648E-1,3.176422834E0
9.265567370E-1,-1.962710023E0,-5.389358401E-1,3.189251184E0
9.365567370E-1,-2.198503971E0,-2.677116990E-1,3.228346348E0
9.465567370E-1,-2.396424294E0,-2.703078650E-2,3.261944056E0
9.565567370E-1,-2.522873402E0,1.458440721E-1,3.266830921E0
9.665567370E-1,-2.565634012E0,2.496911734E-1,3.246672392E0
9.765567370E-1,-2.531425476E0,2.674062550E-1,3.190472841E0
9.865567370E-1,-2.412917614E0,1.953241676E-1,3.082349777E0
9.965567370E-1,-2.236377716E0,4.688390717E-2,2.944294214E0
1.006556837E0,-2.050674677E0,-1.577559561E-1,2.805016756E0
1.016556837E0,-1.896736622E0,-3.318525553E-1,2.683454752E0
1.026556837E0,-1.810604572E0,-4.112650156E-1,2.578385830E0
1.036556837E0,-1.796554685E0,-4.253149331E-1,2.511190653E0
1.046556503E0,-1.817934990E0,-3.801108897E-1,2.484923363E0
1.056556503E0,-1.834428310E0,-3.196352422E-1,2.447660685E0
1.066556503E0,-1.811215401E0,-3.031418920E-1,2.343202829E0
