"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734354761378698E9,"2024-12-16 14:12:41.379 UTC+01:00"
"PAUSE",1.216691987501690E1,1.734354773545598E9,"2024-12-16 14:12:53.546 UTC+01:00"
