"event","experiment time","system time","system time text"
"START",0.000000000E0,1734350640.026,"2024-12-16 13:04:00.026 UTC+01:00"
"PAUSE",1.670316879E1,1734350656.730,"2024-12-16 13:04:16.730 UTC+01:00"
