"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.515087500E-2,-1.628261328E0,-1.208138704E0,-5.731443167E-1
2.727564100E-2,-1.667051196E0,-1.194852471E0,-5.769622326E-1
2.940040700E-2,-1.698663473E0,-1.182635069E0,-5.795583725E-1
3.148458200E-2,-1.725388885E0,-1.176526427E0,-5.881105065E-1
3.356903600E-2,-1.749823451E0,-1.177900910E0,-5.954409242E-1
3.565232000E-2,-1.764331579E0,-1.182787776E0,-6.027712822E-1
3.773624600E-2,-1.774105430E0,-1.193630695E0,-6.076582074E-1
3.981982400E-2,-1.778839588E0,-1.209513187E0,-6.125451326E-1
4.192478300E-2,-1.777617812E0,-1.225395679E0,-6.149885654E-1
4.404148200E-2,-1.771509171E0,-1.239903688E0,-6.148358583E-1
4.617955300E-2,-1.761888027E0,-1.254564524E0,-6.136141419E-1
4.830499100E-2,-1.746005535E0,-1.264338374E0,-6.099489331E-1
5.043456900E-2,-1.732719302E0,-1.278846383E0,-6.036875844E-1
5.255728000E-2,-1.714393258E0,-1.299463034E0,-5.951354504E-1
5.468208600E-2,-1.697441816E0,-1.327410221E0,-5.839871764E-1
5.680765600E-2,-1.679115891E0,-1.366352797E0,-5.754350424E-1
5.893308400E-2,-1.662164330E0,-1.405295491E0,-5.667302608E-1
6.105902000E-2,-1.645212770E0,-1.444238186E0,-5.592471361E-1
6.318153700E-2,-1.630552053E0,-1.475850463E0,-5.519167781E-1
6.529789000E-2,-1.615891337E0,-1.494023681E0,-5.456553698E-1
6.743630800E-2,-1.600161552E0,-1.502575755E0,-5.419901609E-1
6.956276400E-2,-1.586722493E0,-1.503797531E0,-5.383250117E-1
7.169078600E-2,-1.575879574E0,-1.492801905E0,-5.334380865E-1
7.381305900E-2,-1.564884067E0,-1.470810771E0,-5.322163701E-1
7.593834300E-2,-1.554041147E0,-1.447750688E0,-5.285511613E-1
7.806433000E-2,-1.545489073E0,-1.429424644E0,-5.273294449E-1
8.019001200E-2,-1.533424497E0,-1.420872569E0,-5.236642361E-1
8.231702600E-2,-1.526094079E0,-1.424537778E0,-5.199990273E-1
8.444714300E-2,-1.517542005E0,-1.440420270E0,-5.199990273E-1
8.656480800E-2,-1.508989930E0,-1.463480353E0,-5.186246037E-1
8.867958600E-2,-1.498147011E0,-1.487915039E0,-5.186246037E-1
9.081705700E-2,-1.488373160E0,-1.510975242E0,-5.186246037E-1
9.294088600E-2,-1.476155877E0,-1.532813668E0,-5.209153295E-1
9.506132900E-2,-1.466382027E0,-1.548696160E0,-5.245805383E-1
9.719550500E-2,-1.452942967E0,-1.563356876E0,-5.280929804E-1
9.932122800E-2,-1.438434958E0,-1.574199796E0,-5.342016816E-1
1.014506430E-1,-1.426217675E0,-1.583973527E0,-5.403103232E-1
1.035724070E-1,-1.410335183E0,-1.591303945E0,-5.474879742E-1
1.056901550E-1,-1.397048831E0,-1.597412586E0,-5.523748994E-1
1.078236180E-1,-1.379944563E0,-1.598634362E0,-5.560401082E-1
1.099489750E-1,-1.364214778E0,-1.602299571E0,-5.607742667E-1
1.120770070E-1,-1.347110629E0,-1.602299571E0,-5.644394755E-1
1.142008970E-1,-1.331228137E0,-1.602299571E0,-5.668829679E-1
1.163267920E-1,-1.313054800E0,-1.598634362E0,-5.693264008E-1
1.184523520E-1,-1.299615860E0,-1.598634362E0,-5.705481172E-1
1.205773320E-1,-1.287551165E0,-1.601077795E0,-5.729916096E-1
1.226977950E-1,-1.274112225E0,-1.608255506E0,-5.716171265E-1
1.248275150E-1,-1.260673165E0,-1.618029356E0,-5.716171265E-1
1.269483850E-1,-1.246165156E0,-1.630246639E0,-5.703954101E-1
1.290817880E-1,-1.235169530E0,-1.643532991E0,-5.677992702E-1
1.312061470E-1,-1.223104954E0,-1.658193707E0,-5.653557777E-1
1.333331710E-1,-1.209665895E0,-1.670410991E0,-5.641340613E-1
1.354576420E-1,-1.198670268E0,-1.684919119E0,-5.615378618E-1
1.375841890E-1,-1.182940602E0,-1.699579835E0,-5.590944290E-1
1.397092090E-1,-1.173166752E0,-1.712866187E0,-5.554292202E-1
1.418343220E-1,-1.160949349E0,-1.726305127E0,-5.540547967E-1
1.439630640E-1,-1.150106549E0,-1.742034912E0,-5.491678715E-1
1.460982980E-1,-1.142776132E0,-1.754252315E0,-5.455026627E-1
1.482114160E-1,-1.134224057E0,-1.769982100E0,-5.416847467E-1
1.503369860E-1,-1.127046347E0,-1.784642816E0,-5.367978215E-1
1.524599000E-1,-1.119716048E0,-1.802816033E0,-5.306891799E-1
1.545883900E-1,-1.114829063E0,-1.824807167E0,-5.244278312E-1
1.567070020E-1,-1.113607287E0,-1.844202161E0,-5.183191895E-1
1.588232540E-1,-1.111163855E0,-1.864818931E0,-5.097670555E-1
1.609520490E-1,-1.108720422E0,-1.888031721E0,-4.998404980E-1
1.630921130E-1,-1.107498646E0,-1.912313700E0,-4.912883639E-1
1.652199610E-1,-1.109942198E0,-1.939038992E0,-4.827362597E-1
1.673455820E-1,-1.113607287E0,-1.969429493E0,-4.740314186E-1
1.694686400E-1,-1.118494272E0,-2.003485203E0,-4.642575979E-1
