"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.450617917E-1,6.807728410E-1,-6.374335289E-2,5.404978991E-1
7.550157917E-1,8.757388592E-1,-2.018271983E-1,5.616348386E-1
7.649687917E-1,1.026849151E0,-4.221718311E-1,5.672231317E-1
7.749217917E-1,1.182427526E0,-6.254277229E-1,5.516718626E-1
7.848747917E-1,1.342598200E0,-8.203902841E-1,4.677764773E-1
7.948287917E-1,1.435112715E0,-1.055918932E0,3.661840856E-1
8.047817916E-1,1.540420890E0,-1.206757903E0,3.027010858E-1
8.147347916E-1,1.680305481E0,-1.182126880E0,2.835665643E-1
8.246887916E-1,1.775614262E0,-1.189152837E0,3.314582407E-1
8.346417916E-1,1.767938256E0,-1.203128576E0,3.074029684E-1
8.445947916E-1,1.711693764E0,-1.101063490E0,2.978460193E-1
8.545487917E-1,1.622799754E0,-1.080498219E0,3.782955706E-1
8.645017917E-1,1.485936880E0,-1.229440928E0,4.198886156E-1
8.744547917E-1,1.369485855E0,-1.321284056E0,3.843846917E-1
8.844087917E-1,1.245527864E0,-1.560302258E0,2.321032882E-1
8.943617917E-1,1.235224724E0,-1.540377736E0,2.812964842E-2
9.043147917E-1,1.223427415E0,-1.533398509E0,-1.647291481E-1
9.142687917E-1,1.222206116E0,-1.520092010E0,-3.534926772E-1
9.242217917E-1,1.285177827E0,-1.242295146E0,-4.853910208E-1
9.341747917E-1,1.309141040E0,-9.381861687E-1,-5.483454466E-1
9.441277917E-1,1.273397684E0,-7.474775910E-1,-5.303587914E-1
9.540817917E-1,1.181612611E0,-6.800796390E-1,-4.675843716E-1
9.640347917E-1,1.052124143E0,-7.584337592E-1,-4.011887312E-1
9.739877917E-1,9.945031404E-1,-8.642179966E-1,-3.180363178E-1
9.839417916E-1,1.036515594E0,-1.017552614E0,-2.214856148E-1
9.938947916E-1,1.102683663E0,-1.246493936E0,-1.933549047E-1
1.003847792E0,1.165599585E0,-1.536852241E0,-2.598487735E-1
1.013801792E0,1.211543441E0,-1.773535848E0,-4.075306356E-1
1.023754792E0,1.226517916E0,-1.886940718E0,-5.563922524E-1
1.033707792E0,1.186230183E0,-1.863161445E0,-6.160603762E-1
1.043661792E0,1.101598263E0,-1.717480421E0,-5.593013763E-1
1.053614792E0,9.503457546E-1,-1.508994102E0,-3.937917650E-1
1.063567792E0,7.385112643E-1,-1.242982984E0,-1.659379154E-1
1.073521792E0,4.914868474E-1,-9.260599017E-1,4.273167998E-2
1.083474792E0,2.774003148E-1,-6.733719707E-1,1.770766079E-1
1.093423292E0,1.135030091E-1,-5.556831360E-1,2.176924795E-1
1.103376292E0,1.194751076E-2,-7.343922257E-1,1.267612427E-1
1.113330292E0,2.252319083E-2,-9.777603745E-1,-6.422150135E-2
1.123283292E0,-1.626054384E-2,-1.163497329E0,-3.029949963E-1
1.133236292E0,-8.554135263E-2,-1.256157517E0,-4.709954560E-1
1.143190292E0,-1.676556021E-1,-1.193034410E0,-5.178508162E-1
1.153143292E0,-3.419626951E-1,-1.115386009E0,-4.882361889E-1
1.163096292E0,-5.632196665E-1,-1.025141597E0,-3.938381970E-1
1.173050292E0,-7.846361995E-1,-8.362811804E-1,-2.794948518E-1
1.183003292E0,-9.790046215E-1,-5.500733852E-1,-1.861340255E-1
1.192956292E0,-1.119405150E0,-2.875693142E-1,-1.196295023E-1
1.202910292E0,-1.219133377E0,-1.979877800E-1,-1.907731891E-1
1.212863292E0,-1.233524799E0,-2.025375217E-1,-3.530257344E-1
1.222816292E0,-1.202026129E0,-3.707379997E-1,-4.912400544E-1
1.232770292E0,-1.149014950E0,-5.205983520E-1,-6.352379322E-1
