"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.384375003E-3,-4.992707968E-1,-7.059439421E-1,-1.281508803E-1
1.433737500E-2,-5.335916281E-1,-7.484573722E-1,-1.334887892E-1
2.429137501E-2,-5.341969728E-1,-7.583839893E-1,-1.503817439E-1
3.424437501E-2,-5.207937956E-1,-7.157515883E-1,-1.347715110E-1
4.419837502E-2,-5.135742426E-1,-6.750539541E-1,-1.075657159E-1
5.415237497E-2,-5.384828448E-1,-6.390900612E-1,-1.133796573E-1
6.410537497E-2,-6.036994457E-1,-6.035057306E-1,-1.646934599E-1
7.405937498E-2,-6.810923219E-1,-5.777877569E-1,-2.263573706E-1
8.401237498E-2,-7.215740085E-1,-5.869466662E-1,-2.963995934E-1
9.396662499E-2,-7.365410328E-1,-6.035784483E-1,-3.949954808E-1
1.039206250E-1,-7.766639590E-1,-6.030668616E-1,-4.725025296E-1
1.138736250E-1,-8.925935626E-1,-5.905134082E-1,-4.829074144E-1
1.238276250E-1,-9.875120521E-1,-6.080791354E-1,-3.981214166E-1
1.337806250E-1,-1.037088513E0,-6.675583124E-1,-2.613514662E-1
1.437346250E-1,-1.014463544E0,-8.206645250E-1,-1.016637981E-1
1.536886250E-1,-9.601505995E-1,-9.859529138E-1,2.352490462E-2
1.636416250E-1,-9.366950989E-1,-1.039925337E0,7.760358602E-2
1.735956250E-1,-9.256401062E-1,-1.076726913E0,7.455848157E-2
1.835486250E-1,-9.067188501E-1,-1.208745599E0,6.846730411E-2
1.935026250E-1,-8.921200037E-1,-1.167677879E0,-3.544682264E-2
2.034566250E-1,-8.406301737E-1,-1.143888950E0,-1.215010136E-1
2.134096250E-1,-7.707524896E-1,-1.101200342E0,-1.305000633E-1
2.233636250E-1,-6.568911672E-1,-1.099222183E0,-9.757593274E-2
2.333166250E-1,-5.211808085E-1,-1.206122518E0,-2.032490261E-2
2.432706250E-1,-5.066133142E-1,-1.521356583E0,5.980695412E-2
2.532236250E-1,-5.147863030E-1,-1.732877016E0,1.262409091E-1
2.631776250E-1,-5.084157586E-1,-1.706799507E0,2.125747353E-1
2.731316250E-1,-5.592018366E-1,-1.544207692E0,3.541185260E-1
2.830846250E-1,-6.137313843E-1,-1.379654765E0,5.170297027E-1
2.930386250E-1,-6.724939346E-1,-1.210789561E0,6.315683126E-1
3.029926250E-1,-6.481502652E-1,-1.000516415E0,7.135899067E-1
3.129456250E-1,-5.654969215E-1,-7.973656654E-1,7.415100336E-1
3.228996250E-1,-4.585230649E-1,-6.257044077E-1,7.400945425E-1
3.328526250E-1,-3.651698530E-1,-4.539445043E-1,7.432006598E-1
3.428066250E-1,-2.694907188E-1,-3.652404845E-1,7.420682907E-1
3.527596250E-1,-1.459209472E-1,-2.615240514E-1,7.325575352E-1
3.627136250E-1,2.973728348E-3,-1.460022628E-1,7.836151719E-1
3.726676250E-1,1.622548401E-1,1.262541953E-2,8.230696917E-1
3.826206250E-1,3.187144995E-1,1.771432608E-1,8.187329769E-1
3.925746250E-1,4.444696903E-1,2.782061100E-1,7.580568790E-1
4.025276250E-1,5.036395192E-1,2.130249590E-1,6.579813957E-1
4.124816250E-1,4.639319777E-1,1.847870462E-2,5.339143872E-1
4.224356250E-1,3.656653166E-1,-1.644277424E-1,4.407501519E-1
4.323886250E-1,3.195178211E-1,-2.118162960E-1,4.180520177E-1
4.423426250E-1,3.380667269E-1,-1.620593816E-1,4.131171703E-1
