"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.264139100E-2,-5.154175684E-2,1.201113760E-1,1.451568604E-1
2.702912000E-2,-5.154175684E-2,1.201113760E-1,1.451568604E-1
3.702912000E-2,-5.154175684E-2,1.201113760E-1,1.451568604E-1
4.702912000E-2,-5.154175684E-2,1.201113760E-1,1.451568604E-1
5.702912000E-2,-7.479281425E-1,1.008309484E0,-1.022435725E-1
6.702912000E-2,-8.200102448E-1,1.074282885E0,-1.633300930E-1
7.702912000E-2,-8.658251166E-1,1.274646640E0,-7.780896127E-2
8.702912000E-2,-8.505535126E-1,1.313131213E0,4.619668424E-2
9.702912000E-2,-7.711409926E-1,1.173243046E0,3.397937864E-2
1.070291200E-1,-6.892850995E-1,9.985355735E-1,-5.459608138E-2
1.170291200E-1,-6.776786447E-1,7.859544754E-1,-9.246972948E-2
1.270291200E-1,-6.630178690E-1,6.943247318E-1,-5.642867833E-2
1.370291200E-1,-6.837872863E-1,5.715407729E-1,-4.054617882E-2
1.470291200E-1,-7.766388059E-1,3.711769879E-1,-8.819366992E-2
1.570291200E-1,-9.556223154E-1,1.818087697E-1,-1.333976984E-1
1.670291200E-1,-1.148044825E0,1.427133977E-1,-9.491318464E-2
1.770291200E-1,-1.321530581E0,9.140071273E-2,-6.559165567E-2
1.870291200E-1,-1.435762405E0,-2.384665161E-1,-1.138500124E-1
1.970291200E-1,-1.497459769E0,-4.705953002E-1,-1.682170182E-1
2.070291200E-1,-1.501124978E0,-4.883103967E-1,-2.176970989E-1
2.170291200E-1,-1.421712518E0,-4.095087945E-1,-2.922226489E-1
2.270291200E-1,-1.191416264E0,-4.382194579E-1,-3.606395721E-1
2.370291200E-1,-1.003880620E0,-6.483570933E-1,-3.960697651E-1
2.470291200E-1,-9.159160852E-1,-1.003269792E0,-4.724279046E-1
2.570291200E-1,-7.552585006E-1,-1.173701167E0,-6.416375637E-1
2.670291200E-1,-4.009566605E-1,-1.253724575E0,-7.974082232E-1
2.770291200E-1,1.695914567E-1,-1.179198980E0,-8.401687741E-1
2.870291200E-1,7.957283258E-1,-1.043586969E0,-7.858017683E-1
2.970291200E-1,1.299692154E0,-9.770026207E-1,-7.344890833E-1
3.070291200E-1,1.547703505E0,-1.005713224E0,-7.369325757E-1
3.170291200E-1,1.483562589E0,-1.289154768E0,-8.303949237E-1
3.270291200E-1,1.189125538E0,-1.567098379E0,-9.953285456E-1
3.370291200E-1,7.706828713E-1,-1.697823644E0,-1.145601392E0
3.470291200E-1,3.895029426E-1,-1.735086322E0,-1.206077099E0
3.570291200E-1,1.677588671E-1,-1.749747157E0,-1.193859816E0
3.670291530E-1,1.567633003E-1,-1.678886771E0,-1.118723392E0
3.770291530E-1,5.251150131E-1,-1.596419930E0,-8.139016032E-1
3.870291530E-1,8.641452193E-1,-1.652008653E0,-6.220899224E-1
3.970291530E-1,1.147586703E0,-1.714316964E0,-5.286275148E-1
4.070291530E-1,1.283198833E0,-1.856648564E0,-5.219079852E-1
4.170291530E-1,1.291140079E0,-2.180407047E0,-6.074291468E-1
4.270291530E-1,1.257542491E0,-2.581134796E0,-7.558693886E-1
4.370291530E-1,1.353448272E0,-3.075935602E0,-9.177486897E-1
4.470291530E-1,1.533653498E0,-3.714289665E0,-1.081460595E0
4.570291530E-1,1.702252388E0,-4.349589825E0,-1.195692301E0
4.670291530E-1,1.796325564E0,-5.058804035E0,-1.286100388E0
4.770291530E-1,1.829312325E0,-5.805281639E0,-1.477301240E0
4.870291530E-1,1.757230282E0,-6.465015888E0,-1.797394633E0
4.970291530E-1,1.595350981E0,-6.906671524E0,-2.198122263E0
5.070290860E-1,1.475010514E0,-6.859024048E0,-2.636723518E0
5.170290860E-1,1.528155804E0,-6.519993782E0,-2.985527515E0
5.270290860E-1,2.065106392E0,-6.042297363E0,-3.297068834E0
5.370290860E-1,2.600224257E0,-5.719760418E0,-3.466889381E0
5.470290860E-1,2.990567207E0,-5.378897667E0,-3.659922838E0
5.570290860E-1,3.096857786E0,-5.120501518E0,-3.896327496E0
5.670290860E-1,2.752329826E0,-5.166316509E0,-3.965966225E0
5.770290860E-1,1.989969850E0,-5.180366516E0,-4.063704491E0
5.870290860E-1,1.396208882E0,-5.014822006E0,-4.322100639E0
5.970290860E-1,1.059622169E0,-4.922581196E0,-4.644026756E0
6.070290860E-1,1.016861558E0,-4.387463093E0,-4.917083263E0
6.170291190E-1,1.140867233E0,-3.683746576E0,-5.079573631E0
6.270291190E-1,1.293583512E0,-2.816317797E0,-5.123555660E0
6.370291190E-1,1.308855176E0,-2.069229603E0,-5.011156559E0
6.470291190E-1,1.195234179E0,-1.586035252E0,-4.756425858E0
6.570291190E-1,1.054124355E0,-1.179809809E0,-4.411286831E0
6.670290850E-1,9.741010070E-1,-7.729735970E-1,-4.031328678E0
6.770290850E-1,9.264535308E-1,-6.202573180E-1,-3.521256447E0
6.870290850E-1,9.447794557E-1,-7.015023828E-1,-3.253697395E0
6.970290850E-1,9.661597610E-1,-8.200102448E-1,-3.119307041E0
7.070290850E-1,9.832639694E-1,-9.684504867E-1,-3.117474318E0
7.170290850E-1,1.001589894E0,-1.149266601E0,-3.187113047E0
7.270290850E-1,1.019915938E0,-1.220126987E0,-3.218878031E0
7.370290850E-1,1.042517900E0,-1.085736632E0,-3.151072025E0
7.470290850E-1,1.036409259E0,-8.236754537E-1,-2.998966455E0
7.570290850E-1,9.527207017E-1,-6.098725796E-1,-2.784552813E0
7.670290850E-1,7.896196842E-1,-5.298492312E-1,-2.545093775E0
7.770290850E-1,6.045275331E-1,-5.622251034E-1,-2.333734274E0
7.870290850E-1,4.463134110E-1,-6.465244889E-1,-2.179796219E0
7.970290850E-1,3.546836376E-1,-7.625889182E-1,-2.116266251E0
8.070291510E-1,3.357468247E-1,-8.792641759E-1,-2.154139996E0
8.170291510E-1,3.675118089E-1,-7.967973351E-1,-2.225611210E0
8.270291510E-1,5.110651255E-1,-5.817728043E-1,-2.247602224E0
8.370291510E-1,5.825363398E-1,-5.946009755E-1,-2.223778486E0
8.470291510E-1,5.947536826E-1,-5.096907020E-1,-2.245769739E0
8.570291510E-1,5.458844304E-1,-4.443280995E-1,-2.281810760E0
8.670291840E-1,4.176027477E-1,-4.840343595E-1,-2.278756380E0
8.770291840E-1,2.648864388E-1,-5.176319480E-1,-2.212783098E0
8.870291840E-1,1.457677186E-1,-5.243514776E-1,-2.090610027E0
