"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.016158110E-1,6.919242740E-1,5.140650272E0,8.298602104E0
4.116158110E-1,5.147533417E-1,5.255571842E0,8.193257332E0
4.216158110E-1,3.567360640E-1,5.351340294E0,8.085518837E0
4.316158110E-1,1.987187415E-1,5.420772076E0,7.961019993E0
4.416158110E-1,5.746084079E-2,5.480627060E0,7.848492622E0
4.516158110E-1,-5.027823523E-2,5.550058842E0,7.755118370E0
4.616158110E-1,-1.221042871E-1,5.612308025E0,7.680898190E0
4.716158110E-1,-1.651999205E-1,5.645826817E0,7.609072208E0
4.816158110E-1,-1.963245422E-1,5.660192013E0,7.570765018E0
4.916158110E-1,-2.274491638E-1,5.660192013E0,7.558794022E0
5.016158110E-1,-2.729389966E-1,5.655403614E0,7.551611423E0
5.116158110E-1,-3.303998411E-1,5.657797813E0,7.558794022E0
5.216158110E-1,-3.687070608E-1,5.662586212E0,7.575553417E0
5.316158110E-1,-3.758896589E-1,5.684134007E0,7.618649006E0
5.416158110E-1,-3.543418646E-1,5.700893402E0,7.685686588E0
5.516158110E-1,-2.873041928E-1,5.708076000E0,7.771877766E0
5.616158110E-1,-2.202665508E-1,5.710470200E0,7.855675220E0
5.716158110E-1,-1.675941199E-1,5.727229595E0,7.939472198E0
5.816158110E-1,-1.316810995E-1,5.760748386E0,8.016086578E0
5.916158110E-1,-1.125274822E-1,5.799055576E0,8.097489357E0
6.016158110E-1,-1.029506698E-1,5.837363243E0,8.195652008E0
6.116158110E-1,-8.379705995E-2,5.861305237E0,8.336909294E0
6.216158110E-1,-4.070143029E-2,5.868487835E0,8.523657799E0
6.316158110E-1,2.154781483E-2,5.851728439E0,8.748712540E0
6.416158110E-1,8.858546615E-2,5.825392246E0,8.966584206E0
6.516158110E-1,1.747767180E-1,5.811026573E0,9.148544312E0
6.616158110E-1,2.657563984E-1,5.827786446E0,9.280224800E0
6.716158110E-1,3.567360640E-1,5.863699436E0,9.356839180E0
6.816158110E-1,4.453215301E-1,5.894824028E0,9.411906242E0
6.916158110E-1,5.363011956E-1,5.894824028E0,9.498097420E0
7.016158110E-1,6.248866320E-1,5.858911037E0,9.574711800E0
7.116158110E-1,7.062895298E-1,5.772719383E0,9.648932457E0
7.216158110E-1,7.900865674E-1,5.672163010E0,9.730335236E0
7.316158110E-1,8.738836050E-1,5.574000835E0,9.797372818E0
7.416158110E-1,9.624691010E-1,5.466261864E0,9.833285332E0
7.516158110E-1,1.058237195E0,5.348946095E0,9.833285332E0
7.616158110E-1,1.146822572E0,5.241206646E0,9.799766541E0
