"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734355036660907E9,"2024-12-16 14:17:16.661 UTC+01:00"
"PAUSE",1.101785175001714E1,1.734355047678741E9,"2024-12-16 14:17:27.679 UTC+01:00"
