"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.257661400E-1,-6.000002623E-1,4.396811485E0,9.709476471E0
8.357661400E-1,-6.382854581E-1,4.454239368E0,9.804591179E0
8.457661400E-1,-8.063812256E-1,4.420141697E0,9.974481583E0
8.557661400E-1,-9.738788009E-1,4.295714855E0,1.021137047E1
8.657661400E-1,-1.104885817E0,4.296313286E0,1.073480034E1
8.757661400E-1,-9.894321561E-1,4.222733974E0,1.183908844E1
8.857661400E-1,-8.452646136E-1,4.182653904E0,1.301994610E1
8.957661400E-1,-8.811569214E-1,3.964308977E0,1.395972729E1
9.057661400E-1,-9.684949517E-1,3.745365620E0,1.447956848E1
9.157661400E-1,-1.231107235E0,3.629911900E0,1.451007652E1
9.257661400E-1,-1.530808330E0,3.713660717E0,1.400997639E1
9.357661400E-1,-1.815554142E0,3.845266104E0,1.339561939E1
9.457661400E-1,-2.186441660E0,4.076771736E0,1.259880924E1
9.557661400E-1,-2.548954248E0,4.356133461E0,1.206879902E1
9.657661400E-1,-2.753540754E0,4.464408875E0,1.170329571E1
9.757661400E-1,-2.988037348E0,4.301696777E0,1.182532978E1
9.857661400E-1,-2.979662418E0,3.696312666E0,1.281416321E1
9.957661400E-1,-2.834298372E0,3.058625460E0,1.412064457E1
1.005766140E0,-2.611765862E0,2.746362209E0,1.512622833E1
1.015766140E0,-2.164308071E0,2.486740828E0,1.590030670E1
1.025766140E0,-1.770688772E0,2.129014015E0,1.577169228E1
1.035766140E0,-1.604985833E0,1.922633052E0,1.499163246E1
1.045766140E0,-1.417149186E0,1.843071699E0,1.333280754E1
1.055766140E0,-1.181456208E0,2.030908108E0,1.137368393E1
1.065766140E0,-1.824527264E0,2.105684042E0,9.390034676E0
1.075766140E0,-2.106282234E0,2.020738840E0,8.050053596E0
1.085766140E0,-2.154138565E0,1.655235052E0,7.028916359E0
1.095766140E0,-2.863012314E0,1.968096614E0,7.034300327E0
1.105766140E0,-3.174677372E0,1.924427629E0,7.298109055E0
1.115766140E0,-3.251247883E0,1.733001828E0,7.469195843E0
1.125766140E0,-3.189632654E0,1.466800332E0,7.909475327E0
1.135766140E0,-3.089732170E0,1.400997639E0,8.211568832E0
1.145766140E0,-2.932404041E0,1.400997639E0,8.203792572E0
1.155766140E0,-2.573480844E0,1.526620865E0,8.079365730E0
1.165766140E0,-2.228316069E0,1.532004714E0,7.763513088E0
1.175766140E0,-1.925624013E0,1.523031592E0,7.418348312E0
1.185766140E0,-1.674975872E0,1.417149186E0,6.867999077E0
1.195766140E0,-1.358525038E0,1.575673699E0,6.551548481E0
1.205766140E0,-8.536394835E-1,1.878963947E0,6.738188744E0
1.215766140E0,-9.529415965E-1,1.853839397E0,6.384050846E0
1.225766140E0,-9.846464992E-1,2.048854351E0,5.719444275E0
1.235766140E0,-8.865407705E-1,2.028515339E0,5.152943611E0
1.245766140E0,-5.132604837E-1,1.786242127E0,5.200799942E0
1.255766140E0,-4.211367965E-1,1.724028707E0,4.891527653E0
1.265766140E0,-3.308077157E-1,1.905883193E0,4.939982414E0
1.275766140E0,-1.166501045E-1,1.945364833E0,5.219344616E0
1.285766140E0,-4.127619043E-2,2.099103689E0,5.319842815E0
1.295766140E0,1.058823988E-1,2.138585329E0,5.555535793E0
1.305766140E0,1.435693651E-1,2.219941139E0,5.670391560E0
1.315766140E0,3.583251834E-1,2.277967215E0,5.706283569E0
1.325766140E0,5.533402562E-1,2.446661234E0,5.870192051E0
1.335766140E0,6.424728632E-1,2.672184706E0,6.181259155E0
1.345766140E0,6.550351977E-1,2.849851847E0,6.419943333E0
1.355766140E0,6.963114142E-1,3.056232691E0,6.815955162E0
1.365766140E0,6.652047038E-1,3.157927752E0,7.426125050E0
1.375766140E0,6.723831892E-1,3.230908871E0,8.056035995E0
1.385766140E0,5.593222976E-1,3.470789194E0,8.569893837E0
1.395766140E0,3.619144261E-1,3.556930780E0,8.944371223E0
1.405766140E0,2.656033039E-1,3.566502094E0,9.177073479E0
1.415766140E0,3.786641955E-1,3.668197155E0,9.493523598E0
1.425766140E0,9.840483069E-1,3.933800459E0,9.767501831E0
1.435766140E0,1.542772412E0,4.031906128E0,9.940383911E0
1.445766140E0,1.892124534E0,3.808775425E0,9.954740524E0
1.455766140E0,2.033899307E0,3.996013880E0,1.030887794E1
1.465766140E0,1.337587833E0,4.553541660E0,1.057687473E1
1.475766140E0,9.625129104E-1,5.050052166E0,1.076710415E1
1.485766140E0,1.323230863E0,5.749354839E0,1.085085201E1
1.495766140E0,1.729412556E0,6.042475224E0,1.078863907E1
1.505766140E0,2.012363911E0,5.775675774E0,1.067797089E1
1.515766140E0,2.208575249E0,5.484947681E0,1.087178993E1
1.525766140E0,2.121835470E0,5.165505886E0,1.135813046E1
1.535766140E0,1.800599098E0,5.007579803E0,1.187976646E1
1.545766140E0,1.707877159E0,4.874777794E0,1.253240871E1
1.555766140E0,1.608574986E0,4.871188641E0,1.342433357E1
1.565766140E0,1.320838094E0,4.837689400E0,1.371685600E1
1.575766140E0,1.186840057E0,4.751547337E0,1.390648746E1
1.585766140E0,1.244267821E0,4.765904427E0,1.387358570E1
1.595766140E0,1.450648785E0,4.785047054E0,1.359422398E1
1.605766140E0,1.581057549E0,4.660620213E0,1.338126278E1
1.615766140E0,1.614557028E0,4.312464714E0,1.359242916E1
1.625766140E0,1.628913999E0,3.658625841E0,1.426182079E1
1.635766140E0,1.586441398E0,2.861217737E0,1.474995708E1
1.645766140E0,1.606780410E0,2.264208317E0,1.493240929E1
1.655766140E0,1.648056626E0,1.761715651E0,1.466680622E1
1.665766140E0,1.765903115E0,1.287338614E0,1.408714485E1
1.675766140E0,1.621735573E0,8.213363886E-1,1.340818214E1
1.685766140E0,1.350748420E0,3.828516304E-1,1.207896900E1
1.695766140E0,1.098305583E0,1.830509305E-1,1.069711399E1
1.705766140E0,1.083350420E0,1.992024779E-1,9.470193863E0
1.715766140E0,1.181456208E0,2.602194548E-1,8.641080856E0
1.725766140E0,1.418345571E0,3.553341627E-1,7.913064480E0
1.735766140E0,1.524826288E0,4.073780477E-1,7.518248558E0
1.745766140E0,1.366899967E0,5.018945336E-1,7.358527660E0
1.755766140E0,1.242473125E0,6.113662124E-1,7.399804115E0
1.765766140E0,1.633101463E0,9.236295223E-1,7.437490940E0
1.775766140E0,1.646860242E0,1.239482164E0,7.408178806E0
1.785766140E0,1.383649707E0,1.324427366E0,7.275975227E0
1.795766140E0,8.261220455E-1,1.197009563E0,6.892525673E0
1.805766140E0,3.457628787E-1,1.055234790E0,6.352943897E0
1.815766140E0,-2.093719877E-2,1.058225870E0,5.961717606E0
1.825766140E0,-5.030909777E-1,1.161117196E0,5.621936798E0
1.835766140E0,-8.997012973E-1,1.287936807E0,5.464608669E0
1.845766140E0,-1.201196909E0,1.449452281E0,5.474778175E0
1.855766140E0,-1.465005636E0,1.663609982E0,5.442475319E0
1.865766140E0,-1.767099500E0,1.906481385E0,5.419743061E0
1.875766140E0,-2.025524378E0,2.168495417E0,5.392225742E0
1.885766140E0,-2.112264156E0,2.364108801E0,5.271388054E0
1.895766140E0,-2.155334949E0,2.654836655E0,5.065007210E0
1.905766140E0,-2.208575249E0,2.907877684E0,4.944767952E0
1.915766140E0,-2.318645239E0,3.074777126E0,4.933402061E0
1.925766140E0,-2.468196630E0,3.290131092E0,5.108078003E0
1.935766140E0,-2.504088879E0,3.500699520E0,5.484349728E0
1.945766140E0,-2.501097918E0,3.678964853E0,5.918048382E0
1.955766140E0,-2.392822742E0,3.794418573E0,6.229713917E0
1.965766140E0,-2.261217356E0,3.996612072E0,6.703492641E0
1.975766140E0,-2.028515339E0,4.204189301E0,7.044469833E0
1.985766140E0,-2.072782516E0,4.266402721E0,7.244270325E0
1.995766140E0,-2.203191519E0,4.357329845E0,7.485945702E0
2.005766140E0,-2.175075769E0,4.396213531E0,7.719843864E0
2.015766140E0,-2.353341103E0,4.510470867E0,7.908876896E0
2.025766140E0,-2.607578516E0,4.567898273E0,8.139784813E0
2.035766140E0,-2.818745136E0,4.624728203E0,8.389834404E0
2.045766140E0,-2.983251572E0,4.739583492E0,8.745766640E0
2.055766140E0,-3.123231649E0,4.859224796E0,9.106484413E0
2.065766140E0,-2.819343328E0,5.109872818E0,9.463015556E0
2.075766140E0,-2.391027927E0,5.346164227E0,9.710672379E0
2.085766140E0,-2.200798512E0,5.490929604E0,9.884750366E0
2.095766140E0,-2.316252232E0,5.443073273E0,1.018863869E1
2.105766140E0,-2.499303341E0,5.247459888E0,1.068814087E1
2.115766140E0,-2.691925526E0,5.109274387E0,1.120199966E1
2.125766140E0,-2.928216696E0,4.923232555E0,1.195334530E1
2.135766140E0,-2.977867842E0,4.657031059E0,1.270768261E1
2.145766140E0,-2.983849764E0,4.476373196E0,1.318505096E1
2.155766140E0,-2.989233732E0,4.438685894E0,1.339023590E1
2.165766140E0,-2.960519791E0,4.576871395E0,1.325683594E1
2.175766140E0,-2.839084148E0,4.782055855E0,1.259940720E1
2.185766140E0,-2.362314224E0,4.609772682E0,1.174098206E1
2.195766140E0,-3.016152859E0,5.303691387E0,1.085862923E1
2.205766140E0,-3.230310678E0,4.853242397E0,1.090947628E1
2.215766140E0,-3.409173965E0,4.682155609E0,1.163809109E1
2.225766140E0,-3.537189960E0,4.373481750E0,1.298824120E1
2.235766140E0,-3.334996462E0,3.636492252E0,1.463390541E1
2.245766140E0,-3.022135019E0,3.023929596E0,1.593201160E1
2.255766140E0,-2.481955290E0,2.672782898E0,1.619701576E1
2.265766140E0,-1.832902193E0,2.386242390E0,1.540319729E1
2.275766140E0,-1.380658627E0,2.359921217E0,1.332263851E1
2.285766140E0,-1.239482164E0,2.403590441E0,1.123849010E1
2.295766140E0,-1.150349498E0,2.484946251E0,8.947959900E0
2.305766140E0,-1.211366415E0,2.438884497E0,7.391428947E0
2.315766140E0,-1.290329576E0,2.389233351E0,6.769893646E0
2.325766140E0,-1.319641709E0,2.284547329E0,6.937391281E0
2.335766140E0,-1.283151150E0,2.123630047E0,7.654041290E0
2.345766140E0,-1.208973646E0,1.929213285E0,8.514261246E0
2.355766140E0,-1.095912814E0,1.801795483E0,9.040681839E0
2.365766140E0,-1.030110121E0,1.745564103E0,9.390034676E0
2.375766140E0,-9.092726111E-1,1.774278045E0,9.138788223E0
2.385766140E0,-7.639086246E-1,1.730010748E0,8.538787842E0
2.395766140E0,-6.616154313E-1,1.729412556E0,7.962715626E0
2.405766140E0,-3.912265003E-1,1.872383714E0,7.206583500E0
2.415766140E0,-3.840480447E-1,1.694118381E0,6.567699909E0
2.425766140E0,-2.195414752E-1,1.712662816E0,6.111268997E0
2.435766140E0,7.357929647E-2,1.750947952E0,5.560919762E0
2.445766140E0,4.486542344E-1,1.708475351E0,5.130809784E0
2.455766140E0,6.406782866E-1,1.703689694E0,4.923232555E0
2.465766140E0,8.512466550E-1,1.800000787E0,4.720440865E0
2.475766140E0,1.051645517E0,1.905285001E0,4.645665169E0
2.485766140E0,1.185045362E0,1.997408748E0,4.838287354E0
2.495766140E0,1.246062398E0,2.065006018E0,5.029713154E0
2.505766140E0,1.360319614E0,2.166102648E0,5.135595798E0
2.515766140E0,1.507478237E0,2.252842426E0,5.270790100E0
2.525766140E0,1.612164259E0,2.325225353E0,5.429314613E0
2.535766140E0,1.672582984E0,2.493321180E0,5.716453075E0
2.545766140E0,1.627717614E0,2.603989124E0,6.121438503E0
2.555766140E0,1.588235974E0,2.657229662E0,6.473781586E0
2.565766140E0,1.509272933E0,2.763111830E0,6.949953556E0
2.575766140E0,1.420738459E0,2.907279491E0,7.512266636E0
2.585766140E0,1.423131227E0,3.080759048E0,8.103293419E0
2.595766140E0,1.415952802E0,3.272783279E0,8.566305161E0
2.605766140E0,1.456630826E0,3.408575773E0,9.167501450E0
