"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.657078333E-1,-2.491512299E0,-6.083000183E0,3.095717430E0
7.756618333E-1,-2.664217710E0,-5.939529419E0,3.325995445E0
7.856158333E-1,-3.017396927E0,-5.764059544E0,3.420789480E0
7.955698333E-1,-3.481307983E0,-5.511813641E0,3.374167204E0
8.055238333E-1,-3.881065130E0,-5.145593643E0,3.216849804E0
8.154778333E-1,-4.035783291E0,-4.635353088E0,3.018475056E0
8.254318333E-1,-3.989724874E0,-4.115946293E0,2.812240124E0
8.353858333E-1,-3.810204029E0,-3.642413616E0,2.670972109E0
8.453398333E-1,-3.511172295E0,-3.229996204E0,2.634903669E0
8.552938333E-1,-3.121400356E0,-2.919831514E0,2.685116291E0
8.652478333E-1,-2.688083172E0,-2.726717710E0,2.822355747E0
8.752018333E-1,-2.286011696E0,-2.648508549E0,3.043551922E0
8.851558333E-1,-1.952739239E0,-2.588690042E0,3.307096243E0
8.951098333E-1,-1.747509360E0,-2.553198814E0,3.533156633E0
9.050638333E-1,-1.670286775E0,-2.498878002E0,3.689559221E0
9.150178333E-1,-1.677339673E0,-2.399417400E0,3.793430090E0
9.249718333E-1,-1.692848802E0,-2.269186258E0,3.874406338E0
9.349258333E-1,-1.663096428E0,-2.124837637E0,3.962052584E0
9.448798333E-1,-1.552391171E0,-2.024776697E0,4.061058521E0
9.548338333E-1,-1.326759100E0,-1.998398304E0,4.169458866E0
9.647878333E-1,-9.807140231E-1,-2.112974882E0,4.283602238E0
9.747418333E-1,-5.134022236E-1,-2.297922850E0,4.373866558E0
9.846958333E-1,-4.062729701E-2,-2.546271801E0,4.547740936E0
9.946498333E-1,4.864599407E-1,-2.716591358E0,4.576747894E0
1.004603833E0,8.859323263E-1,-2.724466085E0,4.367452621E0
1.014557833E0,9.988303781E-1,-2.585093260E0,3.866138697E0
1.024511833E0,8.277806044E-1,-2.296816587E0,3.153699160E0
1.034465833E0,5.438399911E-1,-2.013780594E0,2.573207378E0
1.044419833E0,3.163976073E-1,-1.695978522E0,2.042570829E0
1.054373833E0,2.392911315E-1,-1.329640269E0,1.559113145E0
1.064327833E0,2.962917984E-1,-1.013094187E0,1.123297215E0
1.074281833E0,4.609614313E-1,-7.530266047E-1,6.848860383E-1
1.084235833E0,7.259369493E-1,-5.602108240E-1,2.044311017E-1
1.094189833E0,1.053594589E0,-4.643859863E-1,-3.046068251E-1
1.104143833E0,1.400935888E0,-4.364963472E-1,-8.446483612E-1
1.114097833E0,1.737303257E0,-3.657739758E-1,-1.382472157E0
1.124051833E0,1.995358109E0,-3.828743100E-1,-1.843255877E0
1.134005833E0,2.182932138E0,-4.789100289E-1,-2.192501307E0
1.143959833E0,2.307392359E0,-6.080483198E-1,-2.406400204E0
1.153913833E0,2.424995661E0,-7.308698297E-1,-2.468919992E0
1.163867833E0,2.464797735E0,-8.628169894E-1,-2.457977772E0
1.173821833E0,2.401889324E0,-8.942534924E-1,-2.532809734E0
1.183775833E0,2.273936987E0,-8.306656480E-1,-2.697041273E0
1.193729833E0,2.159051418E0,-6.248895526E-1,-2.963229895E0
1.203683833E0,2.094027996E0,-3.426883519E-1,-3.298463583E0
1.213637833E0,2.077662230E0,-1.189956293E-1,-3.486028671E0
1.223591833E0,2.090535164E0,8.485509455E-2,-3.665395498E0
1.233545833E0,2.104351044E0,2.596642077E-1,-3.946656466E0
1.243499833E0,2.043492794E0,4.289605916E-1,-4.218299389E0
1.253453833E0,1.928835750E0,5.784256458E-1,-4.464655876E0
1.263407833E0,1.782605410E0,6.540476680E-1,-4.704391003E0
1.273361833E0,1.652401328E0,6.428655982E-1,-4.905467033E0
1.283315833E0,1.563577175E0,5.485028625E-1,-5.047193050E0
1.293269833E0,1.535545111E0,3.773651719E-1,-5.151633739E0
1.303223833E0,1.559658647E0,1.607967317E-1,-5.228297234E0
1.313177833E0,1.613300204E0,-4.967342317E-2,-5.240013599E0
1.323131833E0,1.656789899E0,-2.606602311E-1,-5.231241226E0
1.333085833E0,1.703328848E0,-4.983676076E-1,-5.279785156E0
1.343039833E0,1.733152390E0,-7.055051923E-1,-5.300597191E0
1.352993833E0,1.720354080E0,-7.576804757E-1,-5.316723347E0
1.362947833E0,1.610072732E0,-7.718850374E-1,-5.383028984E0
1.372901833E0,1.456067204E0,-6.467412710E-1,-5.414493561E0
1.382855833E0,1.264247060E0,-3.958021700E-1,-5.320380211E0
1.392809833E0,1.068524957E0,-2.454257309E-1,-5.142255306E0
1.402763833E0,9.261583686E-1,-1.668445021E-1,-4.933060646E0
1.412717833E0,8.563787341E-1,-1.236453801E-1,-4.712893486E0
1.422671833E0,8.201673031E-1,-1.504930258E-1,-4.484453201E0
1.432625833E0,8.134066463E-1,-2.305537760E-1,-4.259449005E0
1.442579833E0,8.160741925E-1,-3.104047477E-1,-4.041128635E0
1.452533833E0,8.035389781E-1,-3.935150802E-1,-3.838523865E0
1.462487833E0,7.572497129E-1,-4.832777977E-1,-3.654135227E0
1.472441833E0,6.836772561E-1,-5.752077103E-1,-3.480823755E0
1.482395833E0,5.686762333E-1,-6.649016738E-1,-3.211564064E0
1.492349833E0,4.041743279E-1,-6.959317923E-1,-2.949205875E0
1.502303833E0,1.953419298E-1,-5.493682027E-1,-2.725937128E0
1.512257833E0,-6.092607602E-2,-3.454523683E-1,-2.413102627E0
1.522211833E0,-3.294658363E-1,-2.499126345E-1,-2.042063951E0
1.532165833E0,-5.082600713E-1,-2.061638236E-1,-1.703476667E0
1.542119833E0,-6.069686413E-1,-1.227204129E-1,-1.368885398E0
1.552073833E0,-6.881540418E-1,-4.507143050E-2,-1.018444538E0
1.562027833E0,-7.776855230E-1,1.484609116E-2,-6.902467012E-1
1.571981833E0,-8.569872975E-1,7.682476938E-2,-3.814323545E-1
1.581935833E0,-9.034010768E-1,1.501348168E-1,-7.626146823E-2
1.591889833E0,-9.285234809E-1,2.233461738E-1,2.482005060E-1
1.601843833E0,-9.594659805E-1,2.831465304E-1,5.996263623E-1
1.611797833E0,-1.014506817E0,2.728880346E-1,9.523000121E-1
1.621752458E0,-1.097955942E0,2.310866565E-1,1.295653582E0
1.631706458E0,-1.196550131E0,1.695969254E-1,1.620447159E0
1.641660458E0,-1.298397779E0,1.146758869E-1,1.939226389E0
1.651614458E0,-1.386032820E0,2.868854254E-2,2.258504868E0
1.661568458E0,-1.413359284E0,-6.657260656E-2,2.577545881E0
1.671522458E0,-1.369269252E0,-1.365695447E-1,2.898895502E0
1.681476458E0,-1.261832237E0,-2.033386976E-1,3.193432570E0
1.691430458E0,-1.115625501E0,-2.604643106E-1,3.460477829E0
1.701384458E0,-9.367671609E-1,-3.129913807E-1,3.687236071E0
1.711338458E0,-7.398000360E-1,-3.515742123E-1,3.873229504E0
1.721292458E0,-5.252227783E-1,-4.000500441E-1,4.052392483E0
1.731246458E0,-3.272572160E-1,-4.512277246E-1,4.228130817E0
1.741200458E0,-1.604319364E-1,-5.171245933E-1,4.380846977E0
1.751154458E0,-5.065271631E-2,-6.280968785E-1,4.514759064E0
1.761108458E0,1.517578214E-2,-7.614904046E-1,4.617514610E0
1.771062458E0,3.240989521E-2,-8.242602944E-1,4.722618103E0
1.781016458E0,4.038952291E-3,-7.570900321E-1,4.861121178E0
1.790970458E0,-5.722893029E-2,-6.002271771E-1,5.008475780E0
1.800924458E0,-1.442504227E-1,-4.286687672E-1,5.120129585E0
1.810878458E0,-2.928060889E-1,-2.794875503E-1,5.172818661E0
1.820832458E0,-4.971210063E-1,-1.205803752E-1,5.188038349E0
1.830786458E0,-7.096489668E-1,6.480679661E-2,5.216342926E0
1.840740458E0,-8.890525699E-1,2.543294430E-1,5.243111134E0
1.850694458E0,-1.021944046E0,4.212726355E-1,5.238476276E0
1.860648458E0,-1.117343783E0,5.342775583E-1,5.214514732E0
1.870602458E0,-1.173726082E0,5.678523183E-1,5.167938232E0
1.880556458E0,-1.165610552E0,5.797767639E-1,5.098723888E0
1.890510458E0,-1.080191016E0,5.967445374E-1,5.008758545E0
1.900464458E0,-9.479900002E-1,6.619318724E-1,4.952898026E0
1.910418458E0,-8.348498940E-1,7.789943218E-1,4.896815777E0
1.920372458E0,-8.104011416E-1,9.059721828E-1,4.793892384E0
1.930326458E0,-9.360232353E-1,9.994372129E-1,4.646627903E0
1.940280458E0,-1.175811410E0,1.089767575E0,4.475824356E0
1.950234458E0,-1.478713036E0,1.175555468E0,4.309933662E0
1.960188458E0,-1.737271309E0,1.283269405E0,4.172475815E0
1.970142458E0,-1.902303100E0,1.398781419E0,4.057656765E0
1.980096458E0,-1.979288936E0,1.508836508E0,3.932211876E0
1.990050458E0,-2.010488510E0,1.583066225E0,3.804702997E0
2.000004458E0,-2.047234535E0,1.590683341E0,3.671200991E0
2.009958458E0,-2.100503445E0,1.503376484E0,3.545214891E0
2.019912458E0,-2.074077606E0,1.379782200E0,3.419848442E0
2.029866458E0,-1.892250061E0,1.236662626E0,3.281258106E0
2.039820458E0,-1.587624431E0,1.034307122E0,3.131498814E0
2.049774458E0,-1.222078204E0,8.017322421E-1,2.907717466E0
2.059728458E0,-8.311471343E-1,5.389314294E-1,2.580241442E0
2.069682458E0,-4.485363960E-1,2.502085567E-1,2.138651371E0
2.079636458E0,-7.812568545E-2,-5.735441297E-2,1.628380179E0
2.089590458E0,3.022685349E-1,-2.994597256E-1,1.159869671E0
2.099544458E0,6.412091255E-1,-4.278834462E-1,7.796046734E-1
2.109498458E0,8.622648120E-1,-5.132414699E-1,4.546409547E-1
2.119452458E0,9.811098576E-1,-5.530998111E-1,1.719150692E-1
2.129406458E0,1.021036983E0,-5.539312363E-1,-8.505839854E-2
2.139360458E0,1.013357043E0,-5.251749158E-1,-3.422509134E-1
2.149314458E0,9.842017889E-1,-5.239315033E-1,-6.093931794E-1
2.159268458E0,9.959840775E-1,-5.654308200E-1,-9.137853980E-1
2.169222458E0,1.080577731E0,-6.316095591E-1,-1.242102027E0
2.179176458E0,1.182975054E0,-7.750484347E-1,-1.583191395E0
2.189130458E0,1.242057562E0,-1.020083666E0,-1.927059293E0
2.199084458E0,1.263293386E0,-1.336175442E0,-2.249309540E0
2.209038458E0,1.292045712E0,-1.677322626E0,-2.508206606E0
2.218992458E0,1.297971129E0,-2.063057661E0,-2.768659830E0
2.228946458E0,1.279129624E0,-2.417868376E0,-3.041003466E0
2.238900458E0,1.276864171E0,-2.656960249E0,-3.319391489E0
2.248854458E0,1.260747194E0,-2.713957787E0,-3.621843576E0
2.258808458E0,1.171538830E0,-2.554226160E0,-3.949277878E0
2.268762458E0,9.764001966E-1,-2.236420393E0,-4.284364223E0
2.278716458E0,7.314121723E-1,-1.778661728E0,-4.641577721E0
2.288670458E0,5.073875785E-1,-1.211227298E0,-4.976916790E0
2.298624458E0,3.653003275E-1,-6.239219904E-1,-5.236461163E0
2.308578458E0,3.241680562E-1,-1.277758926E-1,-5.423882008E0
2.318532458E0,4.091801643E-1,2.572398484E-1,-5.561573029E0
2.328486458E0,5.871368647E-1,4.994354546E-1,-5.674085617E0
2.338440458E0,8.249819279E-1,6.301435232E-1,-5.776929855E0
2.348394458E0,1.073028207E0,6.764698029E-1,-5.854849339E0
2.358348458E0,1.274865150E0,6.175913215E-1,-5.910775185E0
2.368302458E0,1.400138378E0,4.831770957E-1,-5.960083961E0
2.378256458E0,1.457164645E0,3.096998334E-1,-5.993418217E0
2.388210458E0,1.462480545E0,1.076519266E-1,-6.010476589E0
2.398164458E0,1.429662585E0,-9.758601338E-2,-6.016913891E0
2.408118458E0,1.396073937E0,-2.927704155E-1,-6.000618458E0
2.418072458E0,1.378672719E0,-4.368144870E-1,-5.949374199E0
2.428026458E0,1.364250422E0,-5.560492873E-1,-5.867730141E0
2.437980458E0,1.366731882E0,-6.656220555E-1,-5.776175022E0
2.447934458E0,1.381822705E0,-7.528105378E-1,-5.666772842E0
2.457888458E0,1.392591715E0,-8.372558951E-1,-5.538857460E0
2.467842458E0,1.392507553E0,-9.057574868E-1,-5.393754482E0
2.477796458E0,1.387140512E0,-9.438313842E-1,-5.221052647E0
2.487750458E0,1.370861650E0,-9.865556359E-1,-5.026802540E0
2.497704458E0,1.349487185E0,-1.004200459E0,-4.809914112E0
2.507658458E0,1.326270819E0,-9.631246328E-1,-4.574646950E0
2.517612458E0,1.293172240E0,-8.575125933E-1,-4.314273357E0
2.527566458E0,1.244571209E0,-7.335235476E-1,-4.056529045E0
2.537520458E0,1.229375005E0,-5.628970265E-1,-3.804202318E0
2.547474458E0,1.220284104E0,-4.176518917E-1,-3.574538708E0
2.557428458E0,1.222103477E0,-3.002102673E-1,-3.312066317E0
2.567382458E0,1.224358559E0,-2.128119618E-1,-2.997110605E0
2.577336458E0,1.220073223E0,-1.471620649E-1,-2.613708496E0
2.587290458E0,1.193892241E0,-1.309066713E-1,-2.172585487E0
2.597244458E0,1.132822871E0,-1.144139990E-1,-1.663481951E0
