"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734356127306463E9,"2024-12-16 14:35:27.306 UTC+01:00"
"PAUSE",1.056773287500255E1,1.734356137874179E9,"2024-12-16 14:35:37.874 UTC+01:00"
