"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.915991590E-1,2.106897533E-1,5.796661377E0,7.922712803E0
4.015991590E-1,5.051765442E-1,5.811026573E0,8.423100471E0
4.115991590E-1,8.762778044E-1,5.794267178E0,9.239523888E0
4.215991590E-1,1.019929886E0,5.789478779E0,9.589076996E0
4.315991590E-1,8.068459630E-1,5.717652798E0,9.909899712E0
4.415991590E-1,5.171475410E-1,5.641038418E0,9.945813179E0
4.515991590E-1,1.197100878E-1,5.676951408E0,9.864410400E0
4.615991590E-1,-1.340752989E-1,5.681739807E0,9.850045204E0
4.715991590E-1,-3.663128614E-1,5.722441196E0,9.938630104E0
4.815991590E-1,-4.860229492E-1,5.753565788E0,1.010143661E1
4.915991590E-1,-5.363011956E-1,5.708076000E0,1.031212616E1
5.015991590E-1,-5.171475410E-1,5.609913826E0,1.046056652E1
5.115991590E-1,-6.105214357E-1,5.607519627E0,1.051323891E1
5.215991590E-1,-7.134721279E-1,5.571606636E0,1.033846188E1
5.315991590E-1,-9.528923035E-1,5.394435883E0,9.933841705E0
5.415991590E-1,-1.161187768E0,5.296273232E0,9.689633369E0
5.515991590E-1,-1.426944256E0,5.008969307E0,9.500492096E0
5.615991590E-1,-1.465251446E0,4.812345505E0,9.529222488E0
5.715991590E-1,-1.462857246E0,4.472368717E0,9.972148895E0
5.815991590E-1,-1.271321058E0,4.271255970E0,1.069519806E1
5.915991590E-1,-8.475474119E-1,4.065354347E0,1.143740082E1
6.015991590E-1,-4.836287498E-1,3.967192173E0,1.171752262E1
6.115991590E-1,-1.125274822E-1,3.859453201E0,1.160260105E1
6.215991590E-1,2.394201700E-3,3.881000996E0,1.103517532E1
6.315991590E-1,-2.178723514E-1,4.012681961E0,9.905111313E0
6.415991590E-1,-4.644751251E-1,4.108449936E0,9.141361237E0
6.515991590E-1,-7.182605267E-1,4.177882195E0,8.243535995E0
6.615991590E-1,-7.781155705E-1,4.177882195E0,7.841310024E0
6.715991590E-1,-7.852981687E-1,4.072536945E0,7.474997044E0
6.815991590E-1,-6.679822803E-1,3.986345768E0,7.474997044E0
6.915991590E-1,-3.782838583E-1,3.897760391E0,7.697657585E0
7.015991590E-1,-6.943184882E-2,3.825934410E0,7.977779388E0
7.115991590E-1,1.628057212E-1,3.778050184E0,8.219594002E0
7.215991590E-1,1.939303428E-1,3.713406801E0,8.291419983E0
7.315991590E-1,6.703764945E-2,3.722983599E0,8.135796547E0
7.415991590E-1,-5.985504389E-2,3.703830004E0,7.934683800E0
7.515991590E-1,-2.178723514E-1,3.715801001E0,7.654561996E0
7.615991590E-1,-2.585737705E-1,3.773261786E0,7.489362240E0
7.715991590E-1,-2.849099934E-1,3.847482204E0,7.321768284E0
7.815991590E-1,-2.801215947E-1,3.876212597E0,7.300220490E0
7.915991590E-1,-1.173158810E-1,3.928884983E0,7.321768284E0
8.015991590E-1,2.394201607E-2,3.936067581E0,7.391200066E0
8.115991590E-1,8.858546615E-2,3.892971992E0,7.439084053E0
8.215991590E-1,5.027823523E-2,3.900154591E0,7.407959461E0
8.315991590E-1,-2.394201607E-2,3.794809580E0,7.391200066E0
8.415991590E-1,-1.460463107E-1,3.766079187E0,7.410353661E0
8.515991590E-1,-3.399766386E-1,3.768473387E0,7.331345081E0
8.615991590E-1,-4.620809257E-1,3.787626982E0,7.290643215E0
8.715991590E-1,-4.501099288E-1,3.849876404E0,7.175721645E0
8.815991590E-1,-4.548983276E-1,3.979163170E0,7.108684063E0
8.915991590E-1,-4.908113480E-1,4.211400986E0,6.953061104E0
9.015991590E-1,-4.860229492E-1,4.259284973E0,6.871658325E0
9.115991590E-1,-6.177040339E-1,4.347870350E0,6.706458092E0
9.215991590E-1,-6.344634295E-1,4.448426723E0,6.689698696E0
9.315991590E-1,-6.153098345E-1,4.611232281E0,6.807014942E0
9.415991590E-1,-4.668693244E-1,4.723760128E0,6.981791496E0
9.515991590E-1,-2.298433632E-1,4.766855717E0,7.261912823E0
9.615991590E-1,-1.149216816E-1,4.867412090E0,7.498939037E0
9.715991590E-1,9.097966552E-2,4.963479519E0,7.793426037E0
9.815991590E-1,2.513911724E-1,4.985027313E0,7.972990990E0
9.915991590E-1,4.692635238E-1,5.066430092E0,8.147768021E0
1.001599159E0,6.512228847E-1,5.140650272E0,8.243535995E0
1.011599159E0,7.972691655E-1,5.250783443E0,8.286631584E0
1.021599159E0,8.595184088E-1,5.327397823E0,8.262689590E0
1.031599159E0,1.041477680E0,5.360917091E0,8.437465668E0
1.041599159E0,1.125274777E0,5.413589478E0,8.602665901E0
1.051599159E0,1.292868972E0,5.523722649E0,9.009679794E0
1.061599159E0,1.403002143E0,5.559635639E0,9.426271439E0
1.071599159E0,1.493981838E0,5.588366032E0,9.969755173E0
1.081599159E0,1.491587639E0,5.617096424E0,1.032170296E1
1.091599159E0,1.438915253E0,5.633855820E0,1.056112289E1
1.101599159E0,1.395819545E0,5.789478779E0,1.048929691E1
1.111599159E0,1.505952835E0,5.923554420E0,1.006073475E1
1.121599159E0,1.637633920E0,5.957073212E0,9.754277229E0
1.131599159E0,1.984793186E0,5.990592003E0,9.210793495E0
1.141599159E0,1.999158382E0,6.016928196E0,9.064746857E0
1.151599159E0,1.910573006E0,5.976226807E0,9.052776337E0
1.161599159E0,1.963245392E0,5.854122639E0,9.143755913E0
1.171599159E0,2.164358377E0,5.504569054E0,9.524434090E0
1.181599159E0,2.327163935E0,5.140650272E0,1.003200436E1
1.191599159E0,2.499546528E0,4.695029736E0,1.065210247E1
1.201599159E0,2.554613113E0,4.355052948E0,1.103038692E1
1.211599159E0,2.475604534E0,3.878606796E0,1.130093098E1
1.221599159E0,2.363077164E0,3.600879431E0,1.132008457E1
1.231599159E0,2.185906172E0,3.359065056E0,1.105911732E1
1.241599159E0,2.118868589E0,3.258508444E0,1.070477486E1
1.251599159E0,1.829170108E0,3.189076662E0,1.003200436E1
1.261599159E0,1.608903527E0,3.184288263E0,9.593865395E0
1.271599159E0,1.228225470E0,3.232172251E0,8.909123421E0
1.281599159E0,1.151610970E0,3.277662039E0,8.698433876E0
1.291599159E0,1.158793569E0,3.409343243E0,8.526051521E0
1.301599159E0,1.302445769E0,3.560178041E0,8.564358711E0
1.311599159E0,1.647210717E0,3.703830004E0,8.705616951E0
1.321599159E0,1.910573006E0,3.830722809E0,8.861239433E0
1.331599159E0,2.243366957E0,3.938461781E0,8.949825287E0
1.341599159E0,2.489969730E0,4.005499363E0,8.935460091E0
1.351599159E0,2.715024710E0,4.134786129E0,8.739135742E0
1.361599159E0,2.703053713E0,4.254496574E0,8.540416718E0
1.371599159E0,2.602497339E0,4.290409565E0,8.193257332E0
1.381599159E0,2.458845139E0,4.273650169E0,7.970596790E0
1.391599159E0,2.264914751E0,4.211400986E0,7.580341816E0
1.401599159E0,2.248155355E0,4.137180328E0,7.439084053E0
1.411599159E0,2.171540976E0,4.129997730E0,7.281066418E0
1.421599159E0,2.078166962E0,4.082113743E0,7.173327446E0
1.431599159E0,1.982398987E0,3.986345768E0,7.082347870E0
1.441599159E0,1.879448295E0,3.890577793E0,6.993762493E0
1.451599159E0,1.759738207E0,3.804386616E0,6.981791496E0
1.461599159E0,1.726219416E0,3.763684988E0,7.000945091E0
1.471599159E0,1.663970232E0,3.699041605E0,7.041646481E0
1.481599159E0,1.613691926E0,3.699041605E0,7.022492886E0
1.491599159E0,1.508347034E0,3.696647406E0,7.012916088E0
1.501599159E0,1.434126854E0,3.689464808E0,6.977003098E0
1.511599159E0,1.343147159E0,3.761290789E0,6.897994518E0
1.521599159E0,1.319205165E0,3.845088005E0,6.897994518E0
1.531599159E0,1.309628367E0,3.995922565E0,6.936301708E0
1.541599159E0,1.316810966E0,4.125209332E0,6.965032101E0
1.551599159E0,1.192312479E0,4.278438568E0,6.938695908E0
1.561599159E0,1.048660398E0,4.400542736E0,6.969820499E0
1.571599159E0,9.672574997E-1,4.513070107E0,7.113472462E0
1.581599159E0,8.523358107E-1,4.568136692E0,7.199663639E0
1.591599159E0,6.033388376E-1,4.606443882E0,7.573159218E0
1.601599159E0,4.501099288E-1,4.678270340E0,7.913136005E0
