"event","experiment time","system time","system time text"
"START",0.000000000E0,1734353419.911,"2024-12-16 13:50:19.911 UTC+01:00"
"PAUSE",1.005067711E1,1734353429.962,"2024-12-16 13:50:29.962 UTC+01:00"
