"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.514601250E-1,1.646797359E-1,-8.977771550E-2,8.496583104E-1
7.614131250E-1,5.648215115E-2,-1.456854641E-1,6.692523360E-1
7.713671250E-1,-7.609570771E-2,-2.324344218E-1,5.097925663E-1
7.813211250E-1,-2.058070898E-1,-3.210095763E-1,4.001965821E-1
7.912751250E-1,-2.628012598E-1,-4.244259894E-1,3.474594951E-1
8.012281250E-1,-2.309929878E-1,-5.498100519E-1,3.416998386E-1
8.111821250E-1,-1.666996628E-1,-6.697780490E-1,3.530783951E-1
8.211363750E-1,-8.168835193E-2,-7.388409972E-1,3.896060586E-1
8.310893750E-1,1.034454443E-2,-7.488891482E-1,4.563187659E-1
8.410433750E-1,8.867023885E-2,-6.907752156E-1,5.262214541E-1
8.509973750E-1,1.301636994E-1,-6.071298718E-1,5.856695771E-1
8.609513750E-1,1.334686726E-1,-5.245980024E-1,6.082715392E-1
8.709043750E-1,8.450061828E-2,-4.751617014E-1,6.041420698E-1
8.808583750E-1,-1.077317260E-2,-4.686284363E-1,5.895377994E-1
8.908123750E-1,-9.527690709E-2,-4.927899241E-1,5.647666454E-1
9.007653750E-1,-1.251570433E-1,-4.962384403E-1,5.477453470E-1
9.107193750E-1,-1.342436969E-1,-5.499621034E-1,6.195389628E-1
9.206733750E-1,-1.388421953E-1,-5.808920264E-1,6.962497234E-1
9.306273750E-1,-7.966047525E-2,-6.207644343E-1,6.866443753E-1
9.405803750E-1,7.484760880E-2,-6.080065966E-1,5.811485648E-1
9.505343750E-1,2.037918121E-1,-5.690678954E-1,5.037201047E-1
9.604883750E-1,2.746278942E-1,-5.067083836E-1,4.786855578E-1
9.704413750E-1,2.938159704E-1,-4.278896153E-1,4.949194491E-1
9.803953750E-1,2.621126473E-1,-4.502308965E-1,5.308311582E-1
9.903493750E-1,2.224112302E-1,-4.329562783E-1,5.614878535E-1
1.000302375E0,1.976837814E-1,-3.294229805E-1,6.536899209E-1
1.010256375E0,1.959627867E-1,-3.487530947E-1,6.750980616E-1
1.020210375E0,2.051160634E-1,-3.441202641E-1,6.230028868E-1
1.030164375E0,2.361895740E-1,-3.604916632E-1,5.369600654E-1
1.040117375E0,2.801455855E-1,-3.712598681E-1,4.646957815E-1
1.050071375E0,3.177882731E-1,-3.566359878E-1,3.903966546E-1
1.060025375E0,3.267953694E-1,-2.774056196E-1,3.411183357E-1
1.069978375E0,2.965649664E-1,-1.998318136E-1,3.316854835E-1
1.079932375E0,2.393821180E-1,-1.308660656E-1,3.792388737E-1
1.089886375E0,1.524681002E-1,-6.896068901E-2,4.431461096E-1
1.099840375E0,8.934665471E-2,-4.237275571E-2,4.940894842E-1
1.109793375E0,6.021277979E-2,-3.626920655E-2,5.198617578E-1
1.119747375E0,5.940983817E-2,-5.117065832E-2,5.159527659E-1
1.129701375E0,9.520038217E-2,-8.401927352E-2,5.018588305E-1
1.139654375E0,1.546357423E-1,-1.166131645E-1,4.829208255E-1
1.149608375E0,2.117268294E-1,-1.349204481E-1,4.508066475E-1
1.159562375E0,2.443348467E-1,-1.126415059E-1,4.014875591E-1
1.169516375E0,2.222731411E-1,-6.616482139E-2,3.507114649E-1
1.179469375E0,1.544354856E-1,-3.096904606E-3,2.996810377E-1
1.189423375E0,4.964422807E-2,5.134352297E-2,2.666852474E-1
1.199377375E0,-5.276976153E-2,9.653842449E-2,2.524170876E-1
1.209330375E0,-1.285458505E-1,1.219158024E-1,2.667803764E-1
1.219284375E0,-1.399316639E-1,1.246772259E-1,3.191093802E-1
1.229238375E0,-7.394966483E-2,1.490492225E-1,3.707014322E-1
1.239191375E0,3.833692893E-2,1.877398938E-1,4.129466116E-1
1.249145375E0,1.559020877E-1,2.296968102E-1,4.538182020E-1
1.259099375E0,2.620336115E-1,2.366676331E-1,5.148200393E-1
1.269053375E0,3.070629835E-1,1.795771867E-1,6.014239192E-1
1.279006375E0,3.244731426E-1,5.049803108E-2,4.866384864E-1
1.288960375E0,2.455943674E-1,-2.097471058E-2,4.436526000E-1
1.298914375E0,7.204015553E-2,-1.799410209E-2,4.292955101E-1
1.308867375E0,-1.168540642E-1,-1.180437580E-2,3.751358688E-1
1.318821375E0,-2.248489559E-1,1.748184673E-3,3.244188726E-1
1.328775375E0,-2.551608980E-1,4.910787940E-2,3.280113935E-1
1.338729375E0,-2.297295630E-1,1.241957098E-1,3.738028705E-1
1.348682375E0,-1.344318688E-1,1.876018196E-1,4.463355243E-1
1.358636375E0,2.395112440E-2,2.270834595E-1,5.381690264E-1
1.368590375E0,1.965439320E-1,2.673472762E-1,6.318193674E-1
1.378543375E0,3.350810409E-1,3.028477430E-1,7.436715961E-1
1.388497375E0,3.952701688E-1,3.264733851E-1,8.913268447E-1
1.398451375E0,3.510880768E-1,3.596566319E-1,1.035400510E0
1.408404375E0,2.071176767E-1,3.834455609E-1,1.112041473E0
1.418358375E0,5.825442076E-2,3.967650831E-1,1.092746377E0
