"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012476.413,"2024-12-12 15:07:56.413 UTC+01:00"
"PAUSE",1.700859164E1,1734012493.421,"2024-12-12 15:08:13.421 UTC+01:00"
