"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.671916631E-3,-4.769382019E0,4.046984253E0,8.544082489E0
1.162591664E-2,-4.488715668E0,3.857777710E0,8.647068329E0
2.157891664E-2,-4.209995270E0,3.911515961E0,8.886570282E0
3.153291665E-2,-4.052672424E0,3.569477234E0,8.781638489E0
4.148691666E-2,-3.919299774E0,3.058589630E0,8.662635956E0
5.143991666E-2,-3.889661407E0,2.859653320E0,8.502019958E0
6.138970831E-2,-4.029320984E0,3.036735077E0,8.443192291E0
7.134370832E-2,-4.329895935E0,3.419339447E0,8.295150146E0
8.129670832E-2,-4.531975708E0,3.787424011E0,8.204139404E0
9.125070833E-2,-4.622088318E0,3.964505768E0,8.091872864E0
1.012047083E-1,-4.700076141E0,3.931125183E0,7.934699707E0
1.111577083E-1,-4.674778748E0,3.872596893E0,7.824528809E0
1.211117083E-1,-4.497397614E0,3.794160004E0,7.713310089E0
1.310657083E-1,-4.203708344E0,3.725003815E0,7.774383087E0
1.410197083E-1,-3.875141602E0,3.702400818E0,7.744894409E0
1.509727083E-1,-3.574716339E0,3.570974121E0,7.728428650E0
1.609267083E-1,-3.478765869E0,3.506009216E0,7.761360168E0
1.708807083E-1,-3.634741516E0,3.645818481E0,7.662715302E0
1.808337083E-1,-3.871100006E0,3.875141602E0,7.427105255E0
1.907877083E-1,-4.165687408E0,4.097129974E0,7.264094238E0
2.007417083E-1,-4.417314148E0,4.312681732E0,7.162754974E0
2.106947083E-1,-4.493505707E0,4.430037689E0,7.099436646E0
2.206487083E-1,-4.508324890E0,4.454287262E0,7.340585175E0
2.306027083E-1,-4.340374146E0,4.597539368E0,7.791447601E0
2.405557083E-1,-4.104315033E0,4.423900452E0,7.896080017E0
2.505097083E-1,-3.930676117E0,4.139491882E0,8.254883881E0
2.604637083E-1,-3.710933075E0,3.979324951E0,8.364456024E0
2.704167083E-1,-3.406316528E0,3.947291565E0,8.314759369E0
2.803707083E-1,-3.149001617E0,4.026626587E0,8.210276642E0
2.903247083E-1,-3.075504456E0,4.135150909E0,7.881410522E0
3.002787083E-1,-3.211870880E0,4.314328308E0,7.490573273E0
3.102317083E-1,-3.497776337E0,4.584516449E0,7.167395325E0
3.201857083E-1,-3.964655457E0,4.776567078E0,6.921606445E0
3.301397083E-1,-4.117637329E0,5.044958954E0,6.872209167E0
3.400927083E-1,-4.267475739E0,4.848567352E0,6.856192474E0
3.500467083E-1,-4.149071960E0,5.081782379E0,7.511080627E0
3.600007083E-1,-4.016148376E0,5.637277222E0,7.630831604E0
