"event","experiment time","system time","system time text"
"START",0.000000000E0,1734356476.771,"2024-12-16 14:41:16.771 UTC+01:00"
"PAUSE",1.073019817E1,1734356487.501,"2024-12-16 14:41:27.501 UTC+01:00"
