"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.993398620E-1,4.516982555E0,-1.947143555E0,7.350968361E0
8.093398620E-1,4.427750587E0,-1.951722145E0,7.327749252E0
8.193398620E-1,4.289968491E0,-1.890156269E0,7.299847603E0
8.293398620E-1,4.110936642E0,-1.697556019E0,7.238182068E0
8.393398620E-1,3.962657928E0,-1.420872688E0,7.175042629E0
8.493398620E-1,3.846990108E0,-1.078181267E0,7.133982182E0
8.593398620E-1,3.769168377E0,-7.226519585E-1,7.132059574E0
8.693398620E-1,3.781652451E0,-3.452024460E-1,7.163745403E0
8.793398620E-1,3.867113590E0,5.202102661E-2,7.213379860E0
8.893398620E-1,4.009590626E0,5.550899506E-1,7.276828289E0
8.993398620E-1,4.167287350E0,9.791555405E-1,7.334161758E0
9.093398620E-1,4.329308510E0,1.362613201E0,7.350785255E0
9.193398620E-1,4.507771015E0,1.741039276E0,7.314373016E0
9.293398620E-1,4.716073036E0,2.118246078E0,7.138865471E0
9.393398620E-1,4.886948586E0,2.431563377E0,6.938431740E0
9.493398620E-1,4.982011795E0,2.683955669E0,6.673841476E0
9.593398620E-1,5.028380394E0,2.843312740E0,6.412351608E0
9.693398620E-1,5.043130398E0,2.922640800E0,6.188157558E0
9.793398620E-1,5.085649490E0,2.953599453E0,6.014530182E0
9.893398620E-1,5.182828426E0,2.927855968E0,5.882784367E0
9.993398620E-1,5.298977375E0,2.839542389E0,5.759634495E0
1.009339862E0,5.400447369E0,2.679290771E0,5.623848438E0
1.019339862E0,5.440997601E0,2.559916496E0,5.498724461E0
1.029339862E0,5.517046452E0,2.316092014E0,5.351249695E0
1.039339862E0,5.597852230E0,2.022896290E0,5.215817928E0
1.049339862E0,5.638219357E0,1.709954262E0,5.106517792E0
1.059339862E0,5.688589096E0,1.375026226E0,5.015366554E0
1.069339862E0,5.754333019E0,9.744019508E-1,4.943671703E0
1.079339862E0,5.832555294E0,5.041513443E-1,4.875868320E0
1.089339862E0,5.802717686E0,1.190190315E-1,4.820813179E0
1.099339862E0,5.638238430E0,-2.212228775E-1,4.785945415E0
1.109339862E0,5.385901451E0,-5.984659195E-1,4.782706738E0
1.119339862E0,5.107702732E0,-1.020566940E0,4.803036213E0
1.129339862E0,4.775776386E0,-1.462171555E0,4.828096867E0
1.139339862E0,4.433281422E0,-1.880919456E0,4.831717014E0
1.149339862E0,4.137667179E0,-2.291188240E0,4.804842472E0
1.159339862E0,3.895929337E0,-2.681342602E0,4.745019913E0
1.169339862E0,3.734333515E0,-3.082190037E0,4.650036335E0
1.179339862E0,3.585993290E0,-3.480842590E0,4.522859097E0
1.189339862E0,3.427468300E0,-3.885296822E0,4.387138844E0
1.199339862E0,3.242845535E0,-4.279482841E0,4.252558231E0
1.209339862E0,3.033600807E0,-4.692149162E0,4.116913795E0
1.219339862E0,2.797530174E0,-5.084873676E0,3.963392735E0
1.229339862E0,2.518091202E0,-5.418887138E0,3.803955078E0
1.239339862E0,2.227205276E0,-5.706187248E0,3.645304680E0
1.249339862E0,1.916184425E0,-5.951302528E0,3.446855307E0
1.259339462E0,1.631878853E0,-6.157241821E0,3.241802931E0
1.269339462E0,1.363199234E0,-6.293317795E0,3.026005507E0
1.279339462E0,1.088179588E0,-6.389649391E0,2.841161013E0
1.289339462E0,8.241806030E-1,-6.469187260E0,2.683153152E0
1.299339462E0,5.827569962E-1,-6.558636665E0,2.544677496E0
1.309339462E0,3.363656998E-1,-6.650369644E0,2.455907345E0
1.319339462E0,5.503177643E-2,-6.757070065E0,2.422787666E0
1.329339462E0,-2.957801819E-1,-6.863965988E0,2.464813232E0
1.339339462E0,-6.594419479E-1,-6.983122826E0,2.530799150E0
1.349339462E0,-1.044389725E0,-7.094247341E0,2.605459213E0
1.359339462E0,-1.427999496E0,-7.174613476E0,2.658492565E0
1.369339462E0,-1.823685169E0,-7.194995403E0,2.663576841E0
1.379339462E0,-2.130091190E0,-7.214594841E0,2.638691902E0
1.389339462E0,-2.337684631E0,-7.247283936E0,2.549723148E0
1.399339462E0,-2.479898453E0,-7.277252674E0,2.419729710E0
1.409339462E0,-2.605759144E0,-7.360067844E0,2.229275465E0
1.419339462E0,-2.726287365E0,-7.462832928E0,2.038206100E0
1.429339462E0,-2.886767387E0,-7.561240196E0,1.822617650E0
1.439339462E0,-3.097024441E0,-7.631094933E0,1.623550534E0
1.449339462E0,-3.369738102E0,-7.626651287E0,1.471274495E0
1.459339462E0,-3.611187458E0,-7.598317146E0,1.366820335E0
