"event","experiment time","system time","system time text"
"START",0.000000000E0,1734014304.616,"2024-12-12 15:38:24.616 UTC+01:00"
"PAUSE",1.270724199E1,1734014317.323,"2024-12-12 15:38:37.323 UTC+01:00"
