"event","experiment time","system time","system time text"
"START",0.000000000E0,1734352885.587,"2024-12-16 13:41:25.587 UTC+01:00"
"PAUSE",1.216221903E1,1734352897.749,"2024-12-16 13:41:37.749 UTC+01:00"
