"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
8.088295540E-1,-1.761584520E0,-3.232288361E-2,-4.416177750E0
8.188295540E-1,-1.520642042E0,-2.978010178E-1,-4.808743000E0
8.288295540E-1,-1.336636543E0,-5.784072876E-1,-4.988775730E0
8.388295540E-1,-1.077708960E0,-9.229774475E-1,-5.067954540E0
8.488295540E-1,-8.969759941E-1,-1.084974289E0,-5.050173759E0
8.588295540E-1,-1.000862122E0,-1.206824780E0,-4.735840797E0
8.688295540E-1,-1.055671215E0,-9.897713661E-1,-4.459930420E0
8.788295540E-1,-1.142328262E0,-6.201982498E-1,-4.168308735E0
8.888295540E-1,-1.070258379E0,-4.596414566E-1,-4.025100708E0
8.988295540E-1,-9.793431759E-1,-4.686212540E-1,-4.092391491E0
9.088295540E-1,-8.314261436E-1,-6.120853424E-1,-4.190330982E0
9.188295540E-1,-5.565977097E-1,-8.861346245E-1,-4.444467545E0
9.288295540E-1,-4.467222691E-1,-1.057148457E0,-4.525149345E0
9.388295540E-1,-3.817501068E-1,-1.298393726E0,-4.500546455E0
9.488295540E-1,-2.616319656E-1,-1.244282246E0,-4.491896629E0
9.588295540E-1,-6.464843750E-1,-1.097514629E0,-4.328050137E0
9.688295540E-1,-6.998949051E-1,-8.274350166E-1,-4.271928310E0
9.788295870E-1,-7.899017334E-1,-7.008647919E-1,-4.278858185E0
9.888295870E-1,-7.897868156E-1,-7.739133835E-1,-4.231341839E0
9.988295870E-1,-8.105487823E-1,-8.842563629E-1,-4.148118496E0
1.008829587E0,-7.570381165E-1,-7.279696465E-1,-4.134790897E0
1.018829587E0,-9.298381805E-1,-3.773913383E-1,-4.151196003E0
1.028829553E0,-1.009157181E0,-1.450433731E-1,-4.169400215E0
1.038829553E0,-1.307582378E0,7.791566849E-2,-4.313135147E0
1.048829553E0,-1.396691322E0,8.499002457E-2,-4.368465900E0
1.058829553E0,-1.369664669E0,-1.395463943E-2,-4.444977760E0
1.068829553E0,-1.292628765E0,-2.349510193E-1,-4.457117558E0
1.078829553E0,-1.196073532E0,-4.558343887E-1,-4.406287193E0
1.088829553E0,-1.099331379E0,-5.134873390E-1,-4.303694725E0
1.098829553E0,-1.016592979E0,-2.575478554E-1,-4.229688644E0
1.108829553E0,-1.007230759E0,-2.634716034E-2,-4.222667694E0
1.118829553E0,-9.336977005E-1,7.912540436E-2,-4.275115490E0
1.128829553E0,-9.790086746E-1,1.874685287E-2,-4.409900665E0
1.138829553E0,-1.097423553E0,-2.731790543E-1,-4.550812244E0
1.148829553E0,-1.066254139E0,-5.372762680E-1,-4.517604351E0
1.158829553E0,-1.058260918E0,-9.460945129E-1,-4.195883751E0
1.168829553E0,-1.007151604E0,-9.946980476E-1,-4.046412468E0
1.178829553E0,-9.060540199E-1,-9.873294830E-1,-3.904499292E0
1.188829653E0,-9.210100174E-1,-7.441306114E-1,-3.884660244E0
1.198829653E0,-1.119198322E0,-7.003593445E-1,-3.956453323E0
1.208829653E0,-1.220287800E0,-7.003855705E-1,-4.106878281E0
1.218829653E0,-1.352434158E0,-8.154802322E-1,-4.295162201E0
1.228829686E0,-1.299430847E0,-8.571634293E-1,-4.328060150E0
1.238829686E0,-1.078576565E0,-7.316427231E-1,-4.399802208E0
1.248829686E0,-7.876162529E-1,-5.313553810E-1,-4.454432964E0
1.258829686E0,-4.780530930E-1,-4.506216049E-1,-4.431276321E0
1.268829686E0,-3.439359665E-1,-3.904247284E-1,-4.381485462E0
1.278829652E0,-4.427103996E-1,-5.347027779E-1,-4.292106628E0
1.288829652E0,-5.342130661E-1,-5.879468918E-1,-4.215169430E0
1.298829652E0,-6.284489632E-1,-5.386443138E-1,-4.121275902E0
1.308829652E0,-6.277847290E-1,-2.484498024E-1,-4.108139992E0
1.318829652E0,-6.828308105E-1,-4.319047928E-2,-4.171513557E0
1.328829652E0,-7.891287804E-1,4.398155212E-2,-4.230723858E0
1.338829652E0,-1.029288769E0,1.490712166E-1,-4.323204041E0
1.348829652E0,-1.000532150E0,1.945967674E-1,-4.291399479E0
1.358829652E0,-7.927665710E-1,2.651987076E-1,-4.265165806E0
1.368829652E0,-6.336631775E-1,3.753829002E-1,-4.212578773E0
1.378829652E0,-3.677978516E-1,3.083381653E-1,-4.130206108E0
1.388829652E0,-2.675523758E-1,2.604608536E-1,-4.008786201E0
1.398829652E0,-2.553825378E-1,-3.557205200E-4,-3.719523191E0
1.408829652E0,-3.001708984E-1,-2.006530762E-2,-3.596708298E0
1.418829652E0,-4.141826630E-1,-6.792998314E-2,-3.453219891E0
1.428829652E0,-4.250774384E-1,-3.371000290E-3,-3.365403652E0
1.438829652E0,-6.710262299E-1,1.428539753E-1,-3.410022497E0
1.448829652E0,-9.179668427E-1,2.815017700E-1,-3.497486830E0
1.458829652E0,-1.172676086E0,2.584095001E-1,-3.781707525E0
1.468829652E0,-1.250752449E0,3.207492828E-2,-4.063573837E0
1.478829685E0,-1.146026611E0,-6.043179035E-1,-4.312314987E0
1.488829585E0,-9.810657501E-1,-9.351127148E-1,-4.362287998E0
1.498829585E0,-6.293802261E-1,-1.349638104E0,-4.182822227E0
1.508829585E0,-3.365430832E-1,-1.330310345E0,-3.979887962E0
1.522969192E0,-6.852149963E-3,-1.210781813E0,-3.446497917E0
1.532969192E0,-3.537273407E-2,-1.017532229E0,-3.280252695E0
1.542969192E0,-2.104854584E-1,-7.823181152E-1,-3.231521130E0
1.552969192E0,-3.875122070E-1,-5.614011288E-1,-3.292310953E0
1.562969192E0,-5.957632065E-1,-3.628028631E-1,-3.412480831E0
1.572969192E0,-6.398725510E-1,-1.440068483E-1,-3.567723751E0
1.582969192E0,-6.220378876E-1,6.508946419E-3,-3.758171797E0
1.592969192E0,-5.696163177E-1,1.005913019E-1,-3.813727617E0
1.602969192E0,-7.049226761E-1,2.675821781E-1,-3.819005966E0
1.612969192E0,-9.386968613E-1,4.468296766E-1,-3.840790510E0
1.622969192E0,-1.165295601E0,5.413224697E-1,-3.744958639E0
1.632969192E0,-1.152065277E0,5.630389452E-1,-3.610611200E0
1.642969192E0,-8.603630066E-1,4.569114447E-1,-3.439048052E0
1.652969192E0,-6.467952728E-1,4.284970164E-1,-3.403295279E0
1.662969192E0,-3.300933838E-1,1.711983085E-1,-3.265010834E0
1.672969192E0,-1.917963028E-1,1.635468006E-2,-3.161695480E0
1.682969192E0,-1.563978195E-1,-4.894730449E-2,-3.112007856E0
