"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.443216204E0,-1.744656563E-1,-1.568977118E0,6.715511322E0
1.460217567E0,-2.942340970E-1,-2.187400579E0,6.755049706E0
1.477226713E0,8.725422621E-2,-2.312347889E0,4.785818100E0
1.494220589E0,8.649532199E-1,-2.612810135E0,2.284962654E0
1.511234658E0,1.139254332E0,-2.482034445E0,5.482654572E-1
1.528244201E0,1.475857496E0,-2.731180429E0,-2.705812454E-1
1.545252431E0,1.180405378E0,-3.074439049E0,-2.519073486E-1
1.562254507E0,7.433843017E-1,-3.224827528E0,-6.856632233E-2
1.579256337E0,5.548745990E-1,-3.266809702E0,-5.502014160E-1
1.596260286E0,2.785644829E-1,-3.305996180E0,-1.518581390E0
1.613266318E0,1.435653567E-1,-3.334377766E0,-2.848558903E0
1.630271354E0,-1.399224997E-2,-3.287483692E0,-4.015275478E0
1.647276288E0,-1.325314045E-1,-3.197364807E0,-4.496190071E0
1.664280978E0,-1.169235706E-1,-2.956276178E0,-4.599101543E0
1.681277143E0,-1.550654173E-1,-2.649681807E0,-4.455804348E0
1.698289554E0,-1.346640587E-1,-2.306255579E0,-4.232939720E0
1.715289372E0,-1.404404640E-3,-1.910374641E0,-4.160060883E0
1.732301111E0,9.639120102E-2,-1.521757603E0,-4.044967175E0
1.749306594E0,1.980249882E-1,-1.258249760E0,-3.851410866E0
1.766311437E0,1.124694347E-1,-1.055545330E0,-3.411305904E0
1.783310339E0,-4.774808884E-2,-8.704631329E-1,-2.690487862E0
1.800321223E0,-1.653673649E-1,-6.822702885E-1,-1.973871708E0
1.817326413E0,-4.659435749E-1,-3.408222198E-1,-1.519998550E0
1.834331418E0,5.824720860E-2,-3.258485794E-1,-9.853439331E-1
1.851336301E0,1.167187691E-1,2.220036983E-1,-6.041660309E-1
1.868329434E0,-3.146328926E-1,4.911210537E-1,1.071386337E-1
1.885346373E0,-4.729012251E-1,6.447153091E-1,1.210624695E0
1.902353809E0,-4.787735939E-1,8.926582336E-1,2.661380768E0
1.919343362E0,-6.416764259E-1,9.592075348E-1,4.241046906E0
1.936356435E0,-8.680207729E-1,1.031861067E0,5.519498825E0
1.953366516E0,-9.806928635E-1,1.011853695E0,5.937533379E0
1.970358459E0,-8.424218893E-1,1.153650999E0,5.240412712E0
1.987379680E0,-1.082088470E0,1.397646904E0,3.996574402E0
2.004383475E0,-1.608639359E0,1.485328674E0,3.637269020E0
2.021373851E0,-1.981989264E0,1.319521189E0,5.377332687E0
2.038391522E0,-2.071519852E0,8.694553375E-2,7.960101128E0
2.055396619E0,-1.875637531E0,-1.157546997E0,8.458078384E0
2.072401279E0,-1.286281586E0,-1.841198683E0,5.302960396E0
2.089406558E0,-6.678099632E-1,-1.976702213E0,1.507567406E0
2.106411697E0,-6.302856207E-1,-2.165204048E0,-7.108550072E-1
2.123416925E0,-8.990116119E-1,-2.416497707E0,-8.016266823E-1
2.140421391E0,-9.746921062E-1,-2.708529234E0,9.485912323E-2
2.157426611E0,-8.986638784E-1,-3.092762947E0,7.036094666E-1
2.174433131E0,-6.241762638E-1,-3.464842081E0,6.418333054E-1
2.191436661E0,-5.299973488E-2,-3.626991749E0,-8.047771454E-2
2.208419205E0,4.559984207E-1,-3.727485657E0,-1.311280251E0
