"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012191.937,"2024-12-12 15:03:11.937 UTC+01:00"
"PAUSE",1.521408586E1,1734012207.151,"2024-12-12 15:03:27.151 UTC+01:00"
