"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.261954340E-1,2.904886723E0,1.410568953E0,7.188637257E0
8.361954340E-1,3.900899172E0,3.918247223E-1,7.599006653E0
8.461954340E-1,4.200001717E0,-1.615155339E-1,7.460222721E0
8.561954340E-1,3.774079561E0,-8.673982322E-2,7.512266636E0
8.661954340E-1,3.417548895E0,2.237289101E-1,7.874779224E0
8.761954340E-1,3.948755503E0,4.396811724E-1,7.513463020E0
8.861954340E-1,5.696114540E0,-2.901297510E-1,7.611568928E0
8.961954340E-1,6.549155712E0,-7.274180651E-1,7.383652687E0
9.061954340E-1,6.786643028E0,-7.758727670E-1,6.518048763E0
9.161954340E-1,6.614359856E0,-7.932206988E-1,5.341976643E0
9.261954340E-1,6.140581131E0,-6.329016089E-1,5.221138954E0
9.361954340E-1,5.698507309E0,-4.612165689E-1,5.740979671E0
9.461954340E-1,5.648856163E0,-7.274180651E-1,6.433103561E0
9.561954340E-1,5.539384365E0,-1.119242787E0,6.708876610E0
9.661954340E-1,5.291727066E0,-1.068395257E0,6.443871498E0
9.761954340E-1,5.437689304E0,-1.317248821E0,5.973083496E0
9.861954340E-1,5.723631859E0,-1.782054663E0,5.161318302E0
9.961954340E-1,5.959922791E0,-2.025524378E0,4.883152962E0
1.006195434E0,6.089733601E0,-2.225923300E0,4.894518852E0
1.016195434E0,6.296712875E0,-2.621935368E0,4.873581409E0
1.026195434E0,6.655636311E0,-2.940778971E0,4.993222713E0
1.036195434E0,7.287939548E0,-3.277568817E0,5.039284706E0
1.046195434E0,7.642675400E0,-3.396611691E0,4.881358147E0
1.056195434E0,7.844270706E0,-3.429512978E0,4.735994339E0
1.066195434E0,7.998608112E0,-3.582653761E0,4.518845558E0
1.076195434E0,8.057231903E0,-3.783650875E0,4.247858524E0
1.086195434E0,8.240283012E0,-4.241876125E0,4.231706619E0
1.096195434E0,8.471190453E0,-4.709074974E0,4.378267288E0
1.106195434E0,8.575876236E0,-5.076373100E0,4.714458942E0
1.116195434E0,8.710473061E0,-5.458028316E0,4.878965378E0
1.126195434E0,8.697910309E0,-5.840879917E0,4.846064091E0
1.136195434E0,8.699107170E0,-6.123233318E0,4.689334393E0
1.146195434E0,8.877969742E0,-6.429514408E0,4.357928276E0
1.156195434E0,9.062815666E0,-6.854838848E0,3.888336897E0
1.166195434E0,9.096913338E0,-6.903293133E0,3.769293785E0
1.176195434E0,9.663414001E0,-8.603992462E0,3.402593851E0
1.186195434E0,9.827920914E0,-8.953344345E0,3.066402197E0
1.196195434E0,9.735796928E0,-8.967103004E0,3.408575773E0
1.206195434E0,9.923633575E0,-9.683155060E0,3.693919897E0
