"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.670877900E-2,4.934598446E0,8.057829857E0,3.014358282E0
1.883354400E-2,4.925027370E0,8.038687706E0,3.028715372E0
2.095831000E-2,4.920839787E0,8.019545555E0,3.028715372E0
2.308660700E-2,4.925625324E0,8.019545555E0,3.019144058E0
2.521137300E-2,4.949553490E0,7.986045361E0,3.024527788E0
2.733613900E-2,4.959125042E0,7.990831375E0,3.029313564E0
2.946065000E-2,4.987838745E0,7.995616913E0,2.986840963E0
3.158650500E-2,5.002195835E0,7.990831375E0,2.991626501E0
3.371198000E-2,5.016552448E0,7.995616913E0,2.920439959E0
3.584024500E-2,5.030909538E0,7.986045361E0,2.891726255E0
3.796603800E-2,5.021936417E0,8.005187988E0,2.839084148E0
4.009881900E-2,5.021936417E0,8.014759064E0,2.776870728E0
4.222772500E-2,5.036293507E0,8.005187988E0,2.758326292E0
4.435489200E-2,5.117649555E0,7.966903210E0,2.726023197E0
4.648474400E-2,5.486742496E0,7.834101200E0,2.635095835E0
4.860734200E-2,5.448457241E0,7.829315662E0,2.620140791E0
5.073394900E-2,5.280959606E0,7.890930653E0,2.618346214E0
5.285982400E-2,5.161318302E0,7.947760582E0,2.650051117E0
5.498137600E-2,5.055436134E0,7.986045361E0,2.734398127E0
5.710703700E-2,5.045864582E0,7.990831375E0,2.782254457E0
5.923301300E-2,5.031507969E0,7.995616913E0,2.824727058E0
6.135848100E-2,5.194219589E0,7.919644833E0,2.831905603E0
6.348422300E-2,5.606383324E0,7.753343582E0,2.688934565E0
6.560723900E-2,5.548357487E0,7.762914658E0,2.769692183E0
6.772857700E-2,5.500501156E0,7.782057285E0,2.892922640E0
6.985440000E-2,5.432903767E0,7.791628838E0,2.973082066E0
7.198424200E-2,5.385047436E0,7.801199913E0,3.044268608E0
7.411277200E-2,5.303092957E0,7.810771465E0,3.143570662E0
7.624287900E-2,5.260022163E0,7.829914093E0,3.219542980E0
7.836865200E-2,5.240880013E0,7.820342541E0,3.281157970E0
8.049437300E-2,5.201996326E0,7.820342541E0,3.314059258E0
8.261998300E-2,5.183452129E0,7.810771465E0,3.309273720E0
8.475163600E-2,5.178666592E0,7.767102242E0,3.242274761E0
8.687736800E-2,5.150550842E0,7.733603001E0,3.227917671E0
8.899959000E-2,5.112265587E0,7.738388538E0,3.212962627E0
9.112536300E-2,5.064409256E0,7.752745152E0,3.226721287E0
9.324520500E-2,5.040481091E0,7.747959614E0,3.207578659E0
9.537088700E-2,4.973481655E0,7.780860901E0,3.215953588E0
9.750015900E-2,4.905884743E0,7.833503246E0,3.277568817E0
9.962590000E-2,4.877170563E0,7.852645874E0,3.272184849E0
1.017472070E-1,4.858027935E0,7.847859859E0,3.272184849E0
1.038685140E-1,4.853242397E0,7.856832981E0,3.257827997E0
1.059898210E-1,4.872385025E0,7.833503246E0,3.243471146E0
1.081111280E-1,4.901099205E0,7.814360619E0,3.234498024E0
1.102324340E-1,4.911268711E0,7.795217991E0,3.244069338E0
1.123641560E-1,4.911268711E0,7.780860901E0,3.210569859E0
1.144848630E-1,4.925625324E0,7.752147198E0,3.148954630E0
1.166064350E-1,4.892724037E0,7.718049526E0,3.114856958E0
1.187309970E-1,4.878366947E0,7.689335346E0,3.157927752E0
1.208598520E-1,4.796412945E0,7.689335346E0,3.257229805E0
1.229893690E-1,4.782055855E0,7.666005611E0,3.347558975E0
1.251181430E-1,5.671587944E0,7.459026337E0,3.439682484E0
1.272440990E-1,6.766902447E0,7.233502865E0,3.519842148E0
1.293697590E-1,6.637690067E0,7.237690449E0,3.613760471E0
1.314955120E-1,6.474380016E0,7.218547821E0,3.711866140E0
1.336212340E-1,6.383452415E0,7.204190731E0,3.777668715E0
1.357434260E-1,6.306283951E0,7.213762283E0,3.900899172E0
1.378691280E-1,6.282355785E0,7.199405193E0,4.039084435E0
1.399948290E-1,6.233901024E0,7.185048103E0,4.115056515E0
1.421205410E-1,6.186044693E0,7.165905476E0,4.200600147E0
1.442497630E-1,6.162116528E0,7.103692055E0,4.204787731E0
1.463754850E-1,6.157928944E0,7.031907558E0,4.181457520E0
