"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.158650500E-2,-3.544545472E-1,-9.468411654E-2,3.436116874E-2
3.371198000E-2,-3.593414724E-1,-9.224065393E-2,3.924809024E-2
3.584024500E-2,-3.678936064E-1,-8.979719132E-2,4.520402849E-2
3.796603800E-2,-3.752239645E-1,-8.613199741E-2,5.009094998E-2
4.009881900E-2,-3.860668242E-1,-8.124507964E-2,5.497787148E-2
4.222772500E-2,-3.995058835E-1,-7.635815442E-2,5.986479297E-2
4.435489200E-2,-4.105014503E-1,-7.269296050E-2,6.352998316E-2
4.648474400E-2,-4.286746979E-1,-6.902777404E-2,6.215553731E-2
4.860734200E-2,-4.480696619E-1,-6.673702598E-2,5.115996301E-2
5.073394900E-2,-4.700607955E-1,-7.040221989E-2,4.138612002E-2
5.285982400E-2,-4.918992519E-1,-6.918048859E-2,3.772092983E-2
5.498137600E-2,-5.137376785E-1,-7.162395120E-2,3.634648025E-2
5.710703700E-2,-5.343543887E-1,-7.528914511E-2,3.878994286E-2
5.923301300E-2,-5.551238060E-1,-8.139779419E-2,4.245513305E-2
6.135848100E-2,-5.769622326E-1,-8.872817457E-2,4.612032697E-2
6.348422300E-2,-6.000223756E-1,-9.605856240E-2,4.367686436E-2
6.560723900E-2,-6.232352853E-1,-1.033889428E-1,3.145955876E-2
6.772857700E-2,-6.450737119E-1,-1.131627858E-1,2.168571576E-2
6.985440000E-2,-6.681338549E-1,-1.241583601E-1,1.191187184E-2
7.198424200E-2,-6.850853562E-1,-1.362229437E-1,4.581489135E-3
7.411277200E-2,-7.020368576E-1,-1.508837193E-1,-1.527163084E-3
7.624287900E-2,-7.191411257E-1,-1.692096740E-1,-5.192354787E-3
7.836865200E-2,-7.287622094E-1,-1.850921661E-1,-6.414085161E-3
8.049437300E-2,-7.422012687E-1,-2.020436823E-1,-6.414085161E-3
8.261998300E-2,-7.542658448E-1,-2.191479057E-1,-8.857546374E-3
8.475163600E-2,-7.628179789E-1,-2.324342281E-1,-7.635815535E-3
8.687736800E-2,-7.713701129E-1,-2.385428846E-1,-8.857546374E-3
8.899959000E-2,-7.774787545E-1,-2.458732575E-1,-6.414085161E-3
9.112536300E-2,-7.858781219E-1,-2.544253767E-1,-3.970623948E-3
9.324520500E-2,-7.944302559E-1,-2.629774809E-1,9.162978968E-4
9.537088700E-2,-8.029823899E-1,-2.725986242E-1,4.581489135E-3
9.750015900E-2,-8.103127480E-1,-2.835941911E-1,1.069014147E-2
9.962590000E-2,-8.200865984E-1,-3.006984293E-1,1.802052557E-2
1.017472070E-1,-8.272642493E-1,-3.176499307E-1,2.550362423E-2
1.038685140E-1,-8.370380998E-1,-3.370448947E-1,3.283400834E-2
1.059898210E-1,-8.480336666E-1,-3.590360582E-1,4.016438872E-2
1.081111280E-1,-8.590292335E-1,-3.820962012E-1,4.505131021E-2
1.102324340E-1,-8.710938692E-1,-4.089742899E-1,4.749477282E-2
1.123641560E-1,-8.833111525E-1,-4.381431043E-1,5.009094998E-2
1.144848630E-1,-8.990409374E-1,-4.636467099E-1,5.131268129E-2
1.166064350E-1,-9.137017131E-1,-4.868595898E-1,5.375614017E-2
1.187309970E-1,-9.282097220E-1,-5.074763298E-1,5.253441259E-2
1.208598520E-1,-9.440922141E-1,-5.331326723E-1,5.375614017E-2
1.229893690E-1,-9.586002827E-1,-5.635231733E-1,5.635231733E-2
1.251181430E-1,-9.720393419E-1,-5.926920176E-1,5.757404864E-2
1.272440990E-1,-9.876163602E-1,-6.342308521E-1,1.985312067E-2
1.293697590E-1,-1.005789638E0,-6.831000447E-1,-4.841107130E-2
1.314955120E-1,-1.023810148E0,-7.367035151E-1,-1.119410545E-1
1.336212340E-1,-1.039387226E0,-7.929030657E-1,-1.728748679E-1
1.357434260E-1,-1.056185961E0,-8.489499688E-1,-2.301434875E-1
1.378691280E-1,-1.069472313E0,-9.088147879E-1,-2.825251818E-1
1.399948290E-1,-1.086271167E0,-9.709703326E-1,-3.349068761E-1
1.421205410E-1,-1.099557400E0,-1.036791086E0,-3.834706545E-1
1.442497630E-1,-1.112843752E0,-1.100168347E0,-4.273002446E-1
1.463754850E-1,-1.123533845E0,-1.157436967E0,-4.699080884E-1
1.485012060E-1,-1.136820197E0,-1.214705586E0,-5.112941861E-1
1.506269180E-1,-1.148884773E0,-1.264796495E0,-5.467243791E-1
1.527523860E-1,-1.159727693E0,-1.318399906E0,-5.807801485E-1
1.548749040E-1,-1.168127060E0,-1.372003317E0,-6.111706495E-1
1.570009310E-1,-1.176526427E0,-1.426828504E0,-6.378960609E-1
1.591266730E-1,-1.182482362E0,-1.479210138E0,-6.621779203E-1
1.612494150E-1,-1.188591003E0,-1.524261475E0,-6.852380633E-1
1.633750660E-1,-1.190881848E0,-1.565800309E0,-7.047857642E-1
1.655005240E-1,-1.193325281E0,-1.608408213E0,-7.180721164E-1
1.676262560E-1,-1.196837783E0,-1.648572564E0,-7.338019013E-1
1.697549780E-1,-1.194394231E0,-1.683850050E0,-7.460191846E-1
1.718840670E-1,-1.194394231E0,-1.713171601E0,-7.580837607E-1
1.740097590E-1,-1.190729022E0,-1.736231685E0,-7.678576112E-1
1.761338740E-1,-1.186911225E0,-1.758222938E0,-7.738135457E-1
1.782598400E-1,-1.183246017E0,-1.772883654E0,-7.823656797E-1
1.803854390E-1,-1.175915599E0,-1.781283021E0,-7.896960378E-1
1.825111710E-1,-1.166294456E0,-1.789835215E0,-7.958046794E-1
1.846338720E-1,-1.156520605E0,-1.795943856E0,-8.017606139E-1
1.867539580E-1,-1.144303322E0,-1.803274155E0,-8.042041063E-1
1.888797910E-1,-1.134529471E0,-1.802052498E0,-8.090910316E-1
1.910054930E-1,-1.120021462E0,-1.795943856E0,-8.115344644E-1
1.931358540E-1,-1.105360627E0,-1.788613439E0,-8.139779568E-1
1.952672220E-1,-1.088409185E0,-1.780214071E0,-8.164213896E-1
1.973928730E-1,-1.072526693E0,-1.777770638E0,-8.176431060E-1
1.995186450E-1,-1.060309291E0,-1.791056871E0,-8.187121153E-1
2.016443570E-1,-1.049466491E0,-1.809382915E0,-8.199338913E-1
2.037698250E-1,-1.034805775E0,-1.811826348E0,-8.223773241E-1
2.058909190E-1,-1.020297647E0,-1.793500304E0,-8.235990405E-1
2.080162340E-1,-1.003193498E0,-1.750892520E0,-8.260425329E-1
2.101419750E-1,-9.813550115E-1,-1.696067333E0,-8.261952400E-1
2.122679310E-1,-9.582948685E-1,-1.637729764E0,-8.261952400E-1
2.143982820E-1,-9.327912331E-1,-1.587791443E0,-8.226827979E-1
2.165243700E-1,-9.060658813E-1,-1.546405315E0,-8.177958727E-1
2.186925950E-1,-8.768970370E-1,-1.518305540E0,-8.116871715E-1
2.208605820E-1,-8.489499688E-1,-1.500132322E0,-8.043568134E-1
2.230289020E-1,-8.161159754E-1,-1.489136696E0,-7.945829630E-1
2.251974180E-1,-7.845036983E-1,-1.484097123E0,-7.884743214E-1
2.273623020E-1,-7.506006956E-1,-1.472032547E0,-7.799221873E-1
2.295280260E-1,-7.153232098E-1,-1.456150055E0,-7.725918293E-1
2.316961690E-1,-6.800457239E-1,-1.428050280E0,-7.640396953E-1
2.338642180E-1,-6.424775124E-1,-1.393994451E0,-7.567093372E-1
2.360324540E-1,-6.023131609E-1,-1.354899168E0,-7.506006956E-1
2.382032320E-1,-5.610797405E-1,-1.311069489E0,-7.432702780E-1
2.403714670E-1,-5.160284042E-1,-1.263574719E0,-7.347181439E-1
2.425396100E-1,-4.699080884E-1,-1.217301726E0,-7.263187766E-1
2.447111980E-1,-4.237877727E-1,-1.174693823E0,-7.153232098E-1
2.468796730E-1,-3.775147200E-1,-1.138041973E0,-7.018841505E-1
2.490446080E-1,-3.301726580E-1,-1.112538338E0,-6.896668673E-1
2.512128760E-1,-2.816088796E-1,-1.086881995E0,-6.750060916E-1
2.533810920E-1,-2.318233550E-1,-1.061225653E0,-6.626361012E-1
2.555490890E-1,-1.820378453E-1,-1.036791086E0,-6.504187584E-1
2.577207180E-1,-1.320996135E-1,-1.010065675E0,-6.394231915E-1
2.598874700E-1,-8.353582025E-2,-9.831876159E-1,-6.296493411E-1
2.620557260E-1,-3.375030309E-2,-9.552405477E-1,-6.223189831E-1
2.642242210E-1,1.481348183E-2,-9.271407127E-1,-6.174320579E-1
2.663923950E-1,5.986479297E-2,-9.014843702E-1,-6.137668490E-1
2.685588140E-1,1.035416573E-1,-8.796459436E-1,-6.113234162E-1
2.707256910E-1,1.449277848E-1,-8.686503768E-1,-6.111706495E-1
2.728936680E-1,1.863138974E-1,-8.625417352E-1,-6.111706495E-1
2.750619760E-1,2.252565622E-1,-8.576548100E-1,-6.123924255E-1
2.772335010E-1,2.605340183E-1,-8.515461683E-1,-6.171266437E-1
2.794030960E-1,2.958115041E-1,-8.478809595E-1,-6.244570017E-1
2.815715910E-1,3.274237812E-1,-8.503243923E-1,-6.340781450E-1
2.837397440E-1,3.590360582E-1,-8.552113175E-1,-6.462954283E-1
2.859079700E-1,3.871358633E-1,-8.588765264E-1,-6.608034968E-1
2.880761750E-1,4.101960063E-1,-8.710938692E-1,-6.791294217E-1
2.902441410E-1,4.346306324E-1,-8.845328689E-1,-6.973026991E-1
2.924071790E-1,4.578435123E-1,-9.051495790E-1,-7.205155492E-1
