"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.955060100E-2,-6.251437664E-1,1.095123291E0,1.400399208E-1
4.006585800E-2,-1.195238352E0,1.106785774E0,3.979091644E-1
5.706867600E-2,-8.242399693E-1,9.993600845E-1,1.972217560E-1
7.407935800E-2,-9.433907270E-1,5.871477127E-1,-4.252147675E-2
9.106506600E-2,-1.088114738E0,6.644220352E-1,-5.456047058E-1
1.080748110E-1,-9.734666348E-1,8.971452713E-1,-8.905510902E-1
1.250886470E-1,-8.207339048E-1,9.115505219E-1,-4.217171669E-1
1.420921360E-1,-1.480494499E0,2.361683846E0,4.306354523E-1
1.590930310E-1,-1.028461814E0,4.961156845E-1,1.632428169E-1
1.761167150E-1,2.493855357E-2,8.537912369E-1,1.160901070E0
1.931116690E-1,5.159581900E-1,2.644157410E-2,1.007596016E0
2.101187390E-1,1.008915663E0,-8.640446663E-1,4.332122803E-1
2.271249240E-1,1.724588394E0,-2.084044933E0,-3.497471809E-1
2.441196970E-1,1.571462154E0,-2.183731556E0,-2.281150818E-1
2.611275300E-1,1.360450268E0,-1.389338017E0,8.266601562E-1
2.781448020E-1,1.063661575E0,-1.532821655E0,-6.272759438E-1
2.951513950E-1,1.576653719E0,-2.655798435E0,-9.950065613E-1
3.121614260E-1,2.126597404E0,-1.238561630E0,-5.604624748E-1
3.291644470E-1,7.570312023E-1,1.231698036E0,2.515778542E-1
3.461754960E-1,6.846261024E-1,7.737522125E-1,-2.237029076E-1
3.631778860E-1,1.503906608E0,-5.915098190E-1,-1.296266079E0
3.801842750E-1,1.649715543E0,-5.447607040E-1,-1.951729298E0
3.971862380E-1,6.321803331E-1,3.369507790E-1,-1.028653622E0
4.141973470E-1,8.613882065E-1,1.638269424E-1,-1.634988785E-1
4.311910100E-1,7.794628143E-1,-2.647070885E-1,-3.478059769E-1
4.482077030E-1,1.750136614E-1,3.868584633E-1,1.172027588E-1
4.652172360E-1,5.791940689E-1,8.681974411E-1,1.597382069E0
4.822204510E-1,1.561696291E0,1.051972389E0,1.992691040E0
4.992296880E-1,1.859687448E0,1.600897789E0,1.976650715E0
5.162336970E-1,1.242090464E0,1.497832775E0,1.032723427E0
5.332444700E-1,7.077527046E-1,1.502236843E0,-2.445168495E-1
5.502502170E-1,2.926070690E-1,1.252825260E0,5.204677582E-2
5.672567590E-1,5.418478847E-1,1.022465229E0,1.773218632E0
5.842574820E-1,8.590670228E-1,1.281417847E0,1.695185184E0
6.012703100E-1,4.480717778E-1,-7.050089836E-1,1.259455204E0
6.182765550E-1,-1.633567333E0,-4.987702370E-1,-6.672115326E-1
6.352801380E-1,-4.292337894E0,5.061159134E-1,-1.111389637E0
6.522896080E-1,-2.966671705E0,-2.084752083E0,-1.380847931E0
6.692832000E-1,-4.489317894E0,-1.760183811E0,6.042575836E-2
6.863041050E-1,-6.881635666E0,-7.641034126E-1,1.655170918E0
7.033095470E-1,-5.056433201E0,-1.641067982E0,1.583766460E0
7.203256410E-1,-2.716708660E0,-4.041613579E0,1.573162079E-1
7.373254670E-1,-2.485086203E0,-3.389973164E0,-1.385762215E0
7.543293140E-1,-4.208248615E0,-1.156134605E0,-1.685249329E0
7.713227220E-1,-4.547523975E0,1.855586052E0,1.124344826E0
7.883455810E-1,2.998092175E-1,-5.059041977E-1,2.976534367E-1
8.053491520E-1,3.460367918E0,-2.947824955E0,5.290460587E-2
8.223399150E-1,-6.151425838E-1,-3.975133896E-1,2.359427214E0
8.393588570E-1,-1.578354120E0,2.064589500E0,3.105681896E0
8.563688270E-1,1.095724583E0,-3.149852753E-1,1.908460379E0
8.733867100E-1,1.951556683E0,-1.679992676E-1,1.775602221E0
8.903817670E-1,6.035568714E-1,-1.903581619E-1,3.014956474E0
9.073884300E-1,6.406769753E-1,-1.098804474E-1,2.464211941E0
9.243950530E-1,1.319115877E0,-4.680328369E-1,1.664104104E0
9.414054200E-1,1.497989416E0,-1.693744659E-1,5.265477896E-1
9.584083290E-1,6.189651489E-1,-1.001186371E-1,-5.339112282E-1
9.753998970E-1,8.000991344E-1,-3.775491714E-1,-6.477606297E-1
9.924214430E-1,1.548302889E0,1.321887970E-1,-2.668905854E-1
1.009431229E0,1.292087555E0,-4.789066315E-2,-2.172296643E-1
1.026450039E0,5.382201672E-1,-7.839775085E-2,1.314707279E0
1.043442328E0,8.137793541E-1,1.360168457E-1,8.837080002E-1
1.060448045E0,2.470887184E0,-1.224155426E-1,1.107401371E0
1.077454312E0,1.854208946E0,-3.811750412E-1,-5.164356828E-1
1.094453264E0,9.518418312E-1,-4.626207352E-1,1.959937364E-1
1.111467709E0,6.464533806E-1,8.047885895E-1,-1.511585236E1
1.128477984E0,-1.252874374E0,5.916185379E-1,-1.197629690E0
1.145480742E0,-4.343094826E-1,-3.343372345E-1,-4.402028918E-1
1.162493407E0,3.571448326E-1,2.136878967E-1,5.741820931E-1
