"event","experiment time","system time","system time text"
"START",0.000000000E0,1734014092.972,"2024-12-12 15:34:52.972 UTC+01:00"
"PAUSE",1.619305291E1,1734014109.165,"2024-12-12 15:35:09.165 UTC+01:00"
