"event","experiment time","system time","system time text"
"START",0.000000000E0,1734351705.932,"2024-12-16 13:21:45.932 UTC+01:00"
"PAUSE",1.124951122E1,1734351717.182,"2024-12-16 13:21:57.182 UTC+01:00"
