"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.608576250E-1,-1.382408318E-2,2.528808503E0,4.858439791E-1
7.708116250E-1,2.676513812E-1,2.443432138E0,5.340542722E-1
7.807646250E-1,9.014526656E-1,2.088104152E0,4.841178811E-1
7.907186250E-1,1.233175735E0,1.818387296E0,4.622370154E-1
8.006716250E-1,1.108497017E0,1.785992260E0,4.763551176E-1
8.106256250E-1,8.949780437E-1,1.794999311E0,5.306248802E-1
8.205796250E-1,7.898949538E-1,1.761581304E0,7.464853710E-1
8.305326250E-1,5.341848844E-1,1.695296390E0,9.788660002E-1
8.404866250E-1,2.696303165E-1,1.614118326E0,1.212915425E0
8.504396250E-1,5.593446493E-2,1.592957545E0,1.580293061E0
8.603936250E-1,1.245395246E0,1.589292510E0,1.742645096E0
8.703476250E-1,2.176766945E0,1.319631496E0,1.823302758E0
8.803006250E-1,2.352838448E-1,1.019295988E0,2.154659207E0
8.902546250E-1,-1.946860418E-1,1.343043455E0,1.909283141E0
9.002076250E-1,1.793909682E-1,1.518123271E0,1.712833067E0
9.101616250E-1,3.065119216E-1,1.213325753E0,1.530068986E0
9.201146250E-1,2.071487242E-1,9.409785278E-1,1.284136266E0
9.300686250E-1,3.382351130E-1,7.414184663E-1,1.287430002E0
9.400226250E-1,3.147996189E-1,5.721488822E-1,1.226462839E0
9.499756250E-1,1.032589048E-2,4.349404585E-1,9.781830454E-1
9.599296250E-1,-1.936747659E-1,2.991441375E-1,8.353285503E-1
9.698826250E-1,-3.471942168E-1,1.761255907E-1,5.859722847E-1
9.798366250E-1,-5.876479505E-1,1.809511515E-1,2.805587626E-1
9.897906250E-1,-9.428071714E-1,2.513615683E-2,1.088657999E-1
9.997436250E-1,-1.540029572E0,-1.158866979E-1,2.292874521E-1
1.009697625E0,-1.660298320E0,-1.226842323E-1,2.009910214E-1
1.019650625E0,-1.519959443E0,-2.216161975E-1,1.169115686E-1
1.029604625E0,-1.502069010E0,-4.076292837E-1,6.185710967E-2
1.039558625E0,-1.458267663E0,-5.314002210E-1,-1.397016764E-2
1.049511625E0,-1.465860127E0,-5.272998610E-1,-1.143341160E-1
1.059465625E0,-1.445614142E0,-5.251375607E-1,-1.881476122E-1
1.069418625E0,-1.384733225E0,-5.592148411E-1,-2.119633216E-1
1.079372625E0,-1.409086294E0,-6.166447315E-1,-3.424661583E-1
1.089326625E0,-1.465835276E0,-6.923843005E-1,-5.340104181E-1
1.099279417E0,-1.458507253E0,-7.368365881E-1,-6.369582510E-1
1.109233417E0,-1.520957416E0,-8.021146113E-1,-7.025201565E-1
1.119186417E0,-1.588731324E0,-8.738049835E-1,-7.964486593E-1
1.129140417E0,-1.638738466E0,-9.566647071E-1,-9.238238204E-1
1.139094417E0,-1.511814564E0,-9.103822410E-1,-1.061003008E0
1.149047417E0,-1.438113919E0,-7.488648954E-1,-1.102438717E0
1.159001417E0,-1.433716813E0,-7.778150448E-1,-1.203311958E0
1.168954417E0,-1.423610485E0,-8.474050972E-1,-1.317893996E0
1.178908417E0,-1.364488118E0,-8.414692962E-1,-1.480002787E0
1.188862417E0,-1.346033136E0,-7.405843610E-1,-1.650450878E0
1.198815417E0,-1.342247210E0,-6.430162588E-1,-1.724087788E0
1.208769417E0,-1.286708748E0,-5.505203238E-1,-1.775897042E0
1.218722417E0,-1.157221792E0,-4.546040601E-1,-1.757650221E0
1.228676417E0,-1.071259828E0,-2.480409345E-1,-1.661329622E0
1.238630417E0,-9.932168216E-1,4.011774659E-2,-1.645804095E0
1.248583417E0,-8.784719387E-1,-1.670470574E-1,-1.659175508E0
1.258537417E0,-8.740607992E-1,-2.005670983E-1,-1.575491912E0
1.268490417E0,-6.298488408E-1,1.935431305E-1,-1.530546119E0
1.278444417E0,-4.134798980E-1,3.329772967E-1,-1.468845715E0
1.288398417E0,-4.889348539E-1,1.173498175E-1,-1.415696279E0
1.298351417E0,-4.073375807E-1,2.776374936E-2,-1.447956537E0
1.308305417E0,-2.000827295E-1,8.200456828E-2,-1.409125763E0
1.318258417E0,-1.171175368E-1,2.498676047E-1,-1.301965011E0
1.328212417E0,-2.005385931E-1,4.924951869E-1,-1.171936968E0
1.338166417E0,-2.876006375E-1,8.206438529E-1,-1.019694183E0
1.348119417E0,-2.441950929E-1,1.091162362E0,-7.427367210E-1
1.358073417E0,-2.019369364E-1,1.307952267E0,-4.043992817E-1
1.368026417E0,-2.346232374E-1,1.481379806E0,-1.167858535E-1
1.377980417E0,-1.702699696E-1,1.595655743E0,-1.541209102E-2
1.387934417E0,1.763631703E-2,1.607468580E0,1.063000417E-1
1.397887417E0,1.401010960E-1,1.530321001E0,3.816407490E-1
1.407841417E0,1.445139897E-1,1.500152000E0,7.175165105E-1
1.417794417E0,1.811517841E-1,1.512023309E0,1.036438855E0
1.427748417E0,1.637676466E-1,1.556384088E0,1.372585343E0
1.437702417E0,1.565796461E-1,1.656633723E0,1.722911913E0
1.447655417E0,3.405597467E-1,1.611161974E0,2.187721703E0
1.457609417E0,4.563304505E-1,1.323240105E0,2.621829518E0
1.467562417E0,5.767879534E-1,9.833847284E-1,2.961233490E0
1.477516417E0,6.555640181E-1,6.254047376E-1,3.110811113E0
1.487470417E0,7.031026854E-1,6.332826912E-1,3.490007726E0
1.497423417E0,7.265981135E-1,9.292184615E-1,3.343519186E0
1.507377417E0,7.130796432E-1,8.620725453E-1,3.217203541E0
1.517330417E0,7.477561171E-1,3.388563797E-1,3.250126873E0
1.527284417E0,8.216975212E-1,-1.423253220E-1,2.986853065E0
1.537237417E0,8.332118583E-1,-3.796290144E-1,2.576302512E0
1.547191417E0,8.507100897E-1,-4.633468169E-1,2.473962790E0
1.557145417E0,9.814585825E-1,-4.948904988E-1,2.532672928E0
1.567098417E0,1.024177536E0,-6.384922680E-1,2.203679924E0
1.577052417E0,1.150995531E0,-9.504418078E-1,1.919862508E0
1.587005417E0,1.316784340E0,-1.259370091E0,1.734171896E0
1.596959417E0,1.562243729E0,-1.184304121E0,1.189668649E0
1.606913417E0,1.740745628E0,-7.947824952E-1,7.231111264E-1
1.616866417E0,1.643806686E0,-2.228552225E-1,3.518100089E-1
1.626820417E0,1.486400957E0,3.563769767E-1,-1.924874157E-1
1.636773417E0,1.360223159E0,6.543034315E-3,-4.899820536E-1
1.646727417E0,1.265819278E0,-1.800398630E-1,-6.419283843E-1
1.656681417E0,1.365457587E0,-1.683121026E-1,-1.198462862E0
1.666634417E0,1.182409404E0,-3.123474428E-1,-1.352658616E0
1.676588417E0,7.764899196E-1,-3.637263420E-1,-1.486983778E0
1.686541417E0,6.991782535E-1,-4.415036657E-1,-1.601262930E0
1.696495417E0,6.208353578E-1,-6.137477285E-1,-1.697574758E0
1.706449417E0,6.369692145E-1,-6.215192628E-1,-2.080404831E0
1.716402417E0,6.946647146E-1,-4.821692964E-1,-2.386093172E0
1.726356417E0,7.080571043E-1,-3.385821453E-1,-2.600350941E0
1.736309417E0,5.596158139E-1,-3.660751686E-1,-2.732186943E0
1.746263417E0,4.733627319E-1,-3.443972012E-1,-2.964764038E0
1.756217417E0,4.649043690E-1,-1.543395960E-1,-3.169565105E0
1.766170417E0,4.793369052E-1,9.567185014E-2,-3.142622890E0
1.776124417E0,3.712104126E-1,3.871529192E-1,-2.998421781E0
1.786077417E0,2.695004169E-1,2.676144889E-1,-2.828637934E0
1.796031417E0,1.522381067E-1,1.873889360E-1,-2.660718765E0
1.805985417E0,3.335790848E-1,2.842533258E-1,-2.472422633E0
1.815938417E0,4.919437214E-1,2.833437914E-1,-2.209830025E0
1.825892417E0,5.225448322E-1,1.787590304E-1,-2.098531199E0
1.835845417E0,4.157668902E-1,7.777849317E-2,-2.187215919E0
1.845799417E0,4.105103165E-1,5.069299158E-1,-2.345222889E0
1.855753417E0,2.493457407E-1,8.391713405E-1,-2.178393640E0
1.865706417E0,6.238748867E-2,9.098615465E-1,-1.956609335E0
1.875660417E0,-3.268034410E-2,9.482923713E-1,-1.900034015E0
1.885613417E0,-4.956542183E-2,1.012783359E0,-1.677853269E0
1.895567417E0,-1.598527164E-1,1.090960925E0,-1.321447933E0
1.905521417E0,-3.256354231E-1,1.057785285E0,-1.009467988E0
1.915474417E0,-3.143221206E-1,1.059235687E0,-7.329981834E-1
1.925428417E0,-1.934801267E-1,1.328295315E0,-3.535062861E-1
1.935381417E0,-1.909326410E-1,1.430469269E0,4.054576278E-2
1.945335417E0,-2.861530130E-1,1.679212454E0,-1.008352339E-1
1.955288417E0,-3.234762291E-1,2.148217914E0,-5.388560057E-2
1.965242417E0,-3.953727888E-1,2.146253542E0,3.411879569E-1
1.975196417E0,-4.037535664E-1,1.884651160E0,6.673655266E-1
1.985149417E0,-3.083379705E-1,1.759065540E0,8.212765217E-1
1.995103417E0,-2.753676045E-1,1.846732551E0,1.220175912E0
2.005056417E0,-2.512423216E-1,2.126703961E0,1.970970097E0
2.015010417E0,-2.345708134E-1,2.258319523E0,2.576459802E0
2.024964417E0,-3.053244617E-1,2.065309659E0,2.815479945E0
2.034917417E0,-2.679365243E-1,1.687575434E0,3.070519704E0
2.044871417E0,-2.606391992E-1,1.399591585E0,3.605883753E0
2.054824417E0,-3.721853627E-1,1.153526717E0,3.889120540E0
2.064778417E0,-1.785352282E-1,7.748893905E-1,3.870912895E0
2.074732417E0,6.847235709E-2,1.717748237E-1,3.695111679E0
2.084685417E0,1.999829980E-1,-3.890959489E-1,3.423463488E0
2.094639417E0,2.949396971E-1,-7.385129848E-1,2.904541810E0
2.104593250E0,2.604509919E-1,-8.830114245E-1,2.333687502E0
2.114547250E0,2.063260210E-1,-5.242666179E-1,2.197903460E0
2.124501250E0,-1.732093649E-1,-3.323972529E-1,1.765778435E0
2.134454250E0,-5.539452573E-1,-2.863422436E-1,1.483253839E0
2.144408250E0,-6.054391274E-1,-2.355582985E-1,1.310301386E0
2.154361250E0,-5.101391602E-1,-3.683865729E-1,1.145650810E0
2.164315250E0,-4.591994599E-1,-5.801464114E-1,9.877034819E-1
2.174269250E0,-4.116982149E-1,-6.848495784E-1,9.003618675E-1
2.184222250E0,-4.371148553E-1,-6.621960032E-1,8.019304240E-1
2.194176250E0,-3.950774313E-1,-6.064205825E-1,6.080770987E-1
2.204129250E0,-3.060008384E-1,-6.376850599E-1,4.124117213E-1
2.214083250E0,-2.859213902E-1,-7.149226856E-1,1.382579988E-1
2.224037250E0,-2.454811331E-1,-7.919904497E-1,-2.028352332E-1
2.233990250E0,-2.600606903E-1,-8.429924959E-1,-5.619694644E-1
2.243944250E0,-3.084917888E-1,-9.160707048E-1,-9.258475417E-1
2.253897250E0,-3.474867969E-1,-9.742200950E-1,-1.238661885E0
2.263851250E0,-3.825913966E-1,-9.550172541E-1,-1.531752400E0
2.273805250E0,-3.994944180E-1,-8.984928051E-1,-1.826642103E0
2.283758250E0,-4.317214932E-1,-8.505336499E-1,-1.970225161E0
2.293712250E0,-4.625308380E-1,-8.485055432E-1,-2.114815110E0
2.303665250E0,-4.559837471E-1,-8.255455738E-1,-2.296869339E0
2.313619250E0,-3.880602243E-1,-7.730033711E-1,-2.468523125E0
2.323572250E0,-4.165640119E-1,-6.879524034E-1,-2.556029046E0
2.333526250E0,-4.567168783E-1,-6.079151309E-1,-2.619563722E0
2.343480250E0,-4.827033665E-1,-4.337990820E-1,-2.725087253E0
2.353433250E0,-4.583572416E-1,-2.343774533E-1,-2.823374856E0
2.363387250E0,-4.210037662E-1,-5.372892442E-1,-2.752567998E0
2.373340250E0,-4.912117962E-1,-5.752400127E-1,-2.621576918E0
2.383294250E0,-3.265261733E-1,-2.486136693E-1,-2.456265022E0
2.393248250E0,-1.303192707E-1,-1.681893110E-2,-2.229715821E0
2.403201250E0,-1.252340569E-1,-5.663203776E-2,-1.951403559E0
2.413155250E0,-9.401401833E-2,-1.880452859E-1,-1.757231560E0
2.423108250E0,-2.829145144E-2,-2.606750134E-1,-1.642150170E0
2.433062250E0,1.144487031E-1,-2.479114187E-1,-1.589469096E0
2.443016250E0,2.855215868E-1,-1.794112873E-1,-1.460106466E0
2.452969250E0,2.578535856E-1,-8.300707340E-3,-1.296751633E0
2.462923250E0,1.889894651E-1,2.809011170E-1,-1.120396101E0
2.472876250E0,1.036575936E-1,5.403663415E-1,-7.641813844E-1
2.482830250E0,-2.883603278E-2,6.988805571E-1,-3.659082305E-1
2.492784250E0,-1.302082924E-1,7.888735914E-1,-6.227109253E-2
2.502737250E0,-2.220125657E-1,8.040070626E-1,3.360353905E-1
2.512691250E0,-2.914506635E-1,7.657469764E-1,7.511046714E-1
2.522644250E0,-2.669168064E-1,6.875682414E-1,1.019635127E0
2.532598250E0,-1.814765421E-1,5.207316837E-1,1.247135085E0
2.542552250E0,-4.521607553E-2,3.153806859E-1,1.550862855E0
2.552505250E0,2.302565230E-2,2.430579373E-1,1.850544936E0
2.562459250E0,-3.879489171E-2,4.647910792E-1,2.081771325E0
2.572412250E0,-1.087824131E-1,6.841236466E-1,2.373444475E0
2.582366250E0,-8.248533731E-2,4.924776453E-1,2.626522493E0
2.592320250E0,1.826952846E-1,1.297546855E-1,2.628275489E0
2.602273250E0,5.143758699E-1,-5.176423073E-2,2.779379236E0
2.612227250E0,7.790376976E-1,1.555914849E-2,3.042729642E0
2.622180250E0,1.018388646E0,1.330732727E-1,3.239648078E0
2.632134250E0,1.264610804E0,7.530745983E-2,3.309493654E0
2.642087250E0,1.351373106E0,-4.601583302E-2,3.327993075E0
2.652041250E0,1.325521542E0,-1.555359364E-4,3.302664691E0
2.661995250E0,1.222609962E0,2.094206598E-1,3.215176311E0
2.671948250E0,1.036196561E0,3.615500084E-1,3.161524599E0
2.681902250E0,8.506410925E-1,3.025413698E-1,3.186975775E0
2.691855250E0,9.732904608E-1,7.721277505E-2,3.238797893E0
2.701809250E0,1.173165468E0,-1.846001065E-1,3.226987102E0
2.711763250E0,1.325482951E0,-3.761189309E-1,3.163548905E0
2.721716250E0,1.455762570E0,-4.943367675E-1,2.933824081E0
2.731670250E0,1.363991251E0,-5.960151699E-1,2.596815714E0
2.741623250E0,1.142969204E0,-6.626471159E-1,2.222117364E0
2.751577250E0,9.894633476E-1,-7.448501971E-1,1.629278694E0
2.761531250E0,8.419664557E-1,-8.760786733E-1,9.003378940E-1
2.771484250E0,5.521577269E-1,-9.183593050E-1,2.316163981E-1
2.781438250E0,2.709395081E-1,-8.288407722E-1,-2.746448886E-1
2.791391250E0,1.084585413E-1,-6.544367480E-1,-7.772124892E-1
2.801345250E0,8.995539285E-2,-5.329003242E-1,-1.280903340E0
2.811299250E0,7.168364793E-2,-4.281307912E-1,-1.728424083E0
2.821252250E0,7.287202142E-2,-4.941715837E-1,-2.108435213E0
2.831206250E0,-1.456508528E-2,-7.505816379E-1,-2.377228793E0
2.841159250E0,2.144670993E-2,-6.237616700E-1,-2.620606281E0
2.851113250E0,1.974785990E-1,-4.176365009E-1,-2.736774668E0
2.861067250E0,1.804705470E-1,-4.794863015E-1,-2.787494001E0
2.871020250E0,1.135100606E-1,-6.461141136E-1,-2.876067624E0
2.880974250E0,1.717167901E-1,-7.118084586E-1,-2.986296995E0
2.890927250E0,1.877203269E-1,-7.161117169E-1,-2.970538749E0
2.900881250E0,8.871315189E-2,-7.419628420E-1,-2.890772787E0
2.910834250E0,1.124844955E-1,-7.828231850E-1,-2.910641626E0
2.920788250E0,2.801216101E-1,-7.579771963E-1,-2.906711712E0
2.930742250E0,3.951940101E-1,-6.311399791E-1,-2.791667159E0
2.940695250E0,4.450133839E-1,-5.830366901E-1,-2.738209575E0
2.950649250E0,3.724288262E-1,-6.738407332E-1,-2.849082139E0
2.960602250E0,3.181285849E-1,-1.093138136E0,-2.956013680E0
2.970556250E0,7.904707584E-1,-6.940033945E-1,-2.802726583E0
2.980510250E0,7.828805608E-1,-2.315053010E-1,-2.924092560E0
2.990463250E0,3.330055461E-1,-2.250186923E-1,-2.987979239E0
3.000417250E0,4.347156696E-1,4.404160836E-1,-2.580683831E0
3.010370250E0,3.992800079E-1,1.091642418E0,-2.376841123E0
3.020324250E0,1.650302980E-1,1.752104722E0,-2.140846329E0
3.030278250E0,-4.919796087E-2,2.356427908E0,-1.814936562E0
3.040231250E0,-4.413467776E-1,2.538969795E0,-1.369708512E0
3.050185250E0,-6.554573795E-1,2.227427806E0,-1.008927705E0
3.060138250E0,-4.607637363E-1,1.999276760E0,-6.210818911E-1
3.070092250E0,-1.540985080E-1,1.994164832E0,1.616801906E-1
3.080046250E0,4.390966594E-2,1.971517104E0,8.608721119E-1
3.089999250E0,2.181913737E-1,1.850499913E0,1.303601062E0
3.099956375E0,3.629310111E-1,1.619982791E0,1.763749452E0
3.109909375E0,3.053701065E-1,1.498199615E0,2.148888005E0
3.119863375E0,3.752604134E-2,1.721906776E0,2.330979071E0
3.129817375E0,-2.906194087E-1,2.020798022E0,2.538243570E0
3.139770375E0,-5.216592713E-1,1.902043703E0,2.882574990E0
3.149724375E0,-4.217492131E-1,1.802893344E0,3.181532602E0
3.159677375E0,-2.304563105E-1,1.401367677E0,3.654736070E0
3.169631375E0,-9.739999473E-4,9.048145223E-1,3.840958194E0
3.179584375E0,2.177375201E-1,5.811921859E-1,3.780062367E0
3.189538375E0,2.960356115E-1,4.102207696E-1,3.760536175E0
3.199492375E0,1.907237493E-2,5.214511836E-1,3.786719422E0
3.209445375E0,-3.565162135E-1,5.315159959E-1,3.720436555E0
3.219399375E0,-6.911085843E-1,2.990821570E-1,3.622079955E0
3.229352375E0,-1.016267569E0,8.862917125E-2,3.373908920E0
3.239306375E0,-1.128335085E0,-7.373017341E-2,3.120680628E0
3.249260375E0,-1.225643132E0,-2.693098891E-1,2.972234441E0
3.259213375E0,-1.187585725E0,-4.655243200E-1,2.656003570E0
3.269167375E0,-1.006233966E0,-6.293738276E-1,2.277735495E0
3.279120375E0,-8.037682039E-1,-7.153647351E-1,1.825677897E0
3.289074375E0,-6.469460993E-1,-7.396426669E-1,1.452532568E0
3.299028375E0,-5.257018170E-1,-7.013463280E-1,1.272264079E0
3.308981375E0,-2.810904937E-1,-5.017545453E-1,8.768291634E-1
3.318935375E0,-2.267730397E-1,-1.455719885E0,4.940107852E-1
3.328888375E0,-1.467167637E-1,-1.678077217E0,3.777552742E-1
3.338842375E0,-2.196751412E-2,-1.468946579E0,-3.939286727E-1
3.348796375E0,-2.031755777E-1,-1.647947685E0,-1.209811138E0
3.358749375E0,-4.892924476E-2,-1.171467729E0,-1.734053198E0
3.368703375E0,2.012545846E-2,-5.716942611E-1,-2.295811577E0
3.378656375E0,-3.281656960E-1,-7.792338717E-1,-2.857599778E0
3.388610375E0,-4.903079628E-1,-1.071181549E0,-3.295855608E0
3.398563375E0,-3.464046235E-1,-9.361102822E-1,-3.754967871E0
3.408517375E0,-4.197700037E-1,-6.018442592E-1,-3.861329309E0
3.418471375E0,-4.667201487E-1,-5.170678183E-1,-3.753201427E0
3.428424375E0,-3.014776151E-1,-6.353479278E-1,-3.623637069E0
3.438378375E0,-4.020316162E-2,-8.322298184E-1,-3.740224702E0
3.448331375E0,6.661595749E-3,-9.337784126E-1,-3.959770108E0
3.458285375E0,-1.524537593E-1,-8.350949541E-1,-4.050585553E0
3.468239375E0,-3.997297684E-1,-5.347629547E-1,-4.038348500E0
3.478192375E0,-5.039059186E-1,-1.875257608E-1,-4.050637593E0
3.488146375E0,-5.238477380E-1,8.940305024E-2,-3.863895652E0
3.498099375E0,-4.213266787E-1,2.633521610E-1,-3.448384321E0
3.508053375E0,-2.315625672E-1,2.149009627E-1,-2.944940808E0
3.518007375E0,-1.161234553E-1,2.647443831E-2,-2.349991878E0
3.527960375E0,-3.691127971E-3,-1.718514222E-1,-1.780742045E0
3.537914375E0,1.088448961E-1,-3.404357126E-1,-1.242395917E0
3.547867375E0,2.333069743E-1,-4.618306339E-1,-7.383483857E-1
3.557821375E0,3.151956581E-1,-5.080815250E-1,-2.855101848E-1
3.567775375E0,2.388399387E-1,-6.085931155E-1,-9.245851278E-2
3.577728375E0,1.054794580E-1,-7.620126522E-1,-5.056496680E-2
3.587682375E0,3.297540191E-1,-3.340777427E-2,4.467301995E-1
3.597635375E0,1.316764277E-1,4.773503137E-1,5.221920258E-1
3.607589375E0,-3.699067759E-1,6.515692735E-1,2.376051164E-1
3.617542375E0,-4.676067328E-1,6.694474277E-1,6.636648238E-2
3.627496375E0,1.161788760E-2,6.212909290E-1,9.336740398E-1
3.637450375E0,9.173766073E-2,7.906312644E-1,1.674868850E0
3.647403375E0,1.357898800E-1,8.621044126E-1,1.552394825E0
3.657357375E0,6.914377277E-2,8.064403814E-1,1.569966878E0
3.667310375E0,2.938255101E-2,7.156646973E-1,1.855854208E0
3.677264375E0,1.074906444E-1,7.406194443E-1,2.072000628E0
3.687218375E0,3.090765104E-1,7.556058580E-1,2.263646044E0
3.697171375E0,5.704275350E-1,6.560365462E-1,2.479595413E0
3.707125375E0,7.122473652E-1,5.158621225E-1,2.665179021E0
3.717078375E0,7.489852019E-1,3.970505011E-1,2.768907457E0
3.727032375E0,8.308087988E-1,2.038739911E-1,2.907620369E0
3.736986375E0,7.752590807E-1,7.799834847E-2,3.148019870E0
3.746939375E0,6.239169867E-1,2.453088230E-1,3.466148747E0
3.756893375E0,4.623495743E-1,6.529667580E-1,3.898018248E0
3.766846375E0,4.815172588E-1,9.166080639E-1,4.196229170E0
3.776800375E0,7.588918470E-1,8.097458124E-1,4.436307659E0
3.786754375E0,1.068442567E0,2.647546157E-1,4.376297100E0
3.796707375E0,1.210896600E0,-5.469421202E-1,3.910648234E0
3.806661375E0,1.205139870E0,-1.291799042E0,3.339307437E0
3.816614375E0,1.248735760E0,-1.713947546E0,3.105153347E0
3.826568375E0,1.314400284E0,-1.715036883E0,3.000133846E0
3.836521375E0,1.267788474E0,-1.402521771E0,2.545117557E0
3.846475375E0,1.080673041E0,-9.934733681E-1,2.004060075E0
3.856429375E0,8.769110245E-1,-6.237682481E-1,1.465665999E0
3.866382375E0,6.933868057E-1,-3.763649525E-1,8.823986363E-1
3.876336375E0,5.705194093E-1,-2.406906921E-1,3.020648217E-1
3.886289375E0,4.918651494E-1,-1.324100523E-1,-3.377486247E-1
