"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012311.346,"2024-12-12 15:05:11.346 UTC+01:00"
"PAUSE",1.690729953E1,1734012328.254,"2024-12-12 15:05:28.254 UTC+01:00"
