"event","experiment time","system time","system time text"
"START",0.000000000E0,1734011348.505,"2024-12-12 14:49:08.505 UTC+01:00"
"PAUSE",1.860783550E1,1734011367.112,"2024-12-12 14:49:27.112 UTC+01:00"
