"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012783.994,"2024-12-12 15:13:03.994 UTC+01:00"
"PAUSE",1.947526687E1,1734012803.469,"2024-12-12 15:13:23.469 UTC+01:00"
