"event","experiment time","system time","system time text"
"START",0.000000000E0,1734350716.217,"2024-12-16 13:05:16.217 UTC+01:00"
"PAUSE",1.344148772E1,1734350729.659,"2024-12-16 13:05:29.659 UTC+01:00"
