"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.227965400E-2,-6.841690838E-2,-7.649559975E-1,-9.095783234E-1
4.227965400E-2,-1.490511149E-1,-8.142833710E-1,-1.211193085E0
5.227965400E-2,-3.075706363E-1,-9.283624291E-1,-1.520138144E0
6.227965400E-2,-4.845688641E-1,-1.028697014E0,-1.706910253E0
7.227965400E-2,-7.713701129E-1,-1.158047795E0,-1.798692703E0
8.227965400E-2,-1.081536889E0,-1.200655699E0,-1.745394707E0
9.227965400E-2,-1.322675943E0,-1.181107998E0,-1.621389031E0
1.022796540E-1,-1.621083617E0,-1.122312188E0,-1.391398311E0
1.122796540E-1,-1.963626385E0,-9.891435504E-1,-1.121243119E0
1.222796540E-1,-2.277000189E0,-8.706356883E-1,-8.217664957E-1
1.322796540E-1,-2.476905823E0,-3.787364662E-1,-6.829473376E-1
1.422796540E-1,-2.504242182E0,-1.695151068E-2,-5.250386596E-1
1.522796540E-1,-2.364506721E0,-5.677992702E-1,-3.672827184E-1
1.622796540E-1,-2.152689219E0,-1.272279620E0,-3.371976018E-1
1.722796540E-1,-1.931097746E0,-1.645823717E0,-3.481931984E-1
1.822796540E-1,-1.694234729E0,-1.419345379E0,-3.371976018E-1
1.922796540E-1,-1.503339410E0,-1.291369081E0,-3.335324228E-1
2.022796540E-1,-1.375668526E0,-1.120937705E0,-3.410155177E-1
2.122796540E-1,-1.300226688E0,-1.125824690E0,-3.750712574E-1
2.222796540E-1,-1.371697903E0,-1.538464069E0,-3.938553631E-1
2.322796540E-1,-1.459357023E0,-1.697747231E0,-3.289509416E-1
2.422796540E-1,-1.619403720E0,-1.503797531E0,-7.208210230E-2
2.522796540E-1,-1.698510766E0,-1.218065262E0,4.021020532E-1
2.622796540E-1,-1.613447785E0,-7.690793276E-1,8.234463334E-1
2.722796540E-1,-1.455386400E0,2.270891517E-1,1.085202098E0
2.822796540E-1,-1.011592865E0,4.706716835E-1,1.082911372E0
2.922796540E-1,-4.787656367E-1,6.325509548E-1,9.688322544E-1
3.022796540E-1,-1.078177169E-1,8.237518072E-1,9.017898440E-1
3.122796540E-1,2.716823220E-1,9.224064946E-1,8.327620625E-1
3.222796540E-1,5.516113043E-1,9.285151958E-1,7.648032904E-1
3.322796540E-1,6.829473376E-1,1.017243385E0,7.293730974E-1
3.422796540E-1,7.704538107E-1,1.233947754E0,7.144069076E-1
3.522796540E-1,8.019133210E-1,1.619709253E0,7.075346708E-1
3.622796540E-1,8.005388975E-1,1.885130167E0,7.191411257E-1
3.722796540E-1,8.148942590E-1,2.064113617E0,7.418958545E-1
3.822796540E-1,8.452847600E-1,2.047009468E0,7.602217793E-1
3.922796540E-1,9.074403048E-1,1.834122896E0,7.754934430E-1
4.022796540E-1,9.961684942E-1,1.612836957E0,8.092437387E-1
4.122796540E-1,1.151786447E0,1.280831695E0,8.846855760E-1
4.222796540E-1,1.324355841E0,8.856018782E-1,1.001971722E0
4.322796540E-1,1.373072386E0,3.724750876E-1,1.127657294E0
4.422796540E-1,1.094670534E0,-6.094908118E-1,1.297935963E0
4.522796540E-1,5.960517526E-1,-1.494176388E0,1.446834326E0
4.622796540E-1,1.838704348E-1,-1.780214071E0,1.537089705E0
4.722796540E-1,-9.346238524E-2,-1.878868818E0,1.541671157E0
