"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.596829400E-2,-6.258427620E0,5.944967747E0,7.807780266E0
3.596829400E-2,-5.859424591E0,5.210371494E0,7.909475327E0
4.596829400E-2,-5.129015446E0,4.060619831E0,7.896314621E0
5.596829400E-2,-4.999204636E0,3.926621914E0,7.755138397E0
6.596829400E-2,-5.416153908E0,4.436891556E0,7.648657799E0
7.596829400E-2,-5.659623623E0,4.712664127E0,7.301698208E0
8.596829400E-2,-5.912664890E0,4.749154568E0,7.060023308E0
9.596829400E-2,-6.041278839E0,4.610371113E0,7.144968510E0
1.059682940E-1,-6.241079807E0,4.231706619E0,7.157530785E0
1.159682940E-1,-5.500501156E0,3.963112593E0,7.520043373E0
1.259682940E-1,-4.820939541E0,3.117249727E0,6.737590313E0
1.359682940E-1,-4.425525665E0,2.723630428E0,7.515855789E0
1.459682940E-1,-4.348955154E0,3.061616659E0,1.128694439E1
1.559682940E-1,-4.306482315E0,2.592623234E0,1.313061428E1
1.659682940E-1,-4.410570145E0,1.030110121E0,1.159561825E1
1.759682940E-1,-5.378467083E0,1.559522152E0,1.035673428E1
1.859682940E-1,-3.999603033E0,1.926222205E0,9.574879646E0
1.959682940E-1,-4.076173306E0,1.749153376E0,9.602995872E0
2.059682940E-1,-3.748954773E0,1.014556766E0,9.813564301E0
2.159682940E-1,-3.121437073E0,-5.324030295E-2,1.034297562E1
2.259682940E-1,-3.734597921E0,1.028913707E-1,1.053619671E1
2.359682940E-1,-3.422932863E0,8.781659007E-1,8.223533630E0
2.459682940E-1,-3.716651678E0,1.537388563E0,8.261817932E0
2.559682940E-1,-3.640081406E0,2.365903378E0,8.848059654E0
2.659682940E-1,-3.413959742E0,1.272383451E0,6.757331371E0
2.759682940E-1,-3.064607620E0,3.882354796E-1,8.806185722E0
2.859682940E-1,-2.000399828E0,5.886343718E-1,9.052047729E0
2.959682940E-1,-1.730608940E0,8.321040869E-1,8.333602905E0
3.059682940E-1,-2.109871387E0,1.986042857E-1,7.996813297E0
3.159682940E-1,-2.245664120E0,-4.905286431E-1,7.853243828E0
3.259682940E-1,-2.481357098E0,-8.129615188E-1,7.187440872E0
3.359682940E-1,-2.870190859E0,-1.012163997E0,6.491129398E0
3.459682940E-1,-2.801397085E0,-8.697910309E-1,5.780461311E0
3.559682940E-1,-2.868396044E0,-7.651050687E-1,5.688935757E0
3.659682940E-1,-3.285345554E0,-6.418746710E-1,5.960521221E0
3.759682940E-1,-3.683750391E0,-3.942175210E-1,6.132206440E0
3.859682940E-1,-3.876372576E0,-1.268195957E-1,6.287141323E0
3.959682940E-1,-4.322035789E0,1.872383654E-1,6.305087566E0
4.059682940E-1,-4.496113777E0,5.790630579E-1,6.436094761E0
4.159682940E-1,-4.620540619E0,7.220342159E-1,6.443871498E0
4.259682940E-1,-4.904688358E0,7.555337548E-1,6.850651264E0
4.359682940E-1,-4.897509575E0,9.002995491E-1,7.494918823E0
4.459682940E-1,-4.201198578E0,1.106082320E0,6.490531445E0
4.559682940E-1,-3.665206194E0,1.395613790E0,4.668396950E0
4.659682940E-1,-3.797409534E0,1.246660590E0,4.395017147E0
4.759682940E-1,-3.967299938E0,1.232901812E0,5.056632519E0
4.859682940E-1,-3.281157970E0,1.413560033E0,5.574678421E0
4.959682940E-1,-2.289333105E0,1.599601984E0,6.058627129E0
5.059682940E-1,-9.810572863E-1,1.643869162E0,6.646663189E0
5.159682940E-1,-8.315058947E-1,1.565504193E0,7.651050568E0
5.259682940E-1,-8.063812256E-1,1.557727575E0,8.557929993E0
5.359682940E-1,-4.277170599E-1,1.459023595E0,8.476573944E0
5.459682940E-1,-3.888336942E-2,1.521237016E0,7.860422611E0
