"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.734356097426210E9,"2024-12-16 14:34:57.426 UTC+01:00"
"PAUSE",1.476614237501053E1,1.734356112192326E9,"2024-12-16 14:35:12.192 UTC+01:00"
