"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.699844330E-1,4.292092025E-1,-3.700316250E-1,-1.941864252E0
7.799844330E-1,4.182136059E-1,-4.909829497E-1,-2.062815666E0
7.899844330E-1,4.340961277E-1,-6.143777370E-1,-2.175214767E0
7.999844330E-1,4.505894780E-1,-6.937901974E-1,-2.266844511E0
8.099844330E-1,4.371504486E-1,-7.133378983E-1,-2.336483240E0
8.199844330E-1,3.980550766E-1,-6.675229669E-1,-2.368248224E0
8.299844330E-1,3.546836376E-1,-5.887213945E-1,-2.337094069E0
8.399844330E-1,3.296381533E-1,-5.227479339E-1,-2.254016399E0
8.499844330E-1,3.308598995E-1,-4.048509300E-1,-2.102521896E0
8.599844330E-1,3.455206454E-1,-3.443752825E-1,-2.028607130E0
8.699844330E-1,3.455206454E-1,-3.016147017E-1,-2.015779018E0
8.799843990E-1,3.100904822E-1,-2.875648141E-1,-2.064037323E0
8.899844320E-1,2.361757755E-1,-2.814561725E-1,-2.130621672E0
8.999847980E-1,1.549306959E-1,-2.399173230E-1,-2.195984125E0
9.099847980E-1,1.121701300E-1,-1.922698319E-1,-2.215531826E0
9.199847980E-1,1.188896447E-1,-1.183551401E-1,-2.156888723E0
9.299847980E-1,1.757001132E-1,-1.511891466E-2,-2.060372114E0
9.399847640E-1,2.752711475E-1,1.481348183E-2,-1.973629236E0
9.499847300E-1,3.510184288E-1,-3.711006418E-2,-1.934533834E0
9.599847300E-1,3.681226671E-1,-1.079704314E-1,-1.952859879E0
9.699847300E-1,3.510184288E-1,-1.586722434E-1,-1.982181311E0
9.799847300E-1,3.076470196E-1,-2.356412709E-1,-1.955914140E0
9.899847300E-1,2.483930737E-1,-3.162754774E-1,-1.885053754E0
9.999847300E-1,2.001347244E-1,-3.193297982E-1,-1.809306502E0
1.009984730E0,1.860848218E-1,-2.832887471E-1,-1.781817555E0
1.019984730E0,1.921934783E-1,-2.503020465E-1,-1.792813182E0
1.029984730E0,2.361757755E-1,-2.674062550E-1,-1.868560433E0
1.039984730E0,2.703842223E-1,-3.437644243E-1,-2.012113810E0
1.049984730E0,2.648864388E-1,-4.079052806E-1,-2.194151640E0
1.059984730E0,2.557234764E-1,-4.372268021E-1,-2.340759277E0
1.069984730E0,2.654972970E-1,-3.883575797E-1,-2.417117357E0
1.079984730E0,2.838232517E-1,-3.052799106E-1,-2.422004223E0
1.089984730E0,3.247512281E-1,-2.625193298E-1,-2.367637396E0
1.099984730E0,3.711769879E-1,-2.515237629E-1,-2.268066406E0
1.109984730E0,3.919464052E-1,-2.753475010E-1,-2.142228127E0
1.119984730E0,3.424663246E-1,-3.046690524E-1,-1.988900900E0
1.129984730E0,2.502256632E-1,-3.010038435E-1,-1.836184621E0
1.139984763E0,1.915826052E-1,-1.183551401E-1,-1.706070304E0
1.149984763E0,1.439351290E-1,-5.345070735E-3,-1.607720971E0
1.159984763E0,1.017854214E-1,7.040221989E-2,-1.436678648E0
1.169984763E0,6.757696718E-2,3.558290005E-2,-1.294347048E0
1.179984763E0,7.124216110E-2,-2.244929783E-2,-1.249143124E0
1.189984729E0,1.060614809E-1,-7.437284291E-2,-1.299844861E0
1.199984362E0,1.909717470E-1,-3.083342314E-1,-1.354822755E0
1.209984362E0,2.239584774E-1,-4.066835344E-1,-1.435456991E0
1.219984362E0,2.557234764E-1,-5.294674635E-1,-1.520978093E0
1.229984195E0,2.520582676E-1,-5.630650520E-1,-1.566182137E0
1.239984195E0,2.184606791E-1,-5.093088746E-1,-1.553353906E0
1.249984195E0,1.714240611E-1,-4.103487432E-1,-1.482493639E0
1.259984195E0,1.158353239E-1,-2.289217561E-1,-1.370094419E0
1.269984195E0,8.040513843E-2,9.926560335E-3,-1.241201878E0
1.279984195E0,7.918340713E-2,2.170098722E-1,-1.122694016E0
1.289984195E0,1.219439730E-1,3.752239645E-1,-1.018846869E0
1.299984195E0,1.500437707E-1,3.171917796E-1,-9.938014150E-1
1.309984195E0,1.561524272E-1,1.424843222E-1,-1.001131773E0
1.319984195E0,1.268308908E-1,-8.048149943E-2,-1.007851243E0
1.329984228E0,9.140071273E-2,-3.828597963E-1,-9.748646021E-1
1.339984228E0,3.764457256E-2,-5.624541640E-1,-8.826239109E-1
1.349984228E0,-1.122464892E-2,-5.673410892E-1,-7.176902890E-1
1.359984228E0,-5.948300287E-2,-4.567744732E-1,-4.996114075E-1
1.369984228E0,-8.269587904E-2,-2.747366428E-1,-2.913063765E-1
1.379984228E0,-7.780896127E-2,-2.050980031E-1,-1.679115891E-1
1.389984228E0,-7.292203605E-2,-1.867720485E-1,-1.098793894E-1
1.399984228E0,-6.314819306E-2,-1.904372424E-1,-7.017314434E-2
1.409984228E0,-4.726569727E-2,-1.727221459E-1,6.604980677E-2
