"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.874868100E-1,-4.237877727E-1,2.596177394E-3,4.734205548E-3
1.896054530E-1,-4.285219610E-1,3.817907767E-3,4.581489135E-3
1.917220000E-1,-4.321871698E-1,3.817907767E-3,4.581489135E-3
1.938597250E-1,-4.358523488E-1,3.817907767E-3,5.803219974E-3
1.959863930E-1,-4.382958114E-1,2.596177394E-3,5.803219974E-3
1.981140690E-1,-4.407392740E-1,3.817907767E-3,4.581489135E-3
2.002366790E-1,-4.419609904E-1,2.596177394E-3,5.803219974E-3
2.023625330E-1,-4.456261992E-1,6.261368748E-3,7.024950348E-3
2.044893540E-1,-4.492913783E-1,3.817907767E-3,7.024950348E-3
2.066142620E-1,-4.517348409E-1,2.596177394E-3,5.803219974E-3
2.087396190E-1,-4.529565871E-1,2.596177394E-3,4.581489135E-3
2.108651580E-1,-4.529565871E-1,1.374446787E-3,5.803219974E-3
2.129910120E-1,-4.541783035E-1,1.374446787E-3,5.803219974E-3
2.151169680E-1,-4.554000497E-1,1.527163113E-4,7.024950348E-3
2.172429250E-1,-4.541783035E-1,1.374446787E-3,5.803219974E-3
2.193684440E-1,-4.541783035E-1,1.527163113E-4,7.024950348E-3
2.214949500E-1,-4.529565871E-1,1.527163113E-4,5.803219974E-3
2.236196540E-1,-4.505131245E-1,1.527163113E-4,5.803219974E-3
2.257454980E-1,-4.492913783E-1,1.527163113E-4,5.803219974E-3
2.278709160E-1,-4.468479156E-1,2.596177394E-3,7.024950348E-3
2.299968210E-1,-4.444044530E-1,2.596177394E-3,9.468411095E-3
2.321226050E-1,-4.419609904E-1,5.039638374E-3,1.069014147E-2
2.342482350E-1,-4.370740950E-1,3.817907767E-3,1.069014147E-2
2.363742840E-1,-4.370740950E-1,5.039638374E-3,9.468411095E-3
2.385008700E-1,-4.309654236E-1,5.039638374E-3,8.246680722E-3
2.406228390E-1,-4.297437072E-1,7.483099122E-3,7.024950348E-3
2.427387640E-1,-4.225660264E-1,9.926560335E-3,7.024950348E-3
2.448760030E-1,-4.176791012E-1,1.114829071E-2,8.246680722E-3
2.469999650E-1,-4.127921760E-1,9.926560335E-3,9.621127509E-3
2.491316190E-1,-4.030183554E-1,1.481348183E-2,1.206458826E-2
2.512539940E-1,-3.921754956E-1,2.092213556E-2,1.450804994E-2
2.533807530E-1,-3.775147200E-1,3.909537569E-2,1.679879427E-2
2.555066280E-1,-3.593414724E-1,7.574728876E-2,2.412917651E-2
2.576315980E-1,-3.399465084E-1,1.389718503E-1,3.619376570E-2
2.597569030E-1,-3.352122903E-1,2.182316035E-1,5.314527452E-2
2.618796450E-1,-3.413209617E-1,2.851213515E-1,8.109235764E-2
2.639972390E-1,-3.414736688E-1,3.546072841E-1,1.163698286E-1
2.661342130E-1,-3.330742717E-1,4.398229718E-1,1.453859210E-1
2.682598940E-1,-3.222314119E-1,5.360342264E-1,1.733330190E-1
2.703886270E-1,-3.138320148E-1,6.261368990E-1,2.035708427E-1
2.725122940E-1,-3.029891551E-1,7.066183686E-1,2.351831198E-1
2.746372840E-1,-2.970332205E-1,7.881689072E-1,2.606867552E-1
2.767627830E-1,-2.910772860E-1,8.588765264E-1,2.837468982E-1
2.788882920E-1,-2.838996351E-1,9.100365043E-1,3.019201458E-1
2.810155910E-1,-2.693915665E-1,9.416487813E-1,3.127630055E-1
