"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.933985000E-2,6.841690838E-2,-1.125519201E-1,1.434769779E-1
3.346096400E-2,6.841690838E-2,-1.125519201E-1,1.434769779E-1
4.346096400E-2,6.841690838E-2,-1.125519201E-1,1.434769779E-1
5.346096400E-2,6.841690838E-2,-1.125519201E-1,1.434769779E-1
6.346096400E-2,-7.599163651E-1,4.627304152E-2,4.690681398E-1
7.346096400E-2,-8.417723179E-1,-2.481640130E-1,4.770093858E-1
8.346096400E-2,-8.973610401E-1,-4.344778955E-1,4.403574765E-1
9.346096400E-2,-9.456194043E-1,-5.462662578E-1,4.232532680E-1
1.034609640E-1,-1.034194827E0,-7.258606553E-1,3.652210534E-1
1.134609640E-1,-1.036027431E0,-9.030115604E-1,2.943606973E-1
1.234609640E-1,-9.321803451E-1,-1.098488450E0,2.100612819E-1
1.334609640E-1,-7.061602473E-1,-1.323286891E0,1.202640980E-1
1.434609640E-1,-3.976732790E-1,-1.601230502E0,2.496911772E-2
1.534609640E-1,-9.040805697E-2,-1.932319522E0,-6.543894112E-2
1.634609640E-1,9.834930301E-2,-2.361146927E0,-8.315403014E-2
1.734609640E-1,1.392772794E-1,-2.778367758E0,-3.917173296E-2
1.834609640E-1,5.864306539E-2,-3.024546623E0,3.779728711E-2
1.934609640E-1,-1.282816976E-1,-3.077080965E0,1.440878361E-1
2.034609640E-1,-3.775147200E-1,-3.037374735E0,2.467132062E-1
2.134609640E-1,-6.017022729E-1,-2.992170572E0,3.310126066E-1
2.234609640E-1,-7.232644558E-1,-3.014161825E0,4.324162304E-1
2.334609640E-1,-7.128797174E-1,-3.187647581E0,5.564218760E-1
2.434609640E-1,-6.218608022E-1,-3.433826208E0,6.633232832E-1
2.534609640E-1,-4.844161272E-1,-3.543781996E0,7.806094289E-1
2.634609640E-1,-4.581489265E-1,-3.466202021E0,8.447502851E-1
2.734609640E-1,-4.831944108E-1,-3.397785187E0,9.339365959E-1
2.834609640E-1,-5.125159621E-1,-3.341585636E0,1.040838003E0
2.934609640E-1,-4.996877611E-1,-3.335476875E0,1.163621902E0
3.034609640E-1,-4.453207552E-1,-3.427717686E0,1.314505696E0
3.134609640E-1,-3.988949955E-1,-3.514460564E0,1.489213109E0
3.234609640E-1,-4.196644127E-1,-3.556610107E0,1.681024790E0
3.334613300E-1,-5.503895879E-1,-3.561497211E0,1.891773343E0
3.434613300E-1,-7.935139537E-1,-3.507130146E0,2.089693546E0
3.534613300E-1,-1.076344609E0,-3.408780813E0,2.248518705E0
3.634613300E-1,-1.304197311E0,-3.172986746E0,2.378633022E0
3.734613300E-1,-1.412320495E0,-2.960405588E0,2.478814840E0
3.834613300E-1,-1.368949056E0,-2.875495434E0,2.566168547E0
3.934613300E-1,-1.180191636E0,-2.755765915E0,2.644970179E0
4.034613300E-1,-8.643743396E-1,-2.446667910E0,2.713997841E0
4.134613300E-1,-7.941248417E-1,-2.127185583E0,2.753093243E0
4.234613300E-1,-8.662069440E-1,-1.786322713E0,2.775695324E0
4.334613300E-1,-1.042747021E0,-1.545641780E0,2.779360533E0
4.434613300E-1,-1.243110776E0,-1.457677245E0,2.770808458E0
4.534613300E-1,-1.404379249E0,-1.507768154E0,2.750649929E0
4.634613300E-1,-1.478293896E0,-1.653154016E0,2.746984720E0
4.734613300E-1,-1.461189628E0,-1.809535623E0,2.773251772E0
4.834613300E-1,-1.396438003E0,-1.851074457E0,2.816623211E0
4.934613300E-1,-1.350012183E0,-1.664760470E0,2.881375074E0
5.034613300E-1,-1.356120825E0,-1.320843339E0,2.947959423E0
5.134613300E-1,-1.370781660E0,-9.567676783E-1,2.986443758E0
5.234613300E-1,-1.362840414E0,-7.069237828E-1,2.970561266E0
5.334613300E-1,-1.339016676E0,-5.841398835E-1,2.915583372E0
5.434613300E-1,-1.309695125E0,-5.419901609E-1,2.841668844E0
5.534613300E-1,-1.273653984E0,-6.519459486E-1,2.759812832E0
5.634613300E-1,-1.279762745E0,-7.753407359E-1,2.776306152E0
5.734613300E-1,-1.329242826E0,-8.254316449E-1,2.838614464E0
5.834613300E-1,-1.426981211E0,-7.985535860E-1,2.908864021E0
