"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.995983333E-1,-1.597028961E0,-9.994715881E-1,1.074241104E1
8.095523333E-1,-1.636247406E0,-4.578977966E-1,1.126063339E1
8.195063333E-1,-1.525028687E0,3.668870544E-1,1.151480484E1
8.294593333E-1,-1.316661987E0,9.388476562E-1,1.100376755E1
8.394133333E-1,-1.038839722E0,8.936416626E-1,9.868528290E0
8.493673333E-1,-6.759942627E-1,3.342549133E-1,8.823701019E0
8.593213333E-1,-4.206253052E-1,-5.710624695E-1,7.843988342E0
8.692753333E-1,-4.812492371E-1,-1.570983124E0,7.143295441E0
8.792283333E-1,-7.267387390E-1,-2.217488708E0,6.654561768E0
8.891823333E-1,-8.428971863E-1,-2.356399841E0,6.356232147E0
8.991363333E-1,-8.479866028E-1,-2.274520111E0,6.526877289E0
9.090903333E-1,-6.533912659E-1,-1.891466675E0,6.596632233E0
9.190433333E-1,-4.405339050E-1,-1.024619293E0,6.084547119E0
9.289973333E-1,-4.468208313E-1,5.224136353E-2,5.703739014E0
9.389513333E-1,-4.740641785E-1,8.476872253E-1,5.427862701E0
9.489053333E-1,-4.773573303E-1,1.240320740E0,5.104834442E0
9.588583333E-1,-3.095562744E-1,1.227896576E0,4.591701508E0
9.688123333E-1,-2.089654541E-1,9.487271118E-1,4.034560089E0
9.787663333E-1,2.694396973E-3,7.711962891E-1,3.733536072E0
9.887202083E-1,5.718109131E-2,6.800358582E-1,3.535647583E0
9.986742083E-1,5.987548828E-4,3.534150696E-1,3.540587311E0
1.008627208E0,-2.448907471E-1,-5.658233643E-2,4.204606476E0
1.018581208E0,-3.876937866E-2,1.218466187E-1,5.581742706E0
1.028535208E0,6.987469482E-1,1.257984009E0,7.069349213E0
1.038489208E0,1.153351593E0,2.347867584E0,7.715555420E0
1.048442208E0,1.236877899E0,2.898572388E0,8.327033844E0
1.058396208E0,7.890092468E-1,2.723286896E0,9.107211456E0
1.068350208E0,-3.385958862E-1,2.506088562E0,8.856183472E0
1.078304208E0,-5.436694336E-1,2.389481049E0,8.951235809E0
1.088257208E0,6.765930176E-2,2.450853424E0,9.364676056E0
1.098211208E0,6.993457031E-1,2.490221558E0,9.541009369E0
1.108165208E0,1.093027039E0,2.228266296E0,9.749376068E0
1.118119208E0,1.173409882E0,1.990859985E0,1.011416748E1
1.128072208E0,1.040186920E0,1.783690796E0,1.101215012E1
1.138026208E0,1.147663422E0,1.696122894E0,1.225037521E1
1.147980208E0,1.302890625E0,2.044598236E0,1.252924530E1
1.157934208E0,9.782157898E-1,2.225871277E0,1.267938309E1
1.167888208E0,7.198530579E-1,2.123035126E0,1.331077011E1
1.177841208E0,6.834786987E-1,2.252366180E0,1.374591522E1
1.187795208E0,6.363267517E-1,2.023043060E0,1.345207626E1
1.197749208E0,1.065634003E0,1.028062134E0,1.355131989E1
1.207703208E0,1.509461060E0,8.418493652E-1,1.333921097E1
1.217656208E0,1.582509155E0,1.221459961E0,1.309297302E1
1.227610208E0,1.560654602E0,1.431473236E0,1.358200607E1
1.237564208E0,1.862726440E0,1.777403870E0,1.365235977E1
1.247518208E0,2.159409485E0,1.403032379E0,1.452085373E1
1.257471208E0,2.268382874E0,1.242566071E0,1.489791962E1
1.267425208E0,2.510878601E0,1.512305145E0,1.441203003E1
1.277379208E0,2.550246735E0,1.586999817E0,1.399918854E1
1.287333208E0,2.316283264E0,1.442849579E0,1.404095169E1
1.297287208E0,2.125879211E0,1.444645844E0,1.360550720E1
1.307240208E0,2.195933533E0,1.504521332E0,1.286050644E1
1.317194208E0,2.283052368E0,1.544787598E0,1.270333328E1
1.327148208E0,2.113754425E0,9.186396790E-1,1.286080582E1
1.337102208E0,2.445015564E0,1.138532410E0,1.201177139E1
1.347055208E0,3.141068115E0,1.990261230E0,1.139924515E1
1.357009208E0,3.512296143E0,2.296524353E0,1.150986511E1
1.366963208E0,3.180136871E0,2.299069061E0,1.087967560E1
1.376917208E0,2.534379730E0,2.301164703E0,1.021371048E1
1.386870208E0,2.237996063E0,1.970352631E0,9.843081207E0
1.396824208E0,2.133064270E0,1.686991882E0,9.335935822E0
1.406778208E0,2.108964386E0,1.319805450E0,8.584348755E0
1.416732208E0,1.806892548E0,1.147214355E0,7.985893250E0
1.426685208E0,1.513951721E0,1.350791016E0,7.648494873E0
1.436639208E0,2.400857391E0,2.009421387E0,7.795938263E0
1.446593208E0,2.770139465E0,1.850601654E0,6.290818176E0
1.456547208E0,1.401984558E0,9.660910034E-1,5.513035583E0
1.466501208E0,4.288581848E-1,6.599775696E-1,6.009253693E0
1.476454208E0,3.218307495E-1,1.762285309E0,5.304219818E0
1.486408208E0,3.617976379E-1,2.727478180E0,4.903203735E0
1.496362208E0,1.895059204E-1,2.911295929E0,5.178481293E0
1.506316208E0,-3.143463135E-2,2.744093628E0,5.210814056E0
1.516269208E0,1.053808594E-1,2.603236542E0,4.653073883E0
1.526223208E0,3.147953796E-1,2.716850281E0,4.374503174E0
1.536177208E0,2.739303589E-1,2.977757721E0,4.551135864E0
1.546131208E0,-4.370910645E-2,3.216361542E0,4.635410614E0
1.556084208E0,-6.990463257E-2,3.351380768E0,4.637955322E0
1.566038208E0,4.131408691E-2,3.403023376E0,4.624932404E0
1.575992208E0,1.654060364E-1,2.888992310E0,4.615651703E0
1.585946208E0,-9.131011963E-3,2.606978760E0,4.641697540E0
1.595900208E0,-1.793270874E-1,2.997067566E0,4.407434692E0
1.605853208E0,-3.796105957E-1,3.450025635E0,4.799020386E0
1.615807208E0,-6.607260132E-1,4.014501801E0,5.195096741E0
1.625761208E0,-9.906399536E-1,4.709955597E0,5.314548340E0
1.635715208E0,-1.199006653E0,5.289999390E0,6.014043732E0
1.645668208E0,-6.849755859E-1,4.344864807E0,6.874005432E0
1.655622208E0,-6.755451965E-1,3.483256531E0,6.812932434E0
1.665576208E0,-7.664062500E-1,3.306474152E0,6.596931610E0
1.675530208E0,-5.221142578E-1,3.479963379E0,7.270081787E0
1.685484208E0,-2.773731995E-1,3.671564941E0,8.141270142E0
1.695437208E0,-2.198927307E-1,3.578009491E0,8.688831482E0
1.705391208E0,-3.427871704E-2,3.364253998E0,9.494156799E0
1.715345208E0,2.724334717E-1,3.419339447E0,1.076127182E1
1.725299208E0,3.858975220E-1,3.365451508E0,1.186627396E1
1.735252208E0,4.108955383E-1,3.129093018E0,1.308414139E1
1.745206208E0,6.911128235E-1,2.719993744E0,1.399275192E1
1.755160208E0,1.022972717E0,2.018851776E0,1.415965485E1
1.765114208E0,1.158141632E0,2.435884552E0,1.405172928E1
1.775068208E0,9.220825195E-1,3.515888672E0,1.441083252E1
1.785021208E0,7.206015015E-1,3.841761017E0,1.415935547E1
1.794975208E0,4.194277954E-1,3.791615295E0,1.377181137E1
1.804929208E0,2.981799316E-1,3.685336304E0,1.381537079E1
1.814883208E0,3.351530457E-1,3.488495636E0,1.404738831E1
1.824836208E0,3.908372498E-1,3.195105743E0,1.408391235E1
1.834790208E0,4.604425049E-1,2.846331024E0,1.402343811E1
1.844744208E0,4.703219604E-1,2.572849731E0,1.411175446E1
1.854698208E0,3.844006348E-1,2.362237701E0,1.410726379E1
1.864651208E0,2.160008240E-1,2.110461273E0,1.390907593E1
1.874605208E0,2.649490356E-1,2.048639832E0,1.361164444E1
1.884559208E0,6.427633667E-1,2.219135284E0,1.342064163E1
1.894513208E0,9.842033386E-1,2.335293732E0,1.310704376E1
1.904467208E0,1.383123779E0,2.499801636E0,1.284164566E1
1.914420208E0,1.853595428E0,2.608475647E0,1.271485931E1
1.924374208E0,2.258802795E0,2.586621094E0,1.255768616E1
1.934328208E0,2.596350861E0,2.502346344E0,1.242805573E1
1.944282208E0,2.697091370E0,2.327958984E0,1.227522354E1
1.954235208E0,2.819836121E0,2.154769135E0,1.220232513E1
1.964189208E0,2.730771332E0,1.954485626E0,1.180310532E1
1.974143208E0,2.800077209E0,1.751208344E0,1.160431870E1
1.984097208E0,2.972368927E0,1.605112152E0,1.123114471E1
1.994054333E0,2.831511841E0,1.508413239E0,1.047327072E1
2.004007333E0,2.767594757E0,1.493893433E0,9.911189575E0
2.013961333E0,2.658621368E0,1.551822968E0,9.179211731E0
2.023915333E0,2.281405792E0,1.505419464E0,8.007149048E0
2.033869333E0,2.161804504E0,1.489402771E0,7.349865875E0
2.043822333E0,1.853296051E0,1.574575653E0,6.321654053E0
2.053776333E0,1.512903900E0,1.585951996E0,5.621110840E0
2.063730333E0,1.385668488E0,1.690734100E0,5.146597595E0
2.073684333E0,1.036594391E0,1.818418579E0,4.342469788E0
2.083637333E0,8.928932190E-1,1.850601654E0,4.104015656E0
2.093591333E0,7.689509583E-1,1.995949402E0,3.772455139E0
2.103545333E0,4.962181091E-1,2.148332520E0,3.335663452E0
2.113499333E0,8.361611938E-1,2.210453339E0,3.486699371E0
2.123453333E0,9.240284729E-1,2.495161285E0,3.520529022E0
2.133406333E0,8.412506104E-1,2.711611176E0,3.572321320E0
2.143360333E0,1.163231049E0,2.680775299E0,3.912863159E0
2.153314333E0,1.405876465E0,2.738704834E0,4.196074219E0
2.163268333E0,1.513502655E0,2.767145691E0,4.508923645E0
2.173221333E0,1.510359192E0,2.760260010E0,4.801265717E0
2.183175333E0,1.399140472E0,2.814147949E0,5.133574677E0
2.193129333E0,1.362616425E0,2.888243866E0,5.544320526E0
2.203083333E0,1.331181793E0,2.936443634E0,5.967340851E0
2.213037333E0,1.375639343E0,2.986589355E0,6.451733551E0
2.222990333E0,1.460363159E0,3.102448425E0,6.871909790E0
2.232944333E0,1.566342773E0,3.278182983E0,7.355254669E0
2.242898333E0,1.774110718E0,3.452121277E0,7.900570679E0
2.252852333E0,2.089953918E0,3.506158905E0,8.463849335E0
2.262805333E0,2.447410583E0,3.397933960E0,9.079069977E0
2.272759333E0,2.635868683E0,3.256927185E0,9.776020660E0
2.282713333E0,2.656076660E0,3.301534424E0,1.042731628E1
2.292667333E0,2.793191528E0,3.204236755E0,1.112516510E1
2.302621333E0,3.046464844E0,2.764002228E0,1.194590836E1
2.312574333E0,3.209026794E0,2.581531677E0,1.265902542E1
2.322528333E0,3.470682678E0,2.540067902E0,1.342603043E1
2.332482333E0,3.692820740E0,2.451751556E0,1.409334274E1
2.342436333E0,3.818858643E0,2.493514709E0,1.446172668E1
2.352389333E0,3.966152344E0,2.340532837E0,1.529190033E1
2.362343333E0,4.282145233E0,2.014810181E0,1.553304886E1
2.372297333E0,4.577331390E0,1.770518188E0,1.553933578E1
2.382251333E0,4.676275635E0,1.736987915E0,1.596984055E1
2.392205333E0,4.871020660E0,1.580862579E0,1.603076385E1
2.402158333E0,4.967120819E0,1.293011169E0,1.570234680E1
2.412112333E0,4.893773346E0,1.067729645E0,1.537213348E1
2.422066333E0,4.618495789E0,1.008752289E0,1.487711288E1
2.432020333E0,4.142785034E0,1.078656921E0,1.422267380E1
2.441973333E0,3.715423737E0,1.171463928E0,1.357961105E1
2.451927333E0,3.343596954E0,1.287772064E0,1.281799484E1
2.461881333E0,3.062331848E0,1.416354675E0,1.197180450E1
2.471835333E0,2.711012421E0,1.565893707E0,1.118533997E1
2.481788333E0,2.349514160E0,1.747765503E0,1.038869659E1
2.491742333E0,2.045646057E0,1.918859711E0,9.546398163E0
2.501696333E0,1.601369934E0,2.007325745E0,8.816515961E0
2.511650333E0,1.226699066E0,2.107317810E0,8.075257416E0
2.521604333E0,7.156617737E-1,2.273023224E0,7.371121674E0
2.531557333E0,2.565664673E-1,2.481539612E0,6.738237762E0
2.541511333E0,-6.526428223E-2,2.743195496E0,6.265221405E0
2.551465333E0,-2.633024597E-1,2.904709625E0,5.949527893E0
2.561419333E0,-4.995112610E-1,2.990780640E0,5.657036133E0
2.571372333E0,-6.393205261E-1,3.095712433E0,5.457800446E0
2.581326333E0,-7.141648865E-1,3.246748352E0,5.385051727E0
2.591280333E0,-8.159532166E-1,3.462300110E0,5.389093323E0
2.601234333E0,-9.532177734E-1,3.623514862E0,5.317093048E0
2.611188333E0,-9.840536499E-1,3.664978638E0,5.279820557E0
2.621141333E0,-9.618997192E-1,3.615731049E0,5.317841492E0
2.631095333E0,-9.241781616E-1,3.567531281E0,5.287903748E0
2.641049333E0,-8.607101440E-1,3.540138245E0,5.292544098E0
2.651003333E0,-8.319699097E-1,3.501967621E0,5.217550049E0
2.660956333E0,-8.116122437E-1,3.429518280E0,5.147046661E0
2.670910333E0,-8.485853577E-1,3.373235321E0,5.129233704E0
2.680864333E0,-8.855584717E-1,3.378474426E0,5.232818298E0
2.690818333E0,-7.726931763E-1,3.445984039E0,5.210963745E0
2.700772333E0,-6.694079590E-1,3.555406494E0,5.154231720E0
2.710725333E0,-6.306385803E-1,3.671714630E0,5.336253204E0
2.720679333E0,-5.554948425E-1,3.869303741E0,5.291945343E0
2.730633333E0,-5.388793945E-1,3.984564056E0,5.286107483E0
2.740587333E0,-6.596781921E-1,4.351301422E0,5.270090790E0
2.750540333E0,-7.048841858E-1,4.641098785E0,5.517077179E0
2.760494333E0,-8.101153564E-1,4.707111511E0,5.772296448E0
2.770448333E0,-8.487350464E-1,4.570894775E0,6.382577362E0
2.780402333E0,-7.722441101E-1,4.552033997E0,7.008126526E0
2.790356333E0,-6.253994751E-1,4.467459869E0,7.921826477E0
2.800309333E0,-3.456312561E-1,4.311933289E0,8.849896545E0
2.810263333E0,6.885681152E-2,4.171076202E0,9.898466034E0
2.820217333E0,5.680686951E-1,4.007017365E0,1.077609100E1
2.830171333E0,1.081051941E0,4.004023590E0,1.137679184E1
2.840124333E0,1.414857788E0,4.250261536E0,1.187450684E1
