"event","experiment time","system time","system time text"
"START",0.000000000E0,1734014805.538,"2024-12-12 15:46:45.538 UTC+01:00"
"PAUSE",1.241040280E1,1734014817.948,"2024-12-12 15:46:57.948 UTC+01:00"
