"event","experiment time","system time","system time text"
"START",0.000000000E0,1734350291.351,"2024-12-16 12:58:11.351 UTC+01:00"
"PAUSE",1.842496074E1,1734350309.776,"2024-12-16 12:58:29.776 UTC+01:00"
