"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012134.861,"2024-12-12 15:02:14.861 UTC+01:00"
"PAUSE",1.518068100E1,1734012150.041,"2024-12-12 15:02:30.041 UTC+01:00"
