"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.443673068E0,-6.037328243E-1,-5.267012119E-1,5.705639839E0
1.460681276E0,-3.076679707E-1,-1.251245975E0,6.348401070E0
1.477686444E0,4.587373734E-1,-2.046065807E0,5.339797020E0
1.494694583E0,1.090934992E0,-2.501809835E0,3.133915901E0
1.511693292E0,1.718403578E0,-3.531614065E0,1.096910477E0
1.528704879E0,1.344762921E0,-3.728353262E0,-1.722172737E0
1.545703558E0,9.421253204E-1,-4.162714481E0,-3.328689575E0
1.562711848E0,8.377804756E-1,-4.088874817E0,-3.048816204E0
1.579699875E0,4.904108047E-1,-4.226739883E0,-2.319417953E0
1.596721878E0,9.139838219E-1,-4.506974220E0,-1.912144661E0
1.613727057E0,1.402388215E0,-4.682316780E0,-2.207028866E0
1.630732022E0,1.868400693E0,-4.940312862E0,-2.803922176E0
1.647737179E0,2.103069067E0,-4.776913166E0,-3.094954491E0
1.664729368E0,2.188826799E0,-3.983954430E0,-2.575739384E0
1.681746041E0,2.135893106E0,-3.452913523E0,-1.985984802E0
1.698748004E0,2.247994900E0,-3.159549713E0,-1.363111019E0
1.715757415E0,2.655665874E0,-3.000530958E0,-9.873805046E-1
1.732765807E0,3.073947430E0,-2.740293503E0,-1.407952309E0
1.749756286E0,2.730727673E0,-2.374929190E0,-2.201086044E0
1.766769388E0,2.166567564E0,-1.502959251E0,-2.300879478E0
1.783777649E0,2.240921736E0,-1.166384697E0,-1.876801491E0
1.800774191E0,2.252700329E0,-8.468596935E-1,-1.258783340E0
1.817792522E0,2.368079662E0,-5.045614243E-1,-8.783407211E-1
1.834793052E0,2.407002926E0,-3.280663490E-1,-5.102272034E-1
1.851784141E0,2.350146770E0,-7.371354103E-2,7.952213287E-2
1.868801740E0,2.210809708E0,2.157988548E-1,7.979602814E-1
1.885808394E0,1.939724922E0,4.825952053E-1,1.645144463E0
1.902811639E0,1.844790697E0,7.306337357E-1,2.287459373E0
1.919819950E0,1.892797232E0,9.788084030E-1,2.595359802E0
1.936811934E0,1.985714912E0,1.021632195E0,2.840148926E0
1.953815770E0,2.129362822E0,1.240578413E0,2.941013336E0
1.970832148E0,2.176589251E0,1.041819572E0,3.202701569E0
1.987838801E0,2.008447409E0,7.923800945E-1,3.621638298E0
2.004831580E0,1.876154423E0,6.952116489E-1,4.050996780E0
2.021835323E0,1.649574518E0,7.168354988E-1,4.384688377E0
2.038854132E0,1.453888178E0,6.432423592E-1,4.532900810E0
2.055862332E0,1.110586405E0,-6.530690193E-2,5.326940536E0
2.072864184E0,8.714184165E-1,-6.386218071E-1,7.285392761E0
2.089853341E0,4.727960229E-1,-1.259867907E0,8.813838005E0
2.106877388E0,5.748486519E-1,-1.876494169E0,7.354080200E0
2.123879424E0,9.761573672E-1,-2.280178070E0,3.691899300E0
2.140889159E0,1.257014990E0,-2.585443020E0,3.112640381E-1
2.157889922E0,1.193755031E0,-2.924667120E0,-1.536490440E0
2.174894572E0,1.034528732E0,-3.189012527E0,-1.823987484E0
2.191899791E0,1.586143970E0,-3.048313856E0,-1.184895515E0
2.208908173E0,1.041817427E0,-3.269731760E0,-5.820865631E-1
2.225909954E0,7.748806477E-1,-3.478007317E0,-8.360395432E-1
2.242922528E0,8.853839636E-1,-3.605260849E0,-1.629738808E0
2.259918581E0,1.068609953E0,-3.410506248E0,-2.463231087E0
2.276925224E0,1.038027048E0,-3.435049534E0,-3.199276447E0
2.293930473E0,8.360174298E-1,-3.279977560E0,-3.470603943E0
2.310935327E0,6.587443352E-1,-3.045179844E0,-3.441207886E0
2.327927646E0,5.805653334E-1,-2.712420464E0,-3.279555321E0
2.344943130E0,6.960660219E-1,-2.244357586E0,-3.203302860E0
2.361950699E0,8.273611069E-1,-1.982869506E0,-3.439505100E0
2.378961939E0,8.366436958E-1,-1.694452286E0,-3.583882809E0
2.395963893E0,8.533837795E-1,-1.468730450E0,-3.525062084E0
