"event","experiment time","system time","system time text"
"START",0.000000000E0,1734012382.693,"2024-12-12 15:06:22.693 UTC+01:00"
"PAUSE",1.314846811E1,1734012395.842,"2024-12-12 15:06:35.842 UTC+01:00"
