"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.471958324E-3,-2.991347820E-2,9.252692521E-2,-4.923063219E-2
1.442595833E-2,1.430799052E-1,1.327569383E-1,1.030060127E-2
2.437995834E-2,3.005398679E-1,1.624438369E-1,3.172699213E-2
3.433295834E-2,4.437823257E-1,1.558551943E-1,-1.941217124E-2
4.428695835E-2,3.688131273E-1,2.409567404E-1,-4.829332352E-2
5.424095836E-2,2.542468768E-1,2.161528516E-1,-5.273121402E-2
6.419495837E-2,2.145168006E-1,1.476761091E-1,-8.179553032E-2
7.414895837E-2,2.090499464E-1,1.189645261E-1,-8.053194702E-2
8.410295832E-2,2.073577622E-1,1.578485101E-1,-6.683776796E-2
9.405695833E-2,1.494820216E-1,1.532952833E-1,-4.440375566E-2
1.040109583E-1,1.062474167E-1,1.386392373E-1,3.242748857E-2
1.139649583E-1,5.691475064E-2,1.057387090E-1,2.186045891E-1
1.239189584E-1,-3.579022229E-2,2.024463934E-1,2.754430336E-1
1.338719584E-1,-9.017283618E-3,2.322508210E-1,1.766671890E-1
1.438259584E-1,1.316652632E-1,1.688126242E-1,1.152820958E-1
1.537792917E-1,1.776556608E-1,1.760584939E-1,1.147321652E-1
1.637332917E-1,1.892349020E-1,1.456687599E-1,-9.607998580E-3
1.736872917E-1,1.541612560E-1,2.976817489E-3,-1.657729492E-2
1.836412917E-1,1.218565589E-1,-1.778454030E-1,-2.733456373E-2
1.935952917E-1,3.300343931E-2,-2.496959889E-1,-2.648437858E-2
2.035492917E-1,2.236559987E-2,-2.327536815E-1,2.362326287E-2
2.135032917E-1,-6.498303115E-3,-1.203193259E-1,2.431465226E-1
2.234572917E-1,-6.609546393E-3,-2.732281083E-1,4.037021475E-1
2.334112917E-1,5.408770958E-1,2.073984003E-1,1.454319477E-2
2.433642917E-1,8.615701233E-1,9.253739172E-1,4.751318800E-1
2.533182917E-1,8.737973821E-1,1.138676251E0,5.909617138E-1
2.632722917E-1,3.877379331E-1,4.478095955E-1,2.782203148E-1
2.732262917E-1,-1.434991506E-1,-1.413611162E-1,-6.015907824E-1
2.831802917E-1,-4.024661922E-1,-3.630091810E-1,1.910700506E-1
2.931342917E-1,-4.359990969E-1,-7.120920485E-1,4.726620162E-1
3.030882917E-1,-7.430385835E-1,-1.001942037E0,-1.279917499E0
3.130422917E-1,-4.398306312E-1,-1.250849236E0,-7.956914449E-1
3.229962917E-1,3.330977494E-1,-3.400997901E-1,5.954902361E-1
3.329502917E-1,1.325631908E0,5.276404613E-1,5.708700961E-1
3.429032917E-1,1.536217041E0,1.513976864E0,-1.325363521E-1
3.528572917E-1,9.366893028E-1,2.009752339E0,-4.891897559E-2
3.628112917E-1,-2.199941799E-2,9.211849719E-1,-2.080603051E-1
3.727652917E-1,-9.741442274E-1,-4.726561689E-1,-8.551874489E-1
3.827192917E-1,-1.418595475E0,-9.521869093E-1,-4.031807220E-1
3.926732917E-1,-8.467816378E-1,-9.134853584E-1,-5.207916176E-1
4.026272917E-1,-6.126598540E-1,-5.416117984E-1,-3.236059642E-1
4.125812917E-1,2.322492130E-1,-9.323695260E-1,8.030916810E-2
4.225352917E-1,8.878672448E-1,-6.595793742E-1,3.316780454E-1
