"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.167827700E-2,1.170764685E0,5.473444462E0,8.344092369E0
2.167627700E-2,1.142034173E0,5.602731228E0,8.281843185E0
3.167527700E-2,1.144428372E0,5.617096424E0,8.356062889E0
4.167461000E-2,1.110909581E0,5.698499203E0,8.425495148E0
5.167411000E-2,1.058237195E0,5.803843975E0,8.459013939E0
6.167371000E-2,9.409212470E-1,5.825392246E0,8.470984459E0
7.167337600E-2,8.475474119E-1,5.827786446E0,8.420706749E0
8.167309000E-2,7.326257229E-1,5.832574844E0,8.336909294E0
9.167284000E-2,5.985504389E-1,5.825392246E0,8.217199326E0
1.016726170E-1,4.596867263E-1,5.808632374E0,8.107066154E0
1.116724170E-1,3.112462163E-1,5.753565788E0,8.004115105E0
1.216722350E-1,1.891419291E-1,5.679345608E0,7.925107002E0
1.316720680E-1,7.661445439E-2,5.595548630E0,7.870040417E0
1.416719140E-1,-2.394201700E-3,5.526116848E0,7.836521626E0
1.516717710E-1,-2.873042040E-2,5.449502468E0,7.824550629E0
1.616716370E-1,-3.351882473E-2,5.380070686E0,7.810185432E0
1.716715120E-1,-7.182605099E-3,5.310638428E0,7.817368031E0
1.816713940E-1,2.394201700E-3,5.255571842E0,7.829339027E0
1.916712820E-1,-3.112462163E-2,5.253177643E0,7.858069420E0
2.016712290E-1,-1.029506698E-1,5.255571842E0,7.865252018E0
2.116711290E-1,-1.747767180E-1,5.253177643E0,7.858069420E0
2.216710330E-1,-2.657563984E-1,5.262754440E0,7.867646217E0
2.316709420E-1,-3.687070608E-1,5.262754440E0,7.910741806E0
2.416708550E-1,-4.668693244E-1,5.262754440E0,7.951443195E0
2.516707710E-1,-5.578489900E-1,5.289090633E0,7.982567787E0
2.616706910E-1,-6.057330370E-1,5.317821026E0,8.001721382E0
2.716706140E-1,-5.458779931E-1,5.351340294E0,8.035240173E0
2.816705390E-1,-4.740519226E-1,5.394435883E0,8.087912560E0
2.916704670E-1,-4.118026793E-1,5.459079266E0,8.162133217E0
3.016703980E-1,-3.854664862E-1,5.530905247E0,8.217199326E0
3.116703310E-1,-4.022258818E-1,5.619490623E0,8.236352921E0
3.216703310E-1,-4.309563041E-1,5.686528206E0,8.243535995E0
3.316703310E-1,-4.860229492E-1,5.755959988E0,8.202834129E0
3.416703310E-1,-5.147533417E-1,5.827786446E0,8.142979622E0
3.516703310E-1,-4.788403511E-1,5.894824028E0,8.068758965E0
3.616703310E-1,-3.950432837E-1,5.954679012E0,8.028057098E0
3.716703310E-1,-2.418143749E-1,6.019322395E0,8.099884033E0
3.816703310E-1,-6.943184882E-2,6.086359978E0,8.212410927E0
3.916703310E-1,1.053448766E-1,6.153397560E0,8.377611160E0
4.016703310E-1,2.513911724E-1,6.203675747E0,8.528446198E0
4.116703310E-1,3.663128614E-1,6.239588737E0,8.617031097E0
4.216703310E-1,4.189853072E-1,6.273107529E0,8.607454300E0
4.316703310E-1,3.998316824E-1,6.309020519E0,8.494926453E0
4.416703310E-1,3.280056417E-1,6.344933987E0,8.344092369E0
4.516703640E-1,2.537853718E-1,6.373664379E0,8.207622528E0
4.616703640E-1,2.346317619E-1,6.371270180E0,8.111854553E0
4.716703640E-1,2.082955539E-1,6.364087582E0,8.085518837E0
4.816703640E-1,2.322375625E-1,6.347328186E0,8.121431351E0
4.916703640E-1,3.208230138E-1,6.256348133E0,8.212410927E0
5.016703300E-1,4.189853072E-1,6.124667168E0,8.248324394E0
